affection.n 8 :: affectation ; reconnaissance ; considération ; tendresse ; disposition ; dernier ; admiration ; influence ; appréciation ; maladie
affection.n 20 :: international ; air ; externe ; alpha ; étranger ; étroit ; interne ; aimable ; adjectif ; effectif
affection.n 33 :: aide ; air ; interne ; art ; externe ; image ; heureux ; ancien ; étymologie ; international
affection.n 44 :: situation ; tendance ; dépendance ; maladie ; évolution ; espèce ; attitude ; particularité ; chose ; caractéristique
affection.n 145 :: pathologie ; maladie ; inflammation ; activité ; atteinte ; complication ; infection ; entité ; dégénérescence ; sensibilité
affection.n 210 :: aide ; air ; interne ; étranger ; externe ; art ; eau ; animal ; origine ; international
affection.n 224 :: pathologie ; maladie ; complication ; indication ; inflammation ; atteinte ; condition ; grave ; situation ; dépendance
affection.n 233 :: amitié ; opinion ; intérêt ; appui ; humeur ; avis ; argent ; amour ; attachement ; histoire
affection.n 252 :: air ; aide ; or ; art ; eau ; ici ; habitude ; échange ; image ; obliger
affection.n 254 :: art ; or ; air ; aide ; origine ; image ; énergie ; animal ; heureux ; obliger
aisé.a 2 :: absent ; proche ; interpellé ; donner ; mobiliser ; tuer ; empêcher ; épargner ; vulnérable ; redevable
aisé.a 38 :: restreindre ; important ; élevé ; privilégier ; aimable ; bourgeoise ; exigeant ; modeste ; pauvre ; élitiste
aisé.a 105 :: riche ; pauvre ; modeste ; populaire ; nanti ; favoriser ; fortuné ; paisible ; chic ; instruire
aisé.a 109 :: évident ; faciliter ; facile ; ardu ; satisfaisant ; avantageux ; ultérieur ; adéquat ; approprier ; homogène
aisé.a 139 :: supérieur ; riche ; moyen ; pauvre ; défavorisé ; privilégier ; modeste ; populaire ; social ; inférieur
aisé.a 173 :: évident ; facile ; accessible ; compliqué ; impossible ; problématique ; important ; avancer ; amusant ; précis
aisé.a 178 :: ardu ; facile ; évident ; habituel ; envisageable ; approprié ; difficile ; compliqué ; simple ; avantageux
aisé.a 198 :: riche ; pauvre ; honorable ; noble ; modeste ; âgé ; supérieur ; important ; privilégier ; fortuné
aisé.a 253 :: facile ; ardu ; simple ; évident ; intuitif ; faciliter ; simplifier ; compliqué ; immédiat ; précis
aisé.a 275 :: facile ; difficile ; évident ; impossible ; avantageux ; simple ; ardu ; compliqué ; important ; habituel
arrêter.v 1 :: enlever ; prendre ; stopper ; capturer ; suspendre ; tuer ; attacher ; bloquer ; condamner ; abandonner
arrêter.v 14 :: interpellé ; condamner ; abattu ; interpeller ; incarcérer ; suspendre ; hospitaliser ; emprisonné ; tuer ; assassiner
arrêter.v 23 :: aimer ; avantage ; utiliser ; intégrer ; air ; apercevoir ; avoir ; or ; offrir ; acheter
arrêter.v 25 :: laisse ; oublier ; lâche ; piqu ; abandonner ; limite ; appuyer ; commencer ; travailler ; pousse
arrêter.v 50 :: voir ; faire ; abandonner ; quitter ; prendre ; enlever ; éteindre ; commencer ; continuer ; remplacer
arrêter.v 181 :: dresse ; établir ; préparer ; définir ; élaborer ; vérifier ; contenir ; déterminer ; écrire ; donne
arrêter.v 219 :: arrêt ; faire ; abattre ; tuer ; atteindre ; commettre ; conduire ; aider ; pouvoir ; voir
arrêter.v 273 :: condamner ; capturer ; emprisonner ; enlever ; exécuter ; interdire ; adopter ; prendre ; assassiner ; rendre
arrêter.v 277 :: or ; an ; os ; but ; parer ; li ; pouvoir ; point ; us ; in
arrêter.v 291 :: décider ; publier ; adopter ; accepter ; réaliser ; acquérir ; émettre ; établir ; proposer ; créer
capacité.n 26 :: faculté ; puissance ; rapidité ; flexibilité ; force ; pouvoir ; souplesse ; vitesse ; dimension ; disponibilité
capacité.n 32 :: puissance ; force ; quantité ; propriété ; possibilité ; activité ; tête ; surface ; production ; différence
capacité.n 35 :: clinique ; activité ; profession ; clientèle ; contribution ; médecin ; formation ; production ; équipe ; maîtrise
capacité.n 70 :: puissance ; quantité ; surface ; consommation ; fréquentation ; contribution ; rentabilité ; disponibilité ; performance ; utilisation
capacité.n 73 :: faculté ; compétence ; souplesse ; force ; aptitude ; possibilité ; volonté ; dimension ; détermination ; formation
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; propre ; pouvoir ; liberté ; vie ; responsabilité
capacité.n 103 :: coût ; stock ; unité ; quantité ; moyen ; activité ; infrastructure ; ressource ; disponibilité ; chaîne
capacité.n 110 :: possibilité ; quantité ; solution ; puissance ; batterie ; participation ; option ; disponibilité ; utilisation ; garantie
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; droit ; pouvoir ; force ; sphère ; volonté
capacité.n 148 :: faculté ; maîtrise ; compétence ; formation ; aptitude ; connaissance ; maturité ; spécialisation ; qualité ; licence
commander.v 5 :: écrire ; publier ; vouloir ; dicter ; réaliser ; achever ; signer ; donner ; lancer ; tenir
commander.v 9 :: commander ; commencer ; choisir ; acheter ; découvrir ; créer ; gratuitement ; demander ; déjà ; réserver
commander.v 16 :: diriger ; commanda ; recevoir ; ordonner ; soutenir ; consigne ; combat ; mener ; préside ; conduire
commander.v 41 :: décider ; choisir ; définir ; commencer ; effectuer ; gérer ; commande ; faire ; prendre ; voir
commander.v 48 :: diriger ; créer ; contrôlent ; mener ; déterminer ; gouverner ; régir ; gérer ; financer ; tirer
commander.v 117 :: commande ; dicter ; commanda ; commandant ; prescrire ; commandement ; suggérer ; ordonner ; réclamer ; requérir
commander.v 164 :: ordonner ; dicter ; imposer ; conseiller ; enseigne ; obéir ; enjoindre ; diriger ; demande ; prescrire
commander.v 171 :: commande ; acheter ; acquérir ; réserver ; admirer ; valider ; déguster ; ouvrir ; essayer ; recevoir
commander.v 206 :: donner ; permettre ; donne ; vouloir ; servir ; prévoir ; protéger ; venir ; tandis ; porter
commander.v 240 :: commande ; régler ; payer ; faire ; personnaliser ; voire ; prendre ; modifier ; uniquement ; également
compris.a 52 :: assimiler ; accepter ; percevoir ; recevoir ; vivre ; lire ; enseigner ; interpréter ; contenue ; maîtriser
compris.a 90 :: sentir ; réaliser ; croire ; saisir ; convaincre ; penser ; trouver ; apprendre ; considérer ; estimer
compris.a 106 :: comprendre ; entendre ; expliquer ; penser ; reconnaître ; inclure ; préciser ; deviner ; arriver ; vouloir
compris.a 185 :: inclure ; contenir ; incorporer ; présent ; situer ; inscrire ; mentionner ; entendre ; inclus ; découvrir
compris.a 186 :: inclure ; situer ; rester ; présent ; placer ; déjà ; oublier ; perdre ; sortir ; absent
compris.a 187 :: inclure ; contenu ; compter ; situer ; prendre ; estimer ; ranger ; moyen ; définir ; limité
compris.a 211 :: répartir ; mesurer ; situer ; varier ; inclus ; dater ; grouper ; partager ; évaluer ; moyen
compris.a 232 :: inclure ; compter ; intégré ; contenu ; prendre ; reprendre ; limité ; inclus ; cal ; prévoir
compris.a 272 :: avoir ; intégré ; également ; parfaitement ; entendre ; immédiatement ; saisir ; mal ; aimer ; prendre
compris.a 287 :: saisir ; intégré ; assimiler ; deviner ; comprendre ; savoir ; apprendre ; percevoir ; aimer ; expliquer
couverture.n 65 :: dernier ; page ; manchette ; rédaction ; moitié ; sommaire ; dossier ; totalité ; partie ; semaine
couverture.n 67 :: vie ; peau ; survie ; réputation ; liberté ; corde ; carrière ; chance ; veste ; gloire
couverture.n 72 :: housse ; traire ; revêtement ; décoration ; transformation ; bibliothèque ; dossier ; matière ; produit ; terrasse
couverture.n 143 :: manchette ; couvrir ; fort ; bref ; illustration ; page ; dernier ; front ; marge ; vignette
couverture.n 149 :: protection ; sécurité ; gestion ; vie ; surveillance ; responsabilité ; répartition ; perception ; réduction ; régime
couverture.n 150 :: toiture ; pierre ; couvrir ; livre ; bible ; description ; introduction ; cahier ; sommaire ; toit
couverture.n 201 :: surveillance ; desserte ; gestion ; protection ; sécurité ; couvrir ; pénétration ; conquête ; transformation ; boucle
couverture.n 257 :: construction ; toiture ; remplacement ; sol ; protection ; revêtement ; transformation ; terre ; couvert ; fixation
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; couette ; douche ; commode ; corde ; veste ; bâche
couverture.n 280 :: reliure ; jaquette ; peau ; bon ; préface ; principal ; police ; illustration ; fin ; bibliothèque
débit.n 64 :: solde ; compte ; dépôt ; transfert ; banque ; mensuel ; automatique ; direct ; crédit ; achat
débit.n 87 :: montant ; solde ; dépôt ; paiement ; versement ; prélèvement ; compte ; virement ; crédit ; cours
débit.n 115 :: niveau ; rythme ; cours ; régime ; volume ; flux ; poids ; flot ; delta ; coût
débit.n 131 :: niveau ; flux ; couche ; chambre ; eau ; courant ; lit ; réservoir ; masse ; dépôt
débit.n 136 :: flux ; apport ; cours ; volume ; potentiel ; effectif ; coefficient ; niveau ; prix ; rejet
débit.n 168 :: internet ; haut ; supérieur ; fort ; rapide ; net ; vitesse ; taux ; qualité ; réseau
débit.n 169 :: cours ; niveau ; montant ; flux ; rythme ; traitement ; résultat ; volume ; développement ; prix
débit.n 184 :: taux ; rythme ; vitesse ; potentiel ; cadence ; maximum ; stockage ; traitement ; nombre ; capacité
débit.n 188 :: affluent ; cours ; niveau ; eau ; courant ; versant ; fleuve ; présent ; rive ; principal
débit.n 205 :: rythme ; flux ; temps ; style ; mode ; caractère ; canal ; langage ; mouvement ; programme
direction.n 78 :: conduite ; responsabilité ; directrice ; diriger ; coordination ; présidence ; discipline ; critique ; maîtrise ; houlette
direction.n 111 :: orientation ; conduite ; ligne ; directrice ; tête ; vision ; organisation ; responsabilité ; stratégie ; équipe
direction.n 151 :: directrice ; directeur ; présidence ; maîtrise ; gestion ; rédaction ; commission ; conduite ; responsabilité ; communauté
direction.n 152 :: ligne ; sens ; orientation ; forme ; vitesse ; tendance ; droite ; loi ; tête ; lumière
direction.n 172 :: bonjour ; rejoindre ; destination ; bientôt ; ensuite ; peut-être ; pied ; finalement ; gagner ; face
direction.n 176 :: conduite ; orientation ; rapport ; vitesse ; performance ; directeur ; sécurité ; sens ; tendance ; comportement
direction.n 199 :: présidence ; rédaction ; directrice ; coordination ; délégation ; fédération ; droite ; majorité ; convention ; partir
direction.n 223 :: conduite ; responsabilité ; maîtrise ; majorité ; directrice ; tâche ; forme ; diriger ; transmission ; main
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; gestion ; conduite ; maîtrise ; charge ; directeur ; défense
direction.n 279 :: venir ; face ; destination ; provenance ; province ; vallée ; revenir ; région ; faveur ; sens
don.n 19 :: talent ; sens ; style ; temps ; centre ; souci ; pouvoir ; coup ; degré ; droit
don.n 30 :: talent ; pouvoir ; oeil ; trait ; fonds ; atout ; droit ; sens ; projet ; instinct
don.n 36 :: talent ; pouvoir ; sens ; cadeau ; génie ; charm ; lien ; amour ; ministère ; pencher
don.n 60 :: cadeau ; produit ; sacrifice ; travail ; prêt ; livre ; résultat ; talent ; sacrement ; transfert
don.n 84 :: fonds ; apport ; contribution ; enfant ; produit ; legs ; cadeau ; versement ; salarié ; revenu
don.n 107 :: cadeau ; part ; présent ; legs ; preuve ; confiance ; grâce ; geste ; prix ; présentation
don.n 130 :: contribution ; cadeau ; fonds ; soutien ; généreux ; legs ; volontaire ; citoyen ; prix ; catholique
don.n 196 :: talent ; génie ; pouvoir ; droit ; secret ; traitement ; sens ; travail ; style ; truc
don.n 244 :: cadeau ; mécénat ; soutien ; souher ; versement ; sacrifice ; bon ; geste ; parrainage ; déchet
don.n 245 :: talent ; travail ; témoignage ; domaine ; trésor ; ouvrage ; génie ; pouvoir ; grand ; mérite
entraîner.v 39 :: air ; art ; interne ; or ; aide ; image ; immigré ; heureux ; éternel ; irremplaçable
entraîner.v 47 :: amener ; aider ; conduire ; engager ; encourager ; obliger ; favoriser ; apprendre ; inciter ; impliquer
entraîner.v 55 :: clip ; international ; actuel ; air ; art ; aide ; or ; image ; italien ; matériel
entraîner.v 57 :: air ; emploi ; eau ; or ; enseigner ; aviation ; efficace ; obliger ; histoire ; effectif
entraîner.v 133 :: air ; aide ; ancien ; animal ; international ; art ; heureux ; image ; eau ; interne
entraîner.v 140 :: amener ; mener ; envoyer ; pousser ; emporter ; engager ; conduire ; aller ; attirer ; suivre
entraîner.v 144 :: invite ; obliger ; engager ; inviter ; avoir ; amener ; exhorter ; encourager ; inciter ; appeler
entraîner.v 161 :: provoquer ; amener ; éviter ; engendrer ; conduire ; apparaître ; créer ; causer ; produire ; accentuer
entraîner.v 162 :: amener ; encourager ; provoquer ; assurer ; engendrer ; conduire ; actif ; déclenche ; influence ; favoriser
entraîner.v 191 :: emporter ; conduire ; amener ; attirer ; apporter ; engager ; traîner ; abandonner ; pousser ; emmener
éplucher.v 10 :: peler ; préparer ; acheter ; nettoyer ; laver ; égoutter ; enlever ; cueillir ; ire ; aspirer
éplucher.v 51 :: éplucher ; fouillé ; analyser ; étudier ; scrupuleusement ; imprimer ; récolter ; regarder ; dépouiller ; vérifier
éplucher.v 69 :: attentivement ; finement ; longuement ; lire ; soigneusement ; minutieusement ; profondément ; autant ; ensemble ; également
éplucher.v 100 :: éplucher ; récolter ; retourner ; peser ; oublier ; écraser ; enlever ; rôti ; laver ; écarter
éplucher.v 119 :: fouillé ; parcourir ; éplucher ; déjà ; devoir ; taper ; regarder ; survoler ; consulter ; chercher
éplucher.v 167 :: laver ; couper ; enlever ; regarder ; observer ; découper ; découvrir ; vérifier ; conserver ; noter
éplucher.v 174 :: analyser ; lire ; consulter ; découvrir ; voir ; regarder ; retrouver ; examiner ; explorer ; parcourir
éplucher.v 235 :: peler ; acheter ; pomme ; passer ; presser ; entamer ; affiner ; ire ; enlever ; faire
éplucher.v 236 :: éplucher ; récolter ; dénicher ; cueillette ; récolte ; envie ; apercevoir ; tourner ; ramasser ; piocher
éplucher.v 258 :: peler ; faire ; blanchir ; passer ; légume ; presser ; cuire ; carotte ; oignon ; égoutter
espace.n 13 :: or ; ensemble ; art ; accueil ; établissement ; international ; euro ; air ; exploitation ; immobilier
espace.n 27 :: air ; or ; énergie ; eau ; art ; éternel ; intérieur ; évolution ; aide ; actuel
espace.n 79 :: coin ; zone ; support ; lieu ; temps ; environnement ; local ; salle ; pôle ; forum
espace.n 120 :: air ; étroit ; excellent ; article ; aide ; heureux ; énergie ; ajouter ; avantage ; apercevoir
espace.n 137 :: environnement ; marché ; investissement ; groupe ; domaine ; droit ; contenu ; avantage ; avenir ; partenaire
espace.n 142 :: air ; international ; afghan ; externe ; interne ; étymologie ; art ; aide ; actuel ; ancien
espace.n 180 :: lien ; territoire ; partage ; donnée ; temps ; bien ; place ; information ; droit ; lieu
espace.n 208 :: ancien ; appareil ; utilisateur ; heure ; innombrable ; investissement ; information ; interaction ; important ; opération
espace.n 229 :: investissement ; événement ; service ; produit ; développement ; propre ; projet ; équipement ; contenir ; environnement
espace.n 243 :: article ; ensemble ; coin ; entier ; écran ; temps ; mode ; enfant ; compte ; droit
essuyer.v 11 :: essuyer ; laver ; rincer ; faire ; essuie ; enlever ; avoir ; nettoyer ; protéger ; passer
essuyer.v 58 :: subir ; avoir ; rencontrer ; constater ; connaître ; recevoir ; essuie ; souffrir ; obtenir ; encaisser
essuyer.v 77 :: essuie ; lav ; éponge ; presque ; effacer ; pourtant ; soigneusement ; sale ; nettoie ; glisse
essuyer.v 81 :: essuie ; laver ; éponge ; nettoie ; lav ; encre ; enduire ; effacer ; renouveler ; faire
essuyer.v 86 :: recevoir ; essuie ; continuer ; ligne ; passer ; devoir ; encaisse ; laisse ; recueillir ; poursuivre
essuyer.v 89 :: subir ; recevoir ; essuie ; opposer ; durement ; revers ; pavé ; face ; récemment ; hier
essuyer.v 98 :: recevoir ; encaisser ; faire ; subir ; utiliser ; prendre ; obtenir ; rencontrer ; acheter ; voir
essuyer.v 166 :: pépin ; sécher ; noyau ; graine ; peler ; éplucher ; baie ; égoutter ; frotter ; légume
essuyer.v 215 :: subir ; recevoir ; recueillir ; enregistrer ; connaître ; accumuler ; obtenir ; provoquer ; enchaîner ; récolter
essuyer.v 266 :: enlever ; nettoyer ; assurer ; retirer ; balayer ; soigneusement ; faire ; nettoyage ; éviter ; essuie
faucher.v 12 :: tuer ; jeter ; briser ; presque ; bientôt ; écraser ; assassiner ; agresser ; déposer ; abattre
faucher.v 42 :: découverte ; peut-être ; mieux ; déjà ; également ; donnée ; devenir ; presque ; révéler ; atteindre
faucher.v 116 :: abattre ; semer ; dévaster ; pousser ; assassiner ; arroser ; tuer ; détruire ; pisser ; ravager
faucher.v 160 :: donne ; trouver ; arriver ; plante ; amour ; pousse ; commencer ; mademoiselle ; semer ; laisse
faucher.v 214 :: prix ; marque ; canada ; conseil ; comparaison ; loi ; article ; voir ; vie ; compagnie
faucher.v 239 :: acheter ; jeter ; servir ; presque ; renverser ; entamer ; déjà ; cassé ; partager ; plein
faucher.v 248 :: marque ; comparaison ; hache ; tombe ; coupe ; plante ; herbe ; pointe ; clinique ; crâne
faucher.v 276 :: abattre ; semer ; couper ; planter ; cultiver ; tailler ; arracher ; pousser ; piquer ; cueillir
faucher.v 282 :: marque ; virer ; remplacer ; piqu ; casser ; cadre ; éliminer ; paie ; centre ; balance
faucher.v 290 :: grièvement ; blesser ; verser ; gravement ; tuer ; abattre ; briser ; servir ; volontairement ; déjà
fonder.v 6 :: fondre ; créer ; organiser ; former ; diriger ; ouvrir ; faire ; développer ; bâtir ; tenir
fonder.v 7 :: force ; motiver ; caractériser ; porte ; constituer ; guide ; sous-tendre ; définir ; appuyer ; conditionne
fonder.v 54 :: base ; trouver ; construire ; appuyer ; bâtir ; gagner ; assurer ; prendre ; ancre ; cadre
fonder.v 66 :: installer ; ferme ; commencer ; rejoindre ; fond ; trouver ; forme ; développer ; fabrique ; formule
fonder.v 88 :: intégrer ; rejoindre ; créer ; forme ; commencer ; finance ; quitte ; formule ; développer ; diriger
fonder.v 93 :: traverser ; forme ; force ; constituer ; définir ; conditionne ; forge ; caractériser ; marque ; assurer
fonder.v 158 :: base ; fond ; repose ; appuyer ; bâtir ; forge ; construire ; fixe ; greffe ; joue
fonder.v 212 :: fabriquer ; créer ; faire ; contracter ; bâtir ; constituer ; forger ; former ; définir ; monter
fonder.v 264 :: motiver ; force ; valide ; base ; définir ; appuyer ; forme ; traverser ; limite ; constituer
fonder.v 286 :: compte ; forge ; développer ; fabrique ; forme ; réunir ; fond ; diriger ; ferme ; fondation
grossier.a 24 :: simple ; simpliste ; évident ; stupide ; courant ; flagrant ; vulgaire ; complet ; erroné ; exact
grossier.a 37 :: facile ; avancer ; subtil ; exact ; complet ; sophistiquer ; utiliser ; répandre ; simple ; faible
grossier.a 85 :: tendre ; vulgaire ; susceptible ; poli ; soumettre ; provoquer ; hypocrite ; vil ; lâche ; respectueux
grossier.a 108 :: fin ; léger ; local ; plat ; profond ; général ; bitumineux ; minéral ; froid ; doux
grossier.a 134 :: sérieux ; évident ; gros ; flagrant ; simpliste ; léger ; grave ; subtil ; simple ; bel
grossier.a 179 :: énième ; gros ; nouveau ; subtil ; évident ; énorme ; immonde ; honteux ; petit ; flagrant
grossier.a 227 :: arrogant ; poli ; ridicule ; confus ; excessif ; vulgaire ; prétentieux ; agressif ; incorrect ; maladroit
grossier.a 228 :: déplacer ; fait ; policier ; procédé ; mensonge ; fin ; accusation ; regard ; traitement ; médical
grossier.a 231 :: vulgaire ; coupable ; matériel ; humain ; simple ; misérable ; stupide ; brut ; personnel ; inférieur
grossier.a 300 :: vulgaire ; stupide ; faire ; habituel ; répéter ; vocal ; antisémite ; stérile ; sonore ; sec
hermétique.a 203 :: obscur ; opaque ; mystère ; mystérieux ; rester ; vide ; clé ; énigme ; abstrait ; étranger
hermétique.a 71 :: opaque ; mystérieux ; secret ; obscur ; énigmatique ; étanche ; étrange ; effrayant ; confidentiel ; discret
hermétique.a 99 :: fermer ; plastique ; sceller ; presque ; contenir ; récipient ; parfaitement ; verre ; bouteille ; complètement
hermétique.a 126 :: étanche ; imperméable ; insensible ; allergique ; dépendre ; sourd ; opposer ; collé ; réfractaire ; fermer
hermétique.a 127 :: étanche ; élitiste ; opaque ; secret ; obscur ; imperméable ; rigide ; fermé ; sécuritaire ; religieux
hermétique.a 220 :: opaque ; fermer ; vide ; porte ; étancher ; extrêmement ; mur ; muet ; complètement ; parfaitement
hermétique.a 226 :: étanche ; attacher ; fermer ; insensible ; imperméable ; sensible ; associer ; étranger ; hostile ; réfractaire
hermétique.a 261 :: incompréhensible ; magique ; automatique ; étanche ; réducteur ; étonnant ; parfait ; relatif ; sec ; surprenant
hermétique.a 278 :: interne ; secret ; alimentaire ; blanc ; étanche ; chimique ; plastique ; entièrement ; fermé ; glacé
hermétique.a 204 :: opaque ; obscur ; mystère ; inquiétant ; piège ; ultime ; mystérieux ; vide ; étrange ; rester
incorrect.a 45 :: utile ; actif ; adapter ; approprier ; adéquat ; nécessaire ; opérationnel ; apparent ; devoir ; vouloir
incorrect.a 125 :: mal ; con ; femme ; complètement ; vraiment ; bel ; in ; appeler ; super ; totalement
incorrect.a 132 :: rester ; également ; tomber ; totalement ; faire ; demeurer ; tournée ; naître ; baser ; appeler
incorrect.a 156 :: in ; politique ; exemplaire ; vraiment ; pratique ; professionnel ; normal ; apparemment ; mal ; criminel
incorrect.a 159 :: transposition ; application ; pratique ; interprétation ; utilisation ; traduction ; infraction ; exécution ; législation ; violation
incorrect.a 177 :: précis ; erroné ; donner ; total ; supérieur ; aléatoire ; désastreux ; obligatoire ; déterminer ; automatique
incorrect.a 217 :: ici ; politiquement ; négativement ; correct ; inapproprié ; volontairement ; inutile ; stupide ; automatiquement ; approprié
incorrect.a 241 :: vraiment ; complètement ; parfaitement ; totalement ; presque ; mal ; peut-être ; extrêmement ; également ; apparemment
incorrect.a 298 :: politique ; exact ; ci-dessous ; communiqué ; impressionnant ; malheureux ; démocratique ; complémentaire ; correct ; surprenant
incorrect.a 299 :: personnel ; confidentiel ; saisir ; bancaire ; erroné ; donnée ; financier ; transmettre ; indésirable ; invalider
intérêt.n 63 :: avis ; élément ; opinion ; objectif ; sentiment ; adversaire ; point ; principe ; ordre ; avantage
intérêt.n 97 :: article ; aide ; évolution ; objet ; entreprise ; or ; ensemble ; origine ; art ; international
intérêt.n 129 :: air ; aide ; image ; art ; étroit ; énergie ; activité ; énorme ; propre ; heureux
intérêt.n 146 :: air ; or ; art ; aide ; image ; évolution ; emploi ; eau ; ensemble ; international
intérêt.n 155 :: article ; zone ; utilisateur ; effectif ; appareil ; principal ; audit ; étroit ; énergie ; espace
intérêt.n 218 :: avantage ; intéressant ; attrer ; utilité ; côté ; atout ; importance ; inconvénient ; important ; enseignement
intérêt.n 263 :: nouveau ; propre ; air ; principal ; meilleur ; guide ; cor ; clip ; matériel ; art
intérêt.n 268 :: aide ; clip ; air ; or ; art ; image ; évolution ; nouveau ; énergie ; eau
intérêt.n 271 :: être ; excellent ; heureux ; air ; étroit ; aide ; utilisateur ; nouveau ; art ; étrange
intérêt.n 297 :: aide ; clip ; externe ; air ; guide ; double ; propre ; animal ; or ; art
