affection.n 8 :: disposition ; occasion ; maladie ; dernier ; considération ; institution ; époque ; extrémité ; opération ; affectation
affection.n 20 :: air ; interne ; aide ; étroit ; propre ; externe ; international ; aimable ; amitié ; or
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; international ; animal ; art ; image
affection.n 44 :: tendance ; maladie ; dépendance ; situation ; évolution ; attitude ; chose ; espèce ; relation ; lassitude
affection.n 145 :: pathologie ; maladie ; activité ; inflammation ; atteinte ; intervention ; substance ; entité ; cause ; irritation
affection.n 210 :: air ; aide ; interne ; externe ; animal ; étranger ; international ; eau ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; indication ; entité ; infection ; option ; opération ; important
affection.n 233 :: amitié ; amour ; appui ; attachement ; intérêt ; opinion ; estime ; attention ; adhésion ; avenir
affection.n 252 :: or ; air ; aide ; art ; eau ; énergie ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; art ; air ; aide ; origine ; image ; aimer ; heureux ; ensemble ; énergie
aisé.a 2 :: absent ; proche ; vulnérable ; donner ; redevable ; pauvre ; interpellé ; épargner ; mort ; acquérir
aisé.a 38 :: privilégier ; élitiste ; bourgeoise ; important ; restreindre ; élevé ; aimable ; pauvre ; exigeant ; attrayant
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; pauvre ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; harmonieux ; favoriser ; satisfaisant ; ultérieur ; indiscutable ; adéquat
aisé.a 139 :: riche ; supérieur ; moyen ; privilégier ; élevé ; modeste ; nanti ; défavorisé ; important ; social
aisé.a 173 :: évident ; compliqué ; facile ; accessible ; amusant ; impossible ; envisageable ; passionnant ; incertain ; intéressant
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; approprié ; avantageux ; difficile ; envisageable ; indispensable
aisé.a 198 :: riche ; honorable ; supérieur ; modeste ; pauvre ; important ; noble ; fortuné ; démunir ; bourgeois
aisé.a 253 :: facile ; faciliter ; intuitif ; ardu ; évident ; aise ; simple ; simplifier ; effectif ; compliqué
aisé.a 275 :: facile ; évident ; ardu ; difficile ; habituel ; impossible ; avantageux ; auparavant ; compliqué ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; retrouver ; capturer ; recueillir
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; assassiner ; emprisonné ; incarcérer ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: apercevoir ; aimable ; avantage ; aimer ; être ; air ; intégrer ; utiliser ; apparent ; ensemble
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; lâche ; abandonner ; appuyer ; pousse ; cesser ; commencer
arrêter.v 50 :: abandonner ; enlever ; éteindre ; quitter ; inventer ; apprendre ; remplacer ; faire ; arrêt ; voir
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; approuver ; pose ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; aider ; acheter ; bloquer ; atteindre ; frapper ; transporter ; fabriquer
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; emprisonner ; exécuter
arrêter.v 277 :: or ; parer ; but ; point ; an ; canada ; avoir ; voir ; pi ; pouvoir
arrêter.v 291 :: décider ; fixer ; publier ; adopter ; signer ; établir ; proposer ; émettre ; accorder ; approuver
capacité.n 26 :: faculté ; puissance ; flexibilité ; rapidité ; dimension ; disponibilité ; pouvoir ; force ; vitesse ; souplesse
capacité.n 32 :: puissance ; chaîne ; tête ; force ; possibilité ; quantité ; réserve ; charge ; différence ; raison
capacité.n 35 :: clinique ; activité ; équipe ; maîtrise ; formation ; spécialiste ; résidence ; contribution ; population ; communauté
capacité.n 70 :: puissance ; fréquentation ; surface ; consommation ; performance ; rentabilité ; quantité ; construction ; dotation ; sécurité
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; souplesse ; possibilité ; volonté ; flexibilité ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; faculté ; pouvoir ; fonction ; liberté ; force ; mission
capacité.n 103 :: ressource ; possibilité ; activité ; stock ; disponibilité ; chaîne ; unité ; quantité ; installation ; zone
capacité.n 110 :: possibilité ; quantité ; puissance ; batterie ; solution ; suite ; réserve ; garantie ; durée ; surface
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; pouvoir ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; certification ; spécialisation ; maturité ; connaissance ; qualification ; qualité ; licence
commander.v 5 :: dicter ; demander ; vouloir ; signer ; écrire ; commande ; ordonner ; donner ; publier ; réaliser
commander.v 9 :: commander ; commencer ; acheter ; choisir ; sélectionner ; réserver ; découvrir ; oublier ; apprendre ; créer
commander.v 16 :: diriger ; commanda ; recevoir ; soutenir ; ordonner ; combat ; lancer ; consigne ; mener ; prendre
commander.v 41 :: choisir ; commencer ; décider ; faire ; effectuer ; définir ; lancer ; créer ; gérer ; réaliser
commander.v 48 :: contrôlent ; diriger ; déterminer ; gérer ; régir ; créer ; mener ; gouverner ; dominer ; financer
commander.v 117 :: commande ; commanda ; dicter ; commandant ; commandement ; prescrire ; réclamer ; comporter ; permettre ; justifier
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; conseiller ; enjoindre ; prescrire ; demande ; imposer ; enseigne
commander.v 171 :: acheter ; acquérir ; commande ; valider ; admirer ; réserver ; imprimer ; ouvrir ; déguster ; essayer
commander.v 206 :: protéger ; servir ; permettre ; donne ; commande ; donner ; défense ; surveiller ; supprimer ; passer
commander.v 240 :: commande ; régler ; faire ; payer ; uniquement ; contrôler ; également ; personnaliser ; acheter ; prendre
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; lire ; intégrer ; enseigner ; interpréter ; vivre ; contenue
compris.a 90 :: penser ; croire ; sentir ; réaliser ; trouver ; convaincre ; assurer ; saisir ; apprendre ; considérer
compris.a 106 :: entendre ; deviner ; savoir ; vivre ; penser ; nécessaire ; vouloir ; comprendre ; croire ; cacher
compris.a 185 :: inclure ; contenir ; mentionner ; incorporer ; entendre ; inscrire ; inclus ; présent ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; placer ; rester ; présent ; intégré ; sortir
compris.a 187 :: contenu ; compter ; estimer ; situer ; moyen ; recommander ; choisir ; définir ; limité ; supérieur
compris.a 211 :: répartir ; situer ; varier ; mesurer ; grouper ; maintenir ; moyen ; partager ; inclus ; graduellement
compris.a 232 :: inclure ; compter ; contenu ; intégré ; prendre ; reprendre ; cohérent ; cal ; comprendre ; limité
compris.a 272 :: saisir ; réaliser ; penser ; capter ; comprendre ; croire ; savoir ; percevoir ; apprendre ; intégré
compris.a 287 :: saisir ; deviner ; intégré ; reconnaître ; assimiler ; apprendre ; capter ; comprendre ; savoir ; détecter
couverture.n 65 :: manchette ; dernier ; rédaction ; page ; dossier ; sommaire ; couvrir ; série ; semaine ; brochure
couverture.n 67 :: peau ; vie ; voil ; survie ; veste ; mort ; réputation ; route ; toile ; chemise
couverture.n 72 :: housse ; toiture ; reliure ; couvrir ; revêtement ; peau ; couvert ; produit ; terrasse ; traire
couverture.n 143 :: manchette ; couvrir ; illustration ; fort ; bref ; page ; tête ; pochette ; conclusion ; marge
couverture.n 149 :: protection ; sécurité ; gestion ; vie ; garantie ; couvert ; surveillance ; responsabilité ; caisse ; régime
couverture.n 150 :: toiture ; couvrir ; charpente ; pierre ; toit ; protection ; tuile ; voil ; voûte ; construction
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; gestion ; sécurité ; transformation ; conquête ; boucle
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; transformation ; revêtement ; sol ; couvert ; surface ; base
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; corde ; couette ; litière ; commode ; veste ; protection
couverture.n 280 :: peau ; voil ; protection ; lune ; neige ; véranda ; reliure ; plume ; carapace ; tension
débit.n 64 :: dépôt ; compte ; versement ; banque ; règlement ; paiement ; crédit ; faciliter ; solde ; nombre
débit.n 87 :: montant ; paiement ; crédit ; compte ; versement ; règlement ; solde ; flux ; dépôt ; accès
débit.n 115 :: niveau ; rythme ; flux ; cours ; flot ; poids ; écoulement ; volume ; delta ; régime
débit.n 131 :: niveau ; flux ; eau ; courant ; couche ; dépôt ; bassin ; chambre ; réservoir ; pression
débit.n 136 :: flux ; cours ; apport ; eau ; niveau ; rive ; crue ; bord ; coefficient ; prix
débit.n 168 :: montant ; compte ; règlement ; crédit ; virement ; jet ; financement ; paiement ; privilèg ; traitement
