affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; affectation ; époque ; extrémité ; opération
affection.n 20 :: international ; étroit ; air ; aimable ; atlantique ; éventuel ; apercevoir ; externe ; interne ; alpha
affection.n 33 :: air ; externe ; international ; aide ; art ; interne ; adjectif ; image ; étymologie ; obliger
affection.n 44 :: situation ; dépendance ; tendance ; espèce ; particularité ; maladie ; chose ; évolution ; caractéristique ; attitude
affection.n 145 :: pathologie ; maladie ; inflammation ; anomalie ; activité ; irritation ; dysfonction ; dégénérescence ; lésion ; aberration
affection.n 210 :: aide ; air ; animal ; interne ; international ; externe ; eau ; étranger ; indien ; appui
affection.n 224 :: pathologie ; maladie ; atteinte ; indication ; inflammation ; entité ; condition ; complication ; option ; situation
affection.n 233 :: investissement ; traitement ; alimentation ; opinion ; information ; soutien ; éducation ; avantage ; enseignement ; environnement
affection.n 252 :: aide ; or ; art ; ancien ; ici ; air ; image ; échange ; étrange ; usage
affection.n 254 :: or ; air ; aide ; art ; origine ; image ; international ; énergie ; heureux ; ensemble
aisé.a 2 :: absent ; auteur ; exclure ; entreprise ; vulnérable ; absenter ; travailleuse ; porter ; prise ; présent
aisé.a 38 :: favoriser ; privilégier ; bourgeoise ; élevé ; important ; riche ; éclairer ; nombreux ; facile ; urbain
aisé.a 105 :: riche ; pauvre ; paisible ; modeste ; bourgeois ; favoriser ; fortuné ; populaire ; résidentiel ; jeune
aisé.a 109 :: facile ; faciliter ; évident ; ardu ; satisfaisant ; serein ; avantageux ; simple ; assurer ; favoriser
aisé.a 139 :: moyen ; supérieur ; social ; populaire ; pauvre ; modeste ; défavorisé ; riche ; privilégier ; bourgeois
aisé.a 173 :: problématique ; compliqué ; lisible ; facile ; évident ; précis ; chaleureux ; fluide ; simple ; envisageable
aisé.a 178 :: facile ; difficile ; ardu ; impossible ; compliqué ; simple ; avantageux ; susceptible ; indispensable ; évident
aisé.a 198 :: riche ; âgé ; pauvre ; concerner ; fortuné ; simple ; noble ; modeste ; vulnérable ; présent
aisé.a 253 :: intuitif ; facile ; simple ; progressif ; rapide ; automatique ; simplifier ; faciliter ; lent ; délicat
aisé.a 275 :: facile ; évident ; difficile ; impossible ; simple ; ardu ; avantageux ; compliqué ; tôt ; commun
arrêter.v 1 :: enlever ; stopper ; tuer ; prendre ; arrêt ; suspendre ; abandonner ; fixer ; donner ; accomplir
arrêter.v 14 :: condamner ; interpellé ; licencié ; tuer ; hospitaliser ; abattu ; interpeller ; suspendre ; incarcérer ; emprisonné
arrêter.v 23 :: apercevoir ; excellent ; être ; objet ; aimable ; intervenant ; outil ; avantage ; arbitral ; ensemble
arrêter.v 25 :: laisse ; lâche ; arrêt ; oublier ; abandonner ; commencer ; bois ; marque ; passer ; trouver
arrêter.v 50 :: abandonner ; quitter ; apprendre ; voir ; enlever ; faire ; prendre ; éteindre ; inventer ; retenir
arrêter.v 181 :: dépose ; dresse ; pose ; établir ; définir ; approuver ; terminer ; vérifier ; contenir ; publier
arrêter.v 219 :: tuer ; faire ; aider ; transporter ; acheter ; stopper ; abattre ; réduire ; éliminer ; fabriquer
arrêter.v 273 :: condamner ; prendre ; adopter ; attacher ; interdire ; abandonner ; capturer ; enlever ; suspendre ; exécuter
arrêter.v 277 :: ment ; but ; falloir ; également ; li ; faire ; point ; os ; or ; déjà
