affection.n 8 :: maladie ; dernier ; disposition ; institution ; opération ; affectation ; épreuve ; reconnaissance ; incapacité ; opinion
affection.n 20 :: international ; air ; intermédiaire ; hémisphère ; origine ; environnement ; article ; or ; objet ; énergie
affection.n 33 :: aide ; clip ; image ; art ; international ; air ; ancien ; animal ; interne ; usage
affection.n 44 :: tendance ; évolution ; maladie ; situation ; dépendance ; espèce ; attitude ; long ; formation ; qualité
affection.n 145 :: pathologie ; lésion ; inflammation ; irritation ; substance ; activité ; dégénérescence ; atteinte ; maladie ; entité
affection.n 210 :: aide ; air ; international ; étroit ; art ; étranger ; interne ; étymologie ; envoi ; animal
affection.n 224 :: atteinte ; maladie ; pathologie ; sensibilité ; origine ; inflammation ; tendance ; blessure ; douleur ; situation
affection.n 233 :: attention ; intérêt ; influence ; information ; estime ; amour ; opinion ; appui ; éducation ; sentiment
affection.n 252 :: aide ; or ; art ; air ; ouverture ; eau ; envoi ; ici ; amour ; international
affection.n 254 :: air ; international ; aide ; externe ; art ; étroit ; origine ; étymologie ; ancien ; effectif
aisé.a 2 :: absent ; pauvre ; proche ; commune ; interpellé ; tuer ; donner ; empêcher ; épargner ; mort
aisé.a 38 :: bourgeoise ; élevé ; privilégier ; résidentiel ; modeste ; doré ; important ; voire ; notable ; élitiste
aisé.a 105 :: riche ; paisible ; modeste ; pauvre ; nanti ; favoriser ; bourgeois ; fortuné ; instruire ; populaire
aisé.a 109 :: facile ; prospère ; laborieux ; économique ; simple ; commode ; commune ; naître ; social ; devenir
aisé.a 139 :: riche ; pauvre ; social ; élevé ; facile ; populaire ; supérieur ; privilégier ; moyen ; gratuit
aisé.a 173 :: évident ; facile ; accessible ; amusant ; agréable ; compliqué ; intéressant ; difficile ; important ; chaleureux
aisé.a 178 :: ardu ; compliqué ; évident ; difficile ; facile ; çà ; guère ; quelquefois ; impossible ; envisageable
aisé.a 198 :: riche ; modeste ; raffiné ; honorable ; privilégier ; noble ; important ; pauvre ; supérieur ; inférieur
aisé.a 253 :: facile ; simple ; ardu ; précis ; faciliter ; compliqué ; simplifier ; soigner ; ultérieur ; évident
aisé.a 275 :: facile ; difficile ; impossible ; évident ; simple ; ardu ; avantageux ; compliqué ; commun ; habituel
arrêter.v 1 :: prendre ; retrouver ; mort ; enlever ; trouver ; tuer ; arrêt ; capturer ; interpeller ; stopper
arrêter.v 14 :: condamner ; interpellé ; interpeller ; emprisonné ; suspendre ; sanctionné ; assassiner ; incarcérer ; hospitaliser ; poursuivre
arrêter.v 23 :: être ; apercevoir ; avantage ; hésiter ; ensemble ; objet ; intervenir ; excellent ; aimer ; effectuer
arrêter.v 25 :: laisse ; continuer ; oublier ; paie ; développer ; écrire ; ajouter ; aimer ; appuyer ; cesser
arrêter.v 50 :: abandonner ; supprimer ; enlever ; retenir ; continuer ; prendre ; voir ; annuler ; cesser ; faire
arrêter.v 181 :: élaborer ; écrire ; préparer ; programme ; définir ; équilibre ; contenir ; commencer ; décider ; pose
arrêter.v 219 :: fabriquer ; construire ; fixer ; atteindre ; faire ; assembler ; acheter ; former ; aider ; transporter
arrêter.v 273 :: fixer ; prendre ; mort ; suspendre ; écrire ; condamner ; établir ; déterminer ; abattre ; donner
arrêter.v 277 :: parer ; or ; canada ; der ; point ; an ; but ; ré ; li ; double
arrêter.v 291 :: publier ; proposer ; établir ; émettre ; adopter ; signer ; approuver ; élaborer ; produit ; délivrer
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; possibilité ; extraordinaire ; souplesse ; pouvoir ; rapidité ; disposition
capacité.n 32 :: puissance ; commune ; quantité ; force ; tête ; propriété ; différence ; production ; moyen ; consommation
capacité.n 35 :: membre ; employé ; étudiant ; fonctionnaire ; médecin ; travailleur ; personne ; résident ; spécialiste ; représentant
capacité.n 70 :: puissance ; résultat ; débit ; développement ; quantité ; équipement ; nombre ; surface ; batterie ; parc
capacité.n 73 :: faculté ; compétence ; force ; aptitude ; détermination ; souplesse ; possibilité ; résilience ; volonté ; confiance
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; propre ; pouvoir ; liberté ; vertu ; force
capacité.n 103 :: ressource ; possibilité ; marge ; réserve ; quantité ; installation ; unité ; disponibilité ; chaîne ; surface
capacité.n 110 :: hauteur ; possibilité ; réserve ; suite ; batterie ; différence ; quantité ; série ; charge ; production
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; droit ; pouvoir ; force ; sphère ; porter
capacité.n 148 :: faculté ; aptitude ; formation ; compétence ; maîtrise ; connaissance ; pratique ; volonté ; droit ; force
commander.v 5 :: publier ; exclusif ; spécial ; réaliser ; fabriqué ; gratuit ; précédemment ; signer ; offrir ; livrer
commander.v 9 :: commander ; par ; commencer ; choisir ; ligne ; page ; passer ; entraînement ; partager ; fois
commander.v 16 :: commandant ; diriger ; ordonner ; lancer ; commanda ; soutenir ; présente ; réaliser ; mener ; recevoir
commander.v 41 :: commencer ; répéter ; effectuer ; faire ; suivre ; réaliser ; observer ; choisir ; voir ; créer
commander.v 48 :: diriger ; contrôlent ; créer ; déterminer ; régir ; gérer ; gouverner ; dominer ; tirer ; mener
commander.v 117 :: commande ; dicter ; commandement ; prescrire ; commandant ; conseillent ; barre ; réclamer ; suggérer ; seoir
commander.v 164 :: donne ; dicter ; mal ; passer ; demande ; également ; ment ; çà ; bon ; énormément
commander.v 171 :: commande ; acheter ; valider ; acquérir ; faire ; imprimer ; commencer ; terminer ; également ; commandant
