affection.n 8 :: affectation ; résolution ; épreuve ; reconnaissance ; considération ; maladie ; disgrâce ; disposition ; influence ; attaque
affection.n 20 :: excellent ; propre ; illustre ; aimable ; air ; aide ; apercevoir ; amitié ; ancien ; étroit
affection.n 33 :: aide ; air ; image ; or ; animal ; clip ; international ; ancien ; externe ; art
affection.n 44 :: dépendance ; situation ; tendance ; espèce ; maladie ; sensibilité ; particularité ; relation ; impression ; conséquence
affection.n 145 :: appeler ; héréditaire ; transmettre ; grave ; contagieux ; génétique ; transmission ; long ; maladie ; trouble
affection.n 210 :: air ; aide ; animal ; externe ; interne ; étranger ; apparent ; eau ; étymologie ; international
affection.n 224 :: maladie ; atteinte ; pathologie ; option ; complication ; trouble ; opération ; activité ; entité ; infection
affection.n 233 :: opinion ; appui ; intérêt ; amitié ; image ; amour ; avis ; adhésion ; argent ; identité
affection.n 252 :: or ; aide ; air ; art ; eau ; ici ; énergie ; image ; obliger ; évolution
affection.n 254 :: or ; aide ; art ; air ; origine ; image ; énergie ; ensemble ; histoire ; accueil
aisé.a 2 :: absent ; facile ; simple ; proche ; mort ; devenir ; donner ; jeune ; parfait ; acquérir
aisé.a 38 :: bourgeoise ; facile ; restreindre ; important ; exigeant ; pauvre ; prestigieux ; accessible ; laborieux ; modeste
aisé.a 105 :: riche ; pauvre ; paisible ; chic ; instruire ; nanti ; fortuné ; modeste ; branché ; populaire
aisé.a 109 :: faciliter ; adéquat ; évident ; graduel ; serein ; indiscutable ; restreindre ; facile ; ultérieur ; homogène
aisé.a 139 :: riche ; pauvre ; supérieur ; moyen ; social ; défavorisé ; privilégier ; populaire ; vulnérable ; favoriser
aisé.a 173 :: chaleureux ; facile ; précis ; amusant ; fluide ; compliqué ; évident ; problématique ; paisible ; simple
aisé.a 178 :: facile ; difficile ; impossible ; susceptible ; fréquent ; nécessaire ; envisageable ; souhaitable ; simple ; compliqué
aisé.a 198 :: riche ; supérieur ; honorable ; pauvre ; modeste ; ordinaire ; religieux ; bourgeois ; simple ; élevé
aisé.a 253 :: intuitif ; facile ; évident ; simple ; satisfaisant ; progressif ; délicat ; faciliter ; précis ; difficile
aisé.a 275 :: facile ; évident ; ardu ; difficile ; impossible ; compliqué ; avantageux ; simple ; récent ; habituel
arrêter.v 1 :: stopper ; enlever ; suspendre ; tuer ; condamner ; couper ; prendre ; abattre ; fixer ; exécuter
arrêter.v 14 :: condamner ; licencié ; interpellé ; assassiner ; employé ; abattu ; emprisonné ; récompenser ; poursuivre ; suspendre
arrêter.v 23 :: aimer ; avantage ; être ; apercevoir ; intégrer ; air ; ensemble ; or ; utiliser ; assurance
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; ajouter ; abandonner ; paie ; écrire ; lâche ; commencer
