affection.n 8 :: affectation ; amitié ; habitude ; dernier ; épreuve ; admiration ; maladie ; adoption ; attaque ; opinion
affection.n 20 :: ancien ; étroit ; excellent ; aide ; article ; air ; aimable ; illustre ; amitié ; apercevoir
affection.n 33 :: aide ; étymologie ; ancien ; art ; international ; animal ; image ; éternel ; expérience ; incessant
affection.n 44 :: dépendance ; situation ; tendance ; maladie ; évolution ; long ; chose ; partie ; attitude ; formation
affection.n 145 :: pathologie ; léger ; maladie ; cause ; complication ; fort ; important ; manifestation ; déficience ; expression
affection.n 210 :: air ; aide ; interne ; eau ; international ; externe ; étranger ; art ; or ; animal
affection.n 224 :: pathologie ; maladie ; atteinte ; complication ; tendance ; situation ; dépendance ; condition ; inflammation ; grave
affection.n 233 :: amitié ; estime ; intérêt ; amour ; opinion ; appui ; attachement ; avenir ; argent ; enfance
affection.n 252 :: aide ; obliger ; or ; art ; image ; être ; air ; ensemble ; ici ; étrange
affection.n 254 :: art ; or ; aide ; image ; origine ; air ; heureux ; international ; esthétique ; accueil
aisé.a 2 :: absent ; exclure ; absenter ; redevable ; pauvre ; appeler ; attentif ; empêcher ; épargner ; prendre
aisé.a 38 :: bourgeoise ; étranger ; citadin ; privilégier ; européen ; social ; élite ; français ; diversifier ; naître
aisé.a 105 :: riche ; paisible ; pauvre ; modeste ; bourgeois ; chic ; populaire ; résidentiel ; sûr ; équilibrer
aisé.a 109 :: facile ; faciliter ; évident ; harmonieux ; adéquat ; avantageux ; satisfaisant ; homogène ; rigoureux ; étroit
aisé.a 139 :: moyen ; défavorisé ; pauvre ; riche ; privilégier ; supérieur ; social ; populaire ; modeste ; dominant
aisé.a 173 :: évident ; facile ; compliqué ; direct ; accessible ; précis ; fluide ; lisible ; avancer ; simple
aisé.a 178 :: facile ; ardu ; compliqué ; difficile ; simple ; évident ; avantageux ; faisable ; envisageable ; habituel
aisé.a 198 :: modeste ; riche ; honorable ; supérieur ; pauvre ; âgé ; inférieur ; important ; noble ; haut
aisé.a 253 :: facile ; simple ; soigner ; rapide ; complexe ; délicat ; subtil ; précis ; simplifier ; intuitif
aisé.a 275 :: facile ; évident ; difficile ; impossible ; simple ; auparavant ; avantageux ; habituel ; ardu ; compliqué
arrêter.v 1 :: prendre ; enlever ; attacher ; fixer ; tuer ; trouver ; crucifié ; exécuter ; suspendre ; condamner
arrêter.v 14 :: hospitaliser ; condamner ; suspendre ; mort ; abattu ; interpellé ; exclure ; emprisonné ; exécuter ; interpeller
arrêter.v 23 :: utiliser ; effectuer ; accès ; année ; excellent ; intervenir ; étroit ; avantage ; obtenir ; aller
arrêter.v 25 :: laisse ; piqu ; paie ; cesser ; garde ; limite ; appuyer ; continuer ; oublier ; ferme
arrêter.v 50 :: abandonner ; quitter ; faire ; éteindre ; appeler ; prendre ; remplacer ; inventer ; enlever ; apprendre
arrêter.v 181 :: dresse ; préparer ; élaborer ; établir ; adopter ; approuver ; fixe ; définir ; pose ; présente
arrêter.v 219 :: fabriquer ; faire ; tuer ; fixer ; acheter ; produire ; aider ; stopper ; installer ; assembler
arrêter.v 273 :: capturer ; emprisonner ; libérer ; bannir ; libre ; exécuter ; expulser ; vendre ; torturer ; condamner
arrêter.v 277 :: article ; in ; or ; aimer ; aide ; us ; out ; an ; apercevoir ; os
arrêter.v 291 :: proposer ; publier ; émettre ; signer ; acquérir ; adopter ; décider ; accepter ; établir ; nommer
capacité.n 26 :: faculté ; disponibilité ; flexibilité ; puissance ; possibilité ; pouvoir ; disposition ; faciliter ; rapidité ; extraordinaire
capacité.n 32 :: puissance ; chaîne ; différence ; tête ; technologie ; quantité ; demande ; base ; propriété ; société
capacité.n 35 :: université ; équipe ; charge ; contribution ; puissance ; place ; membre ; population ; pointe ; formation
capacité.n 70 :: fréquentation ; puissance ; surface ; rentabilité ; hauteur ; consommation ; sécurité ; construction ; production ; superficie
capacité.n 73 :: faculté ; compétence ; aptitude ; possibilité ; disponibilité ; dimension ; force ; souplesse ; détermination ; responsabilité
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; propre ; liberté ; pouvoir ; vie ; mission
capacité.n 103 :: ressource ; disponibilité ; installation ; stock ; réserve ; activité ; production ; infrastructure ; batterie ; quantité
capacité.n 110 :: possibilité ; réserve ; trésorerie ; puissance ; quantité ; batterie ; production ; base ; série ; disponibilité
capacité.n 135 :: faculté ; liberté ; possibilité ; puissance ; marge ; pouvoir ; maîtrise ; force ; porter ; sphère
capacité.n 148 :: maîtrise ; qualité ; compétence ; formation ; profession ; maturité ; licence ; faculté ; connaissance ; spécialisation
commander.v 5 :: publier ; écrire ; réaliser ; signer ; dicter ; envoyer ; public ; accomplir ; effectuer ; livrer
commander.v 9 :: commander ; commencer ; ici ; choisir ; acheter ; trouver ; partager ; vivre ; découvrir ; apprendre
