affection.n 8 :: général ; grand ; adresse ; nouveau ; chronique ; collection ; canada ; international ; histoire ; bibliographie
affection.n 20 :: externe ; international ; air ; étranger ; aide ; propre ; étroit ; extérieur ; être ; évolution
affection.n 33 :: aide ; air ; clip ; expérience ; apparent ; énergie ; efficace ; ancien ; externe ; éternel
affection.n 44 :: maladie ; évolution ; tendance ; situation ; dépendance ; espèce ; chose ; long ; attitude ; union
affection.n 145 :: pathologie ; lésion ; maladie ; substance ; dysfonction ; complication ; inflammation ; activité ; cause ; nature
affection.n 210 :: air ; aide ; eau ; art ; or ; origine ; être ; énergie ; évolution ; autant
affection.n 224 :: pathologie ; maladie ; dépendance ; condition ; atteinte ; situation ; souffrance ; inflammation ; douleur ; option
affection.n 233 :: amitié ; adresse ; amour ; argent ; intérêt ; histoire ; assistance ; article ; appartenance ; avenir
affection.n 252 :: or ; ici ; art ; aide ; obliger ; envoi ; ancien ; hiver ; eau ; usage
affection.n 254 :: or ; art ; aide ; image ; air ; origine ; énergie ; animal ; heureux ; envoi
aisé.a 2 :: proche ; vulnérable ; absent ; surprendre ; pauvre ; épargner ; mort ; obliger ; acquérir ; impliquer
aisé.a 38 :: exigeant ; facile ; aimable ; bourgeoise ; décontractée ; restreindre ; compliqué ; important ; varier ; sophistiquer
aisé.a 105 :: riche ; pauvre ; fortuné ; favoriser ; chic ; modeste ; facile ; populaire ; paisible ; élégant
aisé.a 109 :: facile ; faciliter ; rigoureux ; évident ; satisfaisant ; social ; profond ; serein ; simple ; favoriser
aisé.a 139 :: supérieur ; moyen ; modeste ; pauvre ; défavorisé ; populaire ; social ; riche ; privilégier ; intermédiaire
aisé.a 173 :: évident ; facile ; accessible ; intéressant ; avancer ; agréable ; optimal ; efficace ; homogène ; précis
aisé.a 178 :: facile ; difficile ; ardu ; compliqué ; susceptible ; évident ; avantageux ; envisageable ; simple ; impossible
aisé.a 198 :: riche ; âgé ; concerner ; présent ; noble ; religieux ; pauvre ; choisir ; mineur ; démunir
aisé.a 253 :: facile ; simple ; simplifier ; intuitif ; ultérieur ; faciliter ; effectuer ; rapide ; soigner ; automatiser
aisé.a 275 :: facile ; difficile ; simple ; avantageux ; compliqué ; évident ; ardu ; récent ; élevé ; important
arrêter.v 1 :: stopper ; enlever ; prendre ; fixer ; tuer ; bloquer ; abandonner ; accomplir ; interrompre ; décider
arrêter.v 14 :: interpellé ; condamner ; abattu ; incarcérer ; suspendre ; assassiner ; interpeller ; emprisonné ; tuer ; poursuivre
arrêter.v 23 :: être ; apercevoir ; aimer ; excellent ; aimable ; avantage ; appeler ; in ; indien ; officiel
arrêter.v 25 :: laisse ; oublier ; abandonner ; garde ; cesser ; piqu ; supprimer ; lâche ; donne ; paie
arrêter.v 50 :: abandonner ; quitter ; apprendre ; voir ; enlever ; faire ; inventer ; supprimer ; utiliser ; éteindre
arrêter.v 181 :: dresse ; établir ; choisir ; donne ; déterminer ; définir ; contenir ; pose ; fixe ; préparer
arrêter.v 219 :: faire ; acheter ; aider ; produire ; fabriquer ; construire ; transporter ; identifier ; développer ; tuer
arrêter.v 273 :: condamner ; interdire ; adopter ; mort ; écrire ; définitivement ; établir ; exécuter ; fixer ; décider
arrêter.v 277 :: or ; parer ; but ; point ; vue ; os ; également ; in ; canada ; pouvoir
arrêter.v 291 :: publier ; adopter ; émettre ; proposer ; approuver ; acquérir ; décider ; délivrer ; signer ; accepter
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; rapidité ; possibilité ; souplesse ; dimension ; vitesse ; force
capacité.n 32 :: chaîne ; puissance ; force ; réserve ; quantité ; tête ; machine ; différence ; possibilité ; technologie
capacité.n 35 :: activité ; disponibilité ; licence ; spécialiste ; chambre ; formation ; faculté ; autorisation ; mention ; demande
capacité.n 70 :: fréquentation ; puissance ; surface ; consommation ; rentabilité ; performance ; sécurité ; construction ; hauteur ; taille
capacité.n 73 :: faculté ; compétence ; détermination ; aptitude ; force ; souplesse ; possibilité ; flexibilité ; résilience ; disponibilité
capacité.n 101 :: qualité ; compétence ; pouvoir ; puissance ; fonction ; liberté ; responsabilité ; vertu ; légitimité ; faculté
capacité.n 103 :: stock ; quantité ; ressource ; volume ; activité ; possibilité ; disponibilité ; surface ; coût ; structure
capacité.n 110 :: quantité ; possibilité ; batterie ; puissance ; solution ; minimum ; carte ; nécessaire ; réserve ; option
capacité.n 135 :: faculté ; marge ; possibilité ; puissance ; force ; liberté ; pouvoir ; droit ; base ; fenêtre
