affection.n 8 :: dernier ; église ; maladie ; famille ; fille ; seigneurie ; affectation ; disposition ; occasion ; nomination
affection.n 20 :: international ; adjectif ; alpha ; usage ; externe ; audiovisuelle ; interne ; appareil ; aimable ; étranger
affection.n 33 :: aide ; animal ; image ; étymologie ; interne ; ancien ; externe ; air ; adjectif ; art
affection.n 44 :: tendance ; dépendance ; situation ; évolution ; expérience ; maladie ; attitude ; impression ; relation ; sensibilité
affection.n 145 :: pathologie ; maladie ; activité ; atteinte ; inflammation ; anomalie ; dégénérescence ; complication ; origine ; lésion
affection.n 210 :: aide ; air ; interne ; externe ; international ; origine ; animal ; obliger ; étranger ; art
affection.n 224 :: maladie ; pathologie ; passion ; condition ; infection ; tendance ; situation ; complication ; problème ; atteinte
affection.n 233 :: appui ; opinion ; avenir ; amitié ; amour ; article ; enseignement ; suffrage ; attachement ; intérêt
affection.n 252 :: or ; art ; aide ; air ; eau ; ici ; obliger ; image ; homme ; habitude
affection.n 254 :: or ; air ; aide ; image ; ensemble ; art ; eau ; heureux ; origine ; extrême
aisé.a 2 :: absent ; vulnérable ; propriétaire ; obligatoire ; présent ; tuer ; commune ; pauvre ; redevable ; empêcher
aisé.a 38 :: facile ; élevé ; riche ; important ; accessible ; nombreux ; modeste ; exigeant ; pauvre ; privilégier
aisé.a 105 :: riche ; pauvre ; paisible ; nanti ; fortuné ; modeste ; favoriser ; sûr ; élégant ; facile
aisé.a 109 :: facile ; faciliter ; évident ; économique ; harmonieux ; satisfaisant ; avantageux ; compliqué ; simple ; aise
aisé.a 139 :: supérieur ; moyen ; riche ; modeste ; élevé ; social ; privilégier ; intermédiaire ; avancer ; pauvre
aisé.a 173 :: évident ; compliqué ; avancer ; table ; amusant ; important ; chaleureux ; impressionnant ; problématique ; impossible
aisé.a 178 :: facile ; difficile ; impossible ; compliqué ; ardu ; important ; simple ; envisageable ; délicat ; urgent
aisé.a 198 :: être ; demeurer ; fort ; affaire ; riche ; extrêmement ; réputer ; agréable ; devenir ; avoir
aisé.a 253 :: facile ; intuitif ; précis ; faciliter ; simple ; évident ; progressif ; rapide ; compliqué ; ardu
aisé.a 275 :: facile ; difficile ; simple ; intéressant ; évident ; faciliter ; élevé ; facilement ; compliqué ; utile
arrêter.v 1 :: stopper ; enlever ; tuer ; abandonner ; prendre ; guérir ; couper ; mort ; recueillir ; trouver
arrêter.v 14 :: interpellé ; interpeller ; mort ; employé ; fonctionnaire ; hospitaliser ; personne ; sortir ; condamner ; assassiner
arrêter.v 23 :: être ; apercevoir ; art ; aimer ; âge ; air ; appeler ; arme ; excellent ; aide
arrêter.v 25 :: laisse ; cesser ; arrêt ; continuer ; développer ; ajouter ; limite ; aimer ; appuyer ; commencer
arrêter.v 50 :: abandonner ; quitter ; inventer ; faire ; apprendre ; voir ; appeler ; enlever ; remplacer ; éteindre
arrêter.v 181 :: préparer ; établir ; dresse ; vérifier ; complet ; élaborer ; sélectionner ; définir ; présente ; déterminer
arrêter.v 219 :: faire ; tuer ; stopper ; transporter ; abattre ; acheter ; attraper ; aider ; atteindre ; produire
arrêter.v 273 :: mort ; exécuter ; interpeller ; condamner ; suspendre ; prendre ; coupable ; libre ; retrouver ; reprendre
arrêter.v 277 :: point ; or ; but ; parer ; li ; an ; pré ; os ; falloir ; pi
arrêter.v 291 :: publier ; émettre ; adopter ; proposer ; signer ; établir ; nommer ; décider ; délivrer ; accepter
capacité.n 26 :: faculté ; force ; puissance ; disponibilité ; flexibilité ; rapidité ; souplesse ; aptitude ; qualité ; pouvoir
capacité.n 32 :: puissance ; chaîne ; commune ; technologie ; activité ; société ; différence ; gamme ; force ; tête
capacité.n 35 :: spécialiste ; maîtrise ; formation ; activité ; représentant ; équipe ; université ; emploi ; expert ; enseigner
capacité.n 70 :: puissance ; quantité ; consommation ; surface ; fréquentation ; propriété ; disposition ; nombre ; disponibilité ; production
capacité.n 73 :: faculté ; compétence ; souplesse ; aptitude ; résilience ; force ; détermination ; formation ; disponibilité ; créativité
capacité.n 101 :: qualité ; puissance ; compétence ; fonction ; pouvoir ; faculté ; propre ; plénitude ; liberté ; vie
capacité.n 103 :: activité ; installation ; ressource ; disponibilité ; batterie ; unité ; infrastructure ; utilisation ; stock ; coût
capacité.n 110 :: réserve ; possibilité ; batterie ; quantité ; puissance ; solution ; suite ; multitude ; limite ; différence
capacité.n 135 :: faculté ; marge ; liberté ; puissance ; possibilité ; pouvoir ; force ; droit ; volonté ; porter
capacité.n 148 :: formation ; maîtrise ; certification ; spécialisation ; compétence ; licence ; qualification ; connaissance ; maturité ; faculté
commander.v 5 :: dicter ; écrire ; publier ; réaliser ; signer ; accomplir ; effectuer ; vouloir ; tenir ; envoyer
commander.v 9 :: commander ; vous ; commencer ; gratuitement ; ensuite ; rapidement ; déjà ; tranquillement ; facilement ; dé
commander.v 16 :: commandant ; diriger ; barre ; mener ; successivement ; supervise ; recevoir ; brillamment ; commanda ; ferme
commander.v 41 :: commencer ; choisir ; faire ; décider ; définir ; effectuer ; demander ; gérer ; lancer ; acheter
commander.v 48 :: contrôlent ; gérer ; tirer ; diriger ; créer ; financer ; dominer ; déterminer ; régir ; mener
commander.v 117 :: commande ; dieu ; commandement ; marine ; demande ; compte ; père ; militaire ; service ; demander
commander.v 164 :: obéir ; appartenir ; demande ; ment ; manque ; ordonner ; dicter ; donne ; résister ; nuit
commander.v 171 :: commande ; acheter ; valider ; réserver ; faire ; voir ; commencer ; aller ; acquérir ; imprimer
commander.v 206 :: permettre ; donne ; défense ; servir ; limite ; vouloir ; dépasser ; protéger ; empêcher ; venir
commander.v 240 :: commande ; également ; faire ; modifier ; uniquement ; voire ; mieux ; chose ; prochainement ; simplement
compris.a 52 :: accepter ; assimiler ; recevoir ; intégrer ; vivre ; partager ; retenir ; percevoir ; reconnaître ; lire
compris.a 90 :: an ; gros ; gant ; os ; également ; face ; grand ; osseux ; lourd ; petit
compris.a 106 :: prouver ; davantage ; confirmer ; démontrer ; écrire ; apprendre ; vivre ; savoir ; penser ; vrai
compris.a 185 :: inclure ; contenir ; inscrire ; incorporer ; présent ; conserver ; mentionner ; situer ; indiquer ; mort
