affection.n 8 :: considération ; dernier ; reconnaissance ; nouveau ; observation ; important ; intéressant ; douloureux ; extraordinaire ; continuation
affection.n 20 :: aimable ; excellent ; étroit ; air ; ancien ; atlantique ; aide ; heureux ; illustre ; ante
affection.n 33 :: aide ; évolution ; expérience ; éternel ; expédition ; énergie ; énorme ; échange ; intention ; efficace
affection.n 44 :: tendance ; situation ; dépendance ; évolution ; union ; espèce ; relation ; chose ; alliance ; maladie
affection.n 145 :: pathologie ; maladie ; atteinte ; indication ; entité ; inflammation ; dégénérescence ; activité ; cause ; anomalie
affection.n 210 :: aide ; air ; eau ; origine ; ensemble ; installation ; habitude ; image ; être ; animal
affection.n 224 :: maladie ; pathologie ; atteinte ; complication ; inflammation ; condition ; grave ; option ; opération ; situation
affection.n 233 :: amitié ; opinion ; amour ; appui ; attachement ; intérêt ; appartenance ; estime ; engagement ; environnement
affection.n 252 :: or ; aide ; art ; envoi ; obliger ; être ; eau ; parer ; air ; ensemble
affection.n 254 :: aide ; art ; air ; or ; image ; international ; animal ; énergie ; origine ; immigré
aisé.a 2 :: absent ; pauvre ; prendre ; empêcher ; riche ; lier ; mort ; exclure ; proche ; vulnérable
aisé.a 38 :: élevé ; important ; assurer ; favoriser ; riche ; facile ; prestigieux ; étendu ; évident ; honorable
aisé.a 105 :: riche ; pauvre ; modeste ; jeune ; favoriser ; fortuné ; paisible ; élevé ; urbain ; populaire
aisé.a 109 :: facile ; harmonieux ; favoriser ; sûr ; faciliter ; privilégier ; simple ; réussir ; favorable ; avantageux
aisé.a 139 :: moyen ; modeste ; supérieur ; pauvre ; riche ; défavorisé ; social ; important ; élevé ; inférieur
aisé.a 173 :: évident ; facile ; intéressant ; amusant ; accessible ; agréable ; direct ; fluide ; passionnant ; chaleureux
aisé.a 178 :: difficile ; facile ; nécessaire ; impossible ; important ; simple ; agréable ; fréquent ; susceptible ; souhaitable
aisé.a 198 :: riche ; noble ; honorable ; pauvre ; âgé ; modeste ; important ; ordinaire ; proche ; défavorisé
aisé.a 253 :: facile ; simple ; simplifier ; intuitif ; rapide ; soigner ; adéquat ; précis ; automatique ; fluide
aisé.a 275 :: facile ; difficile ; évident ; simple ; ardu ; compliqué ; impossible ; avantageux ; commun ; surprenant
arrêter.v 1 :: enlever ; exécuter ; condamner ; prendre ; tuer ; juger ; capturer ; suspendre ; abandonner ; fixer
arrêter.v 14 :: condamner ; abattu ; interpellé ; emprisonné ; tuer ; incarcérer ; assassiner ; suspendre ; interpeller ; licencié
arrêter.v 23 :: excellent ; apercevoir ; être ; étroit ; avantage ; effectuer ; utiliser ; outil ; objet ; englober
arrêter.v 25 :: laisse ; oublier ; abandonner ; cesser ; continuer ; commencer ; ferme ; ajouter ; dépose ; passer
arrêter.v 50 :: inventer ; abandonner ; enlever ; appeler ; faire ; apprendre ; quitter ; éteindre ; remplacer ; prendre
arrêter.v 181 :: établir ; dresse ; définir ; choisir ; donne ; pose ; déterminer ; contrôle ; approuver ; préparer
arrêter.v 219 :: tuer ; abattre ; attraper ; atteindre ; faire ; stopper ; voir ; bloquer ; frapper ; commettre
arrêter.v 273 :: exécuter ; capturer ; emprisonner ; assassiner ; condamner ; enlever ; adopter ; libérer ; interpeller ; punir
arrêter.v 277 :: but ; parer ; an ; li ; in ; or ; pi ; point ; canada ; également
arrêter.v 291 :: publier ; signer ; émettre ; proposer ; adopter ; décider ; acquérir ; accepter ; établir ; prendre
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; force ; rapidité ; compétence ; pouvoir ; souplesse ; possibilité
capacité.n 32 :: chaîne ; puissance ; force ; quantité ; tête ; gamme ; raison ; différence ; technologie ; possibilité
capacité.n 35 :: activité ; profession ; clinique ; disponibilité ; contribution ; santé ; spécialiste ; aptitude ; permanence ; résidence
capacité.n 70 :: fréquentation ; puissance ; surface ; sécurité ; production ; dotation ; consommation ; charge ; rentabilité ; place
capacité.n 73 :: faculté ; compétence ; aptitude ; souplesse ; résilience ; détermination ; possibilité ; disponibilité ; dimension ; flexibilité
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; fonction ; propre ; vie ; liberté ; vertu ; pouvoir
capacité.n 103 :: disponibilité ; ressource ; quantité ; batterie ; installation ; réserve ; unité ; production ; région ; stock
capacité.n 110 :: réduction ; quantité ; série ; garantie ; suite ; batterie ; possibilité ; puissance ; réserve ; charge
capacité.n 135 :: faculté ; force ; possibilité ; marge ; liberté ; puissance ; droit ; pouvoir ; volonté ; valeur
capacité.n 148 :: aptitude ; expérience ; formation ; compétence ; faculté ; spécialisation ; maîtrise ; pratique ; présence ; professionnel
commander.v 5 :: dicter ; publier ; écrire ; réaliser ; signer ; demander ; vouloir ; lancer ; rédiger ; produit
commander.v 9 :: commander ; commencer ; apprendre ; acheter ; choisir ; changer ; appliquer ; oublier ; découvrir ; partager
commander.v 16 :: passer ; commandant ; également ; commanda ; recevoir ; diriger ; mener ; vaisseau ; mars ; orient
commander.v 41 :: commencer ; choisir ; faire ; effectuer ; décider ; lancer ; définir ; créer ; réaliser ; suivre
commander.v 48 :: diriger ; créer ; contrôlent ; gouverner ; mener ; dominer ; régir ; déterminer ; organiser ; gérer
commander.v 117 :: commande ; dicter ; supposer ; demander ; réclamer ; suppose ; comporte ; prescrire ; valoir ; demande
commander.v 164 :: ordonner ; enseigne ; obéir ; conseiller ; prescrire ; dicter ; gouverne ; imposer ; régler ; commanda
commander.v 171 :: déguster ; commande ; acheter ; acquérir ; tester ; ouvrir ; manger ; admirer ; recevoir ; prendre
