affection.n 8 :: développement ; territorial ; professionnel ; environnement ; enseignement ; international ; solidarité ; participation ; social ; éducation
affection.n 20 :: aide ; excellent ; ancien ; illustre ; aimable ; air ; étroit ; accent ; immense ; propre
affection.n 33 :: aide ; externe ; étranger ; international ; expédition ; ancien ; apparemment ; immigré ; clip ; art
affection.n 44 :: tendance ; situation ; dépendance ; maladie ; évolution ; espèce ; formation ; chose ; augmentation ; caractéristique
affection.n 145 :: pathologie ; nature ; déficience ; forme ; léger ; maladie ; gaine ; génétique ; petit ; nerveux
affection.n 210 :: air ; aide ; interne ; animal ; eau ; origine ; étranger ; externe ; énergie ; exemple
affection.n 224 :: maladie ; pathologie ; atteinte ; complication ; situation ; condition ; tendance ; option ; dépendance ; plaie
affection.n 233 :: amitié ; amour ; intérêt ; opinion ; appui ; appartenance ; attachement ; estime ; avis ; temps
affection.n 252 :: aide ; or ; art ; air ; ici ; eau ; ancien ; obliger ; image ; ensemble
affection.n 254 :: air ; aide ; or ; origine ; art ; image ; obliger ; homme ; énergie ; eau
aisé.a 2 :: auteur ; absent ; entreprise ; ensemble ; associer ; social ; humain ; inspirer ; obliger ; aimer
aisé.a 38 :: important ; nombreux ; varier ; facile ; privilégier ; exigeant ; élevé ; élitiste ; pauvre ; riche
aisé.a 105 :: riche ; pauvre ; paisible ; populaire ; chic ; ancien ; nanti ; bourgeois ; résidentiel ; modeste
aisé.a 109 :: facile ; faciliter ; évident ; favoriser ; étroit ; profond ; difficile ; privilégier ; homogène ; favorable
aisé.a 139 :: supérieur ; moyen ; riche ; privilégier ; social ; pauvre ; populaire ; élevé ; intermédiaire ; inférieur
aisé.a 173 :: évident ; amusant ; compliqué ; fluide ; passionnant ; impossible ; incertain ; facile ; problématique ; accessible
aisé.a 178 :: facile ; guère ; également ; ici ; fort ; pourtant ; faire ; parfaitement ; simple ; difficile
aisé.a 198 :: riche ; pauvre ; honorable ; âgé ; modeste ; supérieur ; important ; ordinaire ; inférieur ; mineur
