affection.n 8 :: international ; spécial ; général ; automobile ; renaître ; aérospatial ; agricole ; richelieu ; surveillance ; gouvernement
affection.n 20 :: appareil ; adjectif ; alpha ; audiovisuelle ; être ; agro-alimentaire ; usage ; indispensable ; ledit ; aimable
affection.n 33 :: aide ; air ; animal ; externe ; ancien ; image ; art ; interne ; international ; apparent
affection.n 44 :: espèce ; évolution ; tendance ; petit ; long ; situation ; nouveau ; augmentation ; chose ; attitude
affection.n 145 :: pathologie ; maladie ; activité ; substance ; anomalie ; inflammation ; atteinte ; lésion ; déficience ; intervention
affection.n 210 :: aide ; air ; international ; eau ; animal ; interne ; externe ; origine ; art ; image
affection.n 224 :: maladie ; pathologie ; souffrance ; atteinte ; condition ; situation ; cause ; entité ; trouble ; inflammation
affection.n 233 :: article ; propre ; humanité ; préférence ; attachement ; intérêt ; président ; tendresse ; caractère ; dernier
affection.n 252 :: aide ; or ; art ; air ; obliger ; étrange ; assistance ; eau ; origine ; étranger
affection.n 254 :: aide ; or ; art ; air ; origine ; envoi ; eau ; aimer ; énergie ; histoire
aisé.a 2 :: absent ; pauvre ; redevable ; riche ; attentif ; exclure ; vulnérable ; empêcher ; épargner ; appuyer
aisé.a 38 :: privilégier ; bourgeoise ; élevé ; prestigieux ; restreindre ; favoriser ; diversifier ; doré ; important ; nombreux
aisé.a 105 :: riche ; pauvre ; modeste ; fortuné ; paisible ; chic ; bourgeois ; jeune ; populaire ; nanti
aisé.a 109 :: facile ; faciliter ; évident ; harmonieux ; compliqué ; aise ; favorable ; satisfaisant ; simple ; intuitif
aisé.a 139 :: moyen ; riche ; supérieur ; pauvre ; modeste ; défavorisé ; social ; populaire ; inférieur ; privilégier
aisé.a 173 :: simple ; être ; réciproquement ; interface ; facile ; donnée ; également ; presque ; varier ; pratique
aisé.a 178 :: facile ; difficile ; ardu ; compliqué ; évident ; impossible ; envisageable ; temps ; simple ; avantageux
aisé.a 198 :: pauvre ; riche ; modeste ; noble ; honorable ; supérieur ; religieux ; âgé ; concerner ; mineur
aisé.a 253 :: facile ; simple ; progressif ; assurer ; évident ; précis ; intuitif ; rapide ; exact ; difficile
aisé.a 275 :: facile ; difficile ; ardu ; évident ; compliqué ; simple ; impossible ; auparavant ; avantageux ; habituel
arrêter.v 1 :: prendre ; stopper ; abandonner ; tuer ; enlever ; capturer ; fixer ; trouver ; retrouver ; arrêt
arrêter.v 14 :: condamner ; hospitaliser ; interpellé ; suspendre ; emprisonné ; incarcérer ; inculper ; interpeller ; tuer ; assassiner
arrêter.v 23 :: être ; apercevoir ; excellent ; aimer ; effectuer ; âge ; officiel ; enseigner ; arme ; avantage
arrêter.v 25 :: laisse ; arrêt ; oublier ; commencer ; ajouter ; cesser ; piqu ; lâche ; continuer ; appuyer
arrêter.v 50 :: abandonner ; quitter ; apprendre ; inventer ; éteindre ; faire ; enlever ; prendre ; remplacer ; appeler
