affection.n 8 :: professionnel ; religieux ; national ; petit ; nouveau ; propre ; bibliographique ; blanc ; personnel ; administratif
affection.n 20 :: ancien ; aide ; excellent ; air ; propre ; aimable ; ante ; illustre ; étroit ; nouveau
affection.n 33 :: clip ; aide ; international ; image ; animal ; air ; art ; externe ; immigré ; heureux
affection.n 44 :: tendance ; dépendance ; évolution ; être ; espèce ; attitude ; situation ; chose ; sensibilité ; est-elle
affection.n 145 :: pathologie ; maladie ; lésion ; atteinte ; inflammation ; activité ; entité ; irritation ; opération ; infection
affection.n 210 :: aide ; air ; externe ; interne ; animal ; art ; énergie ; eau ; étranger ; origine
affection.n 224 :: pathologie ; maladie ; condition ; atteinte ; situation ; complication ; tendance ; dépendance ; cause ; forme
affection.n 233 :: opinion ; amitié ; amour ; appui ; estime ; intérêt ; argent ; image ; humeur ; attachement
affection.n 252 :: or ; ici ; air ; art ; ensemble ; aide ; obliger ; être ; eau ; amour
affection.n 254 :: or ; aide ; air ; origine ; énergie ; image ; art ; intense ; heureux ; esthétique
aisé.a 2 :: absent ; vulnérable ; exclure ; présent ; pauvre ; prise ; prendre ; redevable ; appuyer ; absenter
aisé.a 38 :: important ; élevé ; élitiste ; privilégier ; puissant ; riche ; facile ; affirmer ; favoriser ; pauvre
aisé.a 105 :: riche ; nanti ; instruire ; fortuné ; modeste ; pauvre ; paisible ; chic ; branché ; enrichi
aisé.a 109 :: facile ; évident ; faciliter ; harmonieux ; aise ; général ; intuitif ; simplifier ; heureux ; optimal
aisé.a 139 :: supérieur ; moyen ; riche ; modeste ; social ; populaire ; pauvre ; défavorisé ; inférieur ; intermédiaire
aisé.a 173 :: évident ; facile ; direct ; simple ; amusant ; compliqué ; lisible ; fluide ; précis ; intéressant
aisé.a 178 :: facile ; difficile ; commode ; évident ; habituel ; approprié ; impossible ; simple ; envisageable ; susceptible
aisé.a 198 :: riche ; pauvre ; noble ; âgé ; modeste ; concerner ; fortuné ; privilégier ; mineur ; honorable
aisé.a 253 :: facile ; faciliter ; approfondi ; simple ; intuitif ; précis ; simplifier ; évident ; laborieux ; ardu
aisé.a 275 :: facile ; simple ; difficile ; récent ; évident ; élevé ; compliqué ; important ; limité ; heureux
arrêter.v 1 :: enlever ; suspendre ; stopper ; prendre ; exécuter ; fixer ; condamner ; crucifié ; tuer ; figé
arrêter.v 14 :: condamner ; interpellé ; poursuivre ; hospitaliser ; inculper ; emprisonné ; suspendre ; interpeller ; licencié ; sanctionné
arrêter.v 23 :: utiliser ; excellent ; effectuer ; intervenir ; onéreux ; aller ; améliorer ; aimable ; éminent ; encadrer
arrêter.v 25 :: laisse ; oublier ; lâche ; piqu ; commencer ; ajouter ; sortir ; écrire ; appuyer ; abandonner
arrêter.v 50 :: abandonner ; faire ; quitter ; inventer ; voir ; apprendre ; enlever ; tuer ; prendre ; interrompre
arrêter.v 181 :: dresse ; établir ; préparer ; pose ; élaborer ; évaluer ; choisir ; vérifier ; déterminer ; ébauche
arrêter.v 219 :: tuer ; stopper ; faire ; aider ; attraper ; acheter ; fixer ; couper ; atteindre ; comprendre
