affection.n 8 :: nouveau ; inattendu ; politique ; famille ; mort ; dernier ; militaire ; vie ; suite ; au-delà
affection.n 20 :: ancien ; propre ; aide ; international ; article ; ion ; actuel ; excellent ; extrême ; entreprise
affection.n 33 :: aide ; expérience ; éternel ; art ; or ; énergie ; air ; expédition ; ensemble ; image
affection.n 44 :: situation ; tendance ; dépendance ; évolution ; espèce ; attitude ; maladie ; augmentation ; relation ; impression
affection.n 145 :: pathologie ; maladie ; lésion ; dégénérescence ; inflammation ; tumeur ; anémie ; forme ; force ; atteinte
affection.n 210 :: aide ; air ; international ; origine ; externe ; obliger ; art ; énergie ; eau ; interne
affection.n 224 :: pathologie ; maladie ; souffrir ; grave ; profond ; lourd ; cause ; forme ; terme ; sorte
affection.n 233 :: amitié ; ambition ; estime ; attachement ; appui ; intérêt ; humanité ; attention ; alliance ; image
affection.n 252 :: air ; or ; aide ; art ; interne ; image ; obliger ; apparemment ; énergie ; étranger
affection.n 254 :: or ; aide ; art ; urgent ; origine ; énergie ; air ; usage ; histoire ; homme
aisé.a 2 :: absent ; obliger ; tuer ; acquérir ; vulnérable ; mort ; inséparable ; surprendre ; riche ; lier
aisé.a 38 :: facile ; élevé ; bourgeoise ; important ; riche ; compliqué ; modeste ; pauvre ; privilégier ; haut
aisé.a 105 :: riche ; nanti ; fortuné ; instruire ; pauvre ; modeste ; favoriser ; paisible ; équilibrer ; important
aisé.a 109 :: facile ; faciliter ; évident ; satisfaisant ; adéquat ; parfait ; assurer ; harmonieux ; rigoureux ; acquérir
aisé.a 139 :: supérieur ; moyen ; riche ; défavorisé ; privilégier ; nanti ; pauvre ; modeste ; imposable ; démunir
aisé.a 173 :: évident ; facile ; direct ; compliqué ; précis ; impossible ; accessible ; clair ; fluide ; amusant
aisé.a 178 :: facile ; difficile ; ardu ; compliqué ; avantageux ; évident ; habituel ; approprié ; simple ; impossible
aisé.a 198 :: supérieur ; riche ; modeste ; privilégier ; noble ; âgé ; honorable ; pauvre ; choisir ; raffiné
aisé.a 253 :: simplifier ; facile ; intuitif ; ardu ; simple ; précis ; délicat ; soigner ; compliqué ; adéquat
aisé.a 275 :: facile ; évident ; difficile ; avantageux ; ardu ; simple ; compliqué ; impossible ; habituel ; faciliter
arrêter.v 1 :: enlever ; stopper ; abandonner ; tuer ; prendre ; mort ; condamner ; capturer ; assassiner ; exécuter
arrêter.v 14 :: condamner ; interpellé ; hospitaliser ; interpeller ; emprisonné ; inculper ; abattu ; suspendre ; incarcérer ; poursuivre
arrêter.v 23 :: ensemble ; objet ; avantage ; honneur ; in ; ordre ; ami ; outil ; être ; arbitre
arrêter.v 25 :: laisse ; oublier ; piqu ; cesser ; abandonner ; ferme ; continuer ; écrire ; lâche ; limite
arrêter.v 50 :: faire ; abandonner ; appeler ; regretter ; essayer ; éteindre ; prendre ; moment ; apprendre ; interrompre
arrêter.v 181 :: dresse ; établir ; élaborer ; préparer ; approuver ; adopter ; pose ; définir ; présente ; vote
arrêter.v 219 :: atteindre ; acheter ; construire ; trouver ; aider ; produire ; faire ; développer ; fabriquer ; réduire
arrêter.v 273 :: prendre ; condamner ; capturer ; enlever ; interpeller ; attacher ; exécuter ; écrire ; assassiner ; emprisonner
arrêter.v 277 :: parer ; but ; or ; canada ; falloir ; pré ; également ; point ; bande ; faire
arrêter.v 291 :: signer ; publier ; proposer ; adopter ; décider ; communiqué ; émettre ; approuver ; déposer ; élaborer
capacité.n 26 :: faculté ; flexibilité ; puissance ; pouvoir ; force ; disposition ; possibilité ; faciliter ; compétence ; disponibilité
capacité.n 32 :: puissance ; chaîne ; force ; technologie ; société ; tête ; machine ; activité ; quantité ; raison
capacité.n 35 :: activité ; emploi ; représentant ; formation ; équipe ; spécialiste ; spécialisation ; service ; maîtrise ; profession
capacité.n 70 :: fréquentation ; puissance ; surface ; taille ; dotation ; performance ; rentabilité ; remplissage ; production ; place
capacité.n 73 :: faculté ; compétence ; aptitude ; souplesse ; détermination ; force ; dimension ; volonté ; résilience ; possibilité
capacité.n 101 :: qualité ; puissance ; faculté ; compétence ; fonction ; liberté ; mission ; propre ; vie ; force
capacité.n 103 :: disponibilité ; ressource ; besoin ; activité ; réserve ; infrastructure ; possibilité ; puissance ; quantité ; installation
capacité.n 110 :: quantité ; puissance ; batterie ; carte ; possibilité ; fonction ; location ; propriété ; réserve ; solution
capacité.n 135 :: liberté ; faculté ; marge ; possibilité ; puissance ; porter ; sphère ; droit ; pouvoir ; force
capacité.n 148 :: formation ; maîtrise ; faculté ; compétence ; qualification ; maturité ; licence ; connaissance ; spécialisation ; expérience
commander.v 5 :: livrer ; achever ; vouloir ; produit ; publier ; dicter ; lancer ; donner ; tenir ; concevoir
commander.v 9 :: commander ; ensuite ; acheter ; rapidement ; commencer ; vous ; gratuitement ; prendre ; simplement ; facilement
commander.v 16 :: diriger ; mener ; recevoir ; commanda ; commandant ; conseiller ; lancer ; charge ; préside ; soutenir
commander.v 41 :: choisir ; commencer ; effectuer ; faire ; décider ; suivre ; réaliser ; définir ; voir ; créer
commander.v 48 :: gouverner ; diriger ; commande ; dominer ; composer ; mener ; contrôlent ; régir ; constituer ; tenir
commander.v 117 :: commandement ; devoir ; commande ; ordre ; instruction ; faire ; discipline ; leçon ; service ; servir
commander.v 164 :: ordonner ; enseigne ; imposer ; obéir ; prescrire ; conseiller ; demande ; enjoindre ; inciter ; commanda
commander.v 171 :: acheter ; acquérir ; commande ; faire ; valider ; commandant ; sélectionner ; imprimer ; entrer ; réserver
commander.v 206 :: commande ; voire ; spécial ; exclusif ; marque ; donne ; donner ; personnel ; acheter ; servir
commander.v 240 :: commande ; régler ; payer ; uniquement ; faire ; contrôler ; également ; personnaliser ; vous ; prendre
compris.a 52 :: assimiler ; accepter ; contenue ; compréhensible ; enseigner ; retenir ; expliquer ; interpréter ; entendre ; lire
compris.a 90 :: croire ; penser ; réaliser ; ajouter ; sentir ; convaincre ; apprendre ; trouver ; assurer ; considérer
compris.a 106 :: davantage ; comprendre ; clair ; gagner ; préciser ; sûr ; penser ; apprendre ; vivre ; entendre
compris.a 185 :: inclure ; contenir ; incorporer ; entendre ; présent ; mentionner ; découvrir ; chose ; inscrire ; conserver
compris.a 186 :: inclure ; situer ; entrer ; rester ; déjà ; presque ; présent ; inclus ; rentrer ; perdre
compris.a 187 :: inclure ; contenu ; répartir ; situer ; définir ; compter ; ranger ; évaluer ; estimer ; limité
compris.a 211 :: mesurer ; varier ; grouper ; situer ; inclus ; répartir ; proposer ; convenable ; évaluer ; graduellement
compris.a 232 :: inclure ; prendre ; compter ; reprendre ; intégré ; contenu ; comptabiliser ; inclus ; incorporer ; cohérent
compris.a 272 :: saisir ; penser ; réaliser ; croire ; comprendre ; prendre ; entendre ; capter ; apprendre ; savoir
compris.a 287 :: comprendre ; apprendre ; fois ; marché ; expliquer ; également ; présent ; aimer ; intégré ; inclure
couverture.n 65 :: carte ; rédaction ; page ; actualité ; enquête ; dernier ; vie ; présentation ; édition ; stratégie
couverture.n 67 :: vie ; peau ; survie ; corde ; réputation ; voil ; carrière ; chemise ; veste ; chance
couverture.n 72 :: housse ; sol ; matière ; doublure ; dossier ; revêtement ; peau ; table ; produit ; dessin
couverture.n 143 :: manchette ; couvrir ; fort ; front ; face ; page ; illustration ; marge ; étiquette ; vignette
couverture.n 149 :: protection ; sécurité ; régime ; couvert ; traitement ; répartition ; garantie ; gestion ; définition ; vie
couverture.n 150 :: toiture ; couvrir ; charpente ; voûte ; tuile ; toit ; construction ; pierre ; voil ; décoration
couverture.n 201 :: protection ; surveillance ; gestion ; défense ; planification ; sécurité ; développement ; déploiement ; sécurisation ; cartographie
couverture.n 257 :: remplacement ; construction ; toiture ; transformation ; vêtement ; protection ; revêtement ; développement ; base ; décoration
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; protection ; voil ; douche ; couette ; cascade ; parure
couverture.n 280 :: jaquette ; illustration ; tranche ; reliure ; dos ; photo ; cuir ; titre ; présentation ; préface
débit.n 64 :: paiement ; automatique ; rejet ; règlement ; versement ; courant ; crédit ; compte ; flux ; avancer
débit.n 87 :: gros ; grand ; bon ; haut ; important ; régulier ; fort ; constant ; continu ; rapide
débit.n 115 :: niveau ; cours ; rythme ; volume ; régime ; delta ; flux ; bassin ; poids ; flot
débit.n 131 :: important ; national ; institutionnel ; principal ; particulier ; statistique ; information ; rivière ; communication ; participation
débit.n 136 :: cours ; apport ; flux ; eau ; niveau ; courant ; valeur ; paramètre ; rive ; rejet
débit.n 168 :: cours ; montant ; total ; crédit ; prix ; extraire ; détail ; prélèvement ; réel ; air
débit.n 169 :: total ; principal ; détail ; continu ; partiel ; moyen ; financement ; développement ; mensuel ; réel
débit.n 184 :: taux ; stockage ; rythme ; vitesse ; maximum ; intérêt ; coût ; cadence ; flux ; prix
débit.n 188 :: crue ; apport ; flux ; eau ; cours ; quantité ; niveau ; volume ; retenir ; affluent
débit.n 205 :: rythme ; flux ; tempo ; style ; caractère ; mouvement ; langage ; canal ; médium ; trafic
direction.n 78 :: conduite ; coordination ; responsabilité ; diriger ; houlette ; directrice ; réalisation ; présidence ; gouverne ; supervision
direction.n 111 :: orientation ; ligne ; conduite ; force ; vision ; directrice ; unité ; tête ; base ; forme
direction.n 151 :: directrice ; directeur ; présidence ; supérieur ; responsable ; gestion ; équipe ; représentation ; rédaction ; nouveau
direction.n 152 :: sens ; orientation ; axe ; ligne ; vertical ; optique ; droite ; angle ; supérieur ; côté
direction.n 172 :: peut-être ; sûrement ; destination ; rejoindre ; voir ; direct ; presque ; apparemment ; directeur ; diriger
direction.n 176 :: conduite ; vitesse ; performance ; rapport ; comportement ; pilotage ; orientation ; position ; directeur ; tendance
direction.n 199 :: coordination ; directrice ; rédaction ; interne ; organisation ; directeur ; coopératif ; représentation ; bureau ; secrétaire
direction.n 223 :: diriger ; conduite ; directrice ; responsabilité ; critique ; interprétation ; forme ; directeur ; majorité ; partie
direction.n 262 :: responsabilité ; directrice ; directeur ; gestion ; maîtrise ; conduite ; charge ; tête ; présidence ; coordination
direction.n 279 :: venir ; face ; sens ; destination ; provenance ; raison ; région ; vallée ; province ; fonction
don.n 19 :: sens ; talent ; droit ; style ; aigu ; angle ; degré ; art ; centre ; temps
don.n 30 :: talent ; point ; pouvoir ; atout ; faculté ; plan ; lien ; côté ; moyen ; droit
don.n 36 :: talent ; sens ; droit ; souher ; lien ; livre ; génie ; charm ; pouvoir ; domaine
don.n 60 :: cadeau ; produit ; geste ; livre ; prêt ; legs ; bon ; travail ; traitement ; projet
