affection.n 8 :: occasion ; maladie ; disposition ; dernier ; époque ; considération ; institution ; affectation ; extrémité ; famille
affection.n 20 :: ancien ; propre ; excellent ; nouveau ; article ; haut ; aimable ; antique ; assistance ; aide
affection.n 33 :: aide ; ancien ; clip ; air ; externe ; animal ; art ; apparent ; incessant ; aimable
affection.n 44 :: situation ; tendance ; dépendance ; chose ; ambiance ; attitude ; évolution ; atmosphère ; relation ; attention
affection.n 145 :: maladie ; pathologie ; tumeur ; inflammation ; substance ; lésion ; dégénérescence ; anomalie ; cause ; infection
affection.n 210 :: aide ; air ; origine ; or ; ensemble ; eau ; installation ; ouverture ; énergie ; image
affection.n 224 :: maladie ; pathologie ; inflammation ; complication ; atteinte ; infection ; condition ; grave ; plaie ; anomalie
affection.n 233 :: amitié ; intérêt ; opinion ; attachement ; ambition ; appui ; approbation ; intelligence ; amour ; estime
affection.n 252 :: or ; aide ; air ; art ; obliger ; ici ; image ; ensemble ; adjectif ; eau
affection.n 254 :: aide ; or ; air ; image ; origine ; aller ; intense ; art ; heureux ; ensemble
aisé.a 2 :: absent ; vulnérable ; exclure ; entreprise ; pauvre ; prise ; obligatoire ; absenter ; obliger ; prendre
aisé.a 38 :: facile ; âger ; riche ; raffiné ; bourgeoise ; accessible ; élevé ; étendu ; jeune ; aristocratique
aisé.a 105 :: riche ; paisible ; favoriser ; populaire ; résidentiel ; facile ; instruire ; modeste ; chic ; branché
aisé.a 109 :: faciliter ; facile ; harmonieux ; privilégier ; favorable ; vraisemblable ; compliqué ; restreindre ; avantageux ; rigoureux
aisé.a 139 :: supérieur ; moyen ; riche ; social ; populaire ; modeste ; intermédiaire ; pauvre ; inférieur ; privilégier
aisé.a 173 :: compliqué ; amusant ; problématique ; évident ; avancer ; facile ; chaleureux ; passionnant ; précis ; impeccable
aisé.a 178 :: facile ; difficile ; impossible ; compliqué ; nécessaire ; susceptible ; envisageable ; simple ; souhaitable ; important
aisé.a 198 :: honorable ; démunir ; pauvre ; ordinaire ; riche ; âgé ; modeste ; concerner ; important ; religieux
aisé.a 253 :: intuitif ; facile ; simplifier ; précis ; compliqué ; simple ; soigner ; progressif ; problématique ; satisfaisant
aisé.a 275 :: facile ; évident ; difficile ; simple ; avantageux ; impossible ; compliqué ; ardu ; habituel ; faciliter
arrêter.v 1 :: stopper ; tuer ; enlever ; accomplir ; abandonner ; fixer ; prendre ; décider ; annoncer ; guérir
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; interpeller ; incarcérer ; assassiner ; hospitaliser ; emprisonné ; tuer
arrêter.v 23 :: apercevoir ; être ; excellent ; avantage ; aimer ; aimable ; effectuer ; englober ; étroit ; art
arrêter.v 25 :: laisse ; oublier ; lâche ; limite ; piqu ; abandonner ; appuyer ; pousse ; baisse ; ramasser
arrêter.v 50 :: abandonner ; faire ; quitter ; réduire ; continuer ; voir ; retenir ; prendre ; enlever ; in
arrêter.v 181 :: modifier ; continuer ; donne ; finance ; dresse ; vérifier ; définir ; complet ; publier ; présente
arrêter.v 219 :: tuer ; pouvoir ; faire ; but ; abattre ; atteindre ; attraper ; commettre ; mort ; retrouver
arrêter.v 273 :: emprisonner ; condamner ; capturer ; bannir ; exécuter ; interdire ; assassiner ; exiler ; adopter ; abattre
arrêter.v 277 :: in ; or ; an ; parer ; but ; point ; us ; cesser ; li ; pouvoir
arrêter.v 291 :: décider ; publier ; signer ; émettre ; proposer ; accepter ; adopter ; fixer ; annoncer ; exclure
capacité.n 26 :: faculté ; disponibilité ; possibilité ; puissance ; pouvoir ; caractéristique ; rapidité ; caractère ; capable ; dimension
capacité.n 32 :: puissance ; quantité ; force ; production ; possibilité ; tête ; base ; charge ; capable ; réserve
capacité.n 35 :: formation ; activité ; profession ; clinique ; maîtrise ; spécialiste ; spécialisation ; expertise ; expérience ; compétence
capacité.n 70 :: puissance ; fréquentation ; surface ; charge ; quantité ; rentabilité ; production ; superficie ; densité ; consommation
capacité.n 73 :: faculté ; compétence ; aptitude ; résilience ; détermination ; souplesse ; force ; disponibilité ; possibilité ; créativité
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; pouvoir ; faculté ; propre ; vertu ; vie ; propriété
capacité.n 103 :: ressource ; disponibilité ; quantité ; unité ; possibilité ; coût ; réserve ; surface ; stock ; activité
capacité.n 110 :: municipal ; production ; réserve ; actuel ; supérieur ; supplémentaire ; exceptionnel ; différence ; nécessaire ; important
capacité.n 135 :: faculté ; possibilité ; liberté ; marge ; pouvoir ; puissance ; droit ; force ; volonté ; sphère
capacité.n 148 :: professionnel ; faculté ; aptitude ; principal ; compétence ; entier ; plein ; supérieur ; présente ; actuel
commander.v 5 :: écrire ; dicter ; signer ; publier ; accomplir ; donner ; réaliser ; rédiger ; demander ; vouloir
commander.v 9 :: commander ; découvrir ; commencer ; choisir ; créer ; apprendre ; acheter ; sélectionner ; demander ; essayer
commander.v 16 :: diriger ; recevoir ; combat ; ordonner ; commanda ; consigne ; charge ; livre ; mener ; contrôle
commander.v 41 :: choisir ; commencer ; effectuer ; décider ; faire ; lancer ; créer ; définir ; changer ; obtenir
commander.v 48 :: contrôlent ; créer ; diriger ; dominer ; gouverner ; déterminer ; régir ; gérer ; mener ; organiser
commander.v 117 :: commande ; çà ; dieu ; commandement ; normalement ; mal ; ordre ; devoir ; vraiment ; césar
commander.v 164 :: ordre ; demande ; mode ; question ; division ; article ; introduction ; réponse ; honneur ; instruction
commander.v 171 :: commande ; acheter ; valider ; faire ; déjà ; acquérir ; réserver ; commandant ; commencer ; voir
commander.v 206 :: protéger ; devoir ; défense ; refuser ; dernier ; permettre ; servir ; recevoir ; porter ; commande
commander.v 240 :: commande ; régler ; contrôler ; piloter ; également ; activer ; faire ; modifier ; uniquement ; personnaliser
compris.a 52 :: accepter ; interpréter ; assimiler ; percevoir ; compréhensible ; vivre ; maîtriser ; entendre ; lire ; aimer
compris.a 90 :: penser ; trouver ; croire ; falloir ; savoir ; juger ; reconnaître ; apprendre ; estimer ; considérer
compris.a 106 :: deviner ; penser ; déjà ; vivre ; remarquer ; entendre ; expliquer ; sentir ; mieux ; nécessaire
compris.a 185 :: inclure ; recevoir ; inscrire ; incorporer ; participation ; contenir ; présent ; découvrir ; entendre ; nécessaire
compris.a 186 :: inclure ; entrer ; situer ; rester ; présent ; perdre ; déjà ; tomber ; inscrire ; placer
compris.a 187 :: compter ; inclure ; situer ; contenu ; estimer ; calculer ; répartir ; moyen ; évaluer ; varier
compris.a 211 :: répartir ; grouper ; définir ; circulaire ; observer ; varier ; accepter ; contenir ; situer ; intermédiaire
compris.a 232 :: inclure ; prendre ; compter ; contenu ; reprendre ; inclus ; intégré ; également ; admettre ; contenir
compris.a 272 :: saisir ; comprendre ; entendre ; capter ; apprendre ; percevoir ; prendre ; croire ; intégré ; réaliser
compris.a 287 :: intégré ; comprendre ; saisir ; assimiler ; apprendre ; oublier ; deviner ; apprécier ; capter ; reconnaître
couverture.n 65 :: rédaction ; chronique ; page ; dernier ; critique ; protection ; actualité ; revue ; carte ; moitié
couverture.n 67 :: peau ; vie ; réputation ; survie ; chance ; liberté ; protection ; journée ; veste ; tête
couverture.n 72 :: couvrir ; pochette ; sol ; produit ; photo ; reliure ; housse ; modèle ; matière ; logo
couverture.n 143 :: manchette ; illustration ; tête ; couvrir ; page ; recto ; front ; fort ; pied ; sommaire
couverture.n 149 :: protection ; sécurité ; vie ; connaissance ; responsabilité ; prise ; ligne ; politique ; consommation ; clientèle
couverture.n 150 :: toiture ; couvrir ; toit ; pierre ; charpente ; tuile ; ardoise ; protection ; construction ; desserte
couverture.n 201 :: surveillance ; protection ; sécurité ; défense ; conquête ; cartographie ; sécurisation ; transformation ; déploiement ; pénétration
couverture.n 257 :: toiture ; construction ; base ; revêtement ; sol ; protection ; remplacement ; transformation ; surface ; terre
couverture.n 265 :: couvrir ; serviette ; housse ; bâche ; véranda ; cape ; couette ; veste ; voil ; capuche
couverture.n 280 :: jaquette ; tranche ; préface ; principal ; base ; tête ; reliure ; introduction ; peau ; lune
débit.n 64 :: compte ; banque ; automatique ; courant ; bancaire ; établissement ; principal ; faciliter ; poste ; titre
débit.n 87 :: montant ; poids ; prix ; budget ; achat ; coût ; crédit ; volume ; niveau ; rendement
débit.n 115 :: cours ; niveau ; flux ; poids ; écoulement ; afflux ; gros ; flot ; eau ; qualité
débit.n 131 :: chute ; lit ; prélèvement ; niveau ; courant ; système ; château ; vin ; réservoir ; point
débit.n 136 :: flux ; cours ; apport ; volume ; coefficient ; niveau ; prix ; rive ; crue ; effectif
débit.n 168 :: automatique ; rapide ; partiel ; capacité ; internet ; niveau ; supérieur ; numérique ; rythme ; différé
débit.n 169 :: montant ; cours ; niveau ; prix ; coût ; traitement ; résultat ; flux ; rythme ; rendement
débit.n 184 :: taux ; score ; intérêt ; rythme ; chiffre ; rendement ; potentiel ; ratio ; total ; développement
débit.n 188 :: crue ; marée ; inondation ; cours ; apport ; niveau ; rivière ; prélèvement ; saumon ; précipitation
débit.n 205 :: rythme ; flux ; canal ; tempo ; trafic ; vol ; jet ; accès ; caractère ; service
direction.n 78 :: conduite ; responsabilité ; houlette ; coordination ; diriger ; directrice ; présidence ; discipline ; commande ; supervision
direction.n 111 :: orientation ; directrice ; conduite ; organisation ; ligne ; directeur ; coordination ; présidence ; unité ; responsabilité
direction.n 151 :: directrice ; gestion ; dg ; dérive ; dauphin ; société ; management ; badminton ; tête ; compagnie
direction.n 152 :: ligne ; position ; déviation ; droite ; configuration ; table ; roue ; orientation ; barre ; commande
direction.n 172 :: rejoindre ; traverser ; bonjour ; gagner ; file ; destination ; bientôt ; quitte ; direct ; peut-être
direction.n 176 :: bon ; orientation ; directrice ; conduite ; contrôle ; forme ; diriger ; constant ; directeur ; transmission
direction.n 199 :: rédaction ; présidence ; coordination ; commission ; délégation ; majorité ; convention ; directrice ; conduite ; fédération
direction.n 223 :: conduite ; responsabilité ; diriger ; directrice ; présidence ; maîtrise ; tâche ; majorité ; représentation ; surveillance
direction.n 262 :: directeur ; directrice ; responsable ; management ; général ; contrôle ; gestion ; responsabilité ; supérieur ; présidence
direction.n 279 :: destination ; face ; provenance ; sens ; venir ; faveur ; province ; raison ; région ; sortir
don.n 19 :: sens ; talent ; souci ; style ; point ; droit ; regard ; temps ; doué ; pouvoir
don.n 30 :: talent ; oeil ; pouvoir ; trait ; atout ; loisir ; fonds ; lien ; pied ; droit
don.n 36 :: talent ; sens ; pouvoir ; génie ; droit ; domaine ; goût ; charm ; livre ; développement
don.n 60 :: cadeau ; travail ; legs ; produit ; apport ; sacrifice ; héritage ; aide ; geste ; livre
don.n 84 :: produit ; revenu ; contribution ; apport ; loyer ; fonds ; cadeau ; salaire ; bénéficiaire ; avantage
don.n 107 :: cadeau ; faire ; part ; présent ; nombre ; dimanche ; der ; prix ; confiance ; état
don.n 130 :: cadeau ; fonds ; apport ; enfant ; contribution ; legs ; bénédiction ; remerciement ; vin ; témoignage
don.n 196 :: génie ; talent ; truc ; caractère ; traitement ; trésor ; secret ; cadeau ; qualité ; temps
don.n 244 :: cadeau ; bon ; legs ; geste ; testament ; souher ; versement ; apport ; droit ; présent
don.n 245 :: travail ; trésor ; talent ; legs ; cadeau ; objet ; témoignage ; apport ; reste ; achat
entraîner.v 39 :: or ; art ; aide ; ouverture ; ensemble ; évolution ; expédition ; international ; image ; histoire
entraîner.v 47 :: aide ; obliger ; aider ; encourager ; invite ; inciter ; engager ; contraindre ; pousse ; amener
entraîner.v 55 :: air ; international ; aide ; externe ; or ; actuel ; origine ; énergie ; efficace ; étroit
entraîner.v 57 :: air ; or ; eau ; évolution ; exercice ; être ; efficace ; apparemment ; action ; image
entraîner.v 133 :: animal ; ancien ; aide ; air ; image ; art ; ensemble ; clip ; énergie ; international
entraîner.v 140 :: mener ; amener ; conduire ; envoyer ; attirer ; pousser ; emporter ; porter ; engager ; diriger
entraîner.v 144 :: invite ; obliger ; avoir ; amener ; engager ; inviter ; force ; commencer ; pousse ; inciter
entraîner.v 161 :: provoquer ; amener ; conduire ; causer ; créer ; expliquer ; engendrer ; éviter ; produire ; pallier
entraîner.v 162 :: amener ; provoquer ; conduire ; encourager ; favoriser ; assurer ; accélérer ; déclenche ; influence ; expliquer
entraîner.v 191 :: emporter ; conduire ; précipiter ; attirer ; amener ; jeter ; traîner ; abandonner ; apporter ; élever
éplucher.v 10 :: peler ; faire ; nettoyer ; égoutter ; finement ; laver ; ensuite ; presser ; feuille ; également
éplucher.v 51 :: éplucher ; analyser ; examiner ; lire ; travailler ; attentivement ; fouillé ; soigneusement ; regarder ; étudier
éplucher.v 69 :: regarder ; lire ; faire ; passer ; fouiller ; attentivement ; soigneusement ; examiner ; minutieusement ; vouloir
éplucher.v 100 :: éplucher ; finement ; peler ; mûr ; consommer ; trancher ; presser ; tailler ; récolter ; grossièrement
éplucher.v 119 :: fouillé ; parcourir ; éplucher ; regarder ; explorer ; lire ; déjà ; tourner ; entendre ; autant
éplucher.v 167 :: laver ; conserver ; oublier ; observer ; couper ; mélanger ; légume ; retourner ; poireau ; feuille
éplucher.v 174 :: faire ; lire ; feuille ; regarder ; statistique ; voir ; nouveau ; recette ; page ; billet
éplucher.v 235 :: peler ; faire ; arracher ; tailler ; couper ; récolter ; ouvrir ; détailler ; affiner ; trancher
éplucher.v 236 :: avoir ; éplucher ; attention ; terre ; regarder ; mettre ; garder ; laisser ; petit ; gros
éplucher.v 258 :: peler ; falloir ; finement ; faire ; mieux ; longuement ; terre ; oignon ; carotte ; légèrement
espace.n 13 :: ensemble ; établissement ; or ; nouveau ; grand ; euro ; ancien ; os ; accès ; innombrable
espace.n 27 :: air ; immigré ; adjectif ; art ; image ; usage ; aide ; obliger ; or ; ancien
espace.n 79 :: temps ; coin ; support ; zone ; environnement ; lieu ; ensemble ; outil ; idéal ; expérience
espace.n 120 :: air ; petit ; article ; excellent ; propre ; étroit ; grand ; énergie ; chaussure ; nouveau
espace.n 137 :: environnement ; marché ; domaine ; investissement ; produit ; avantage ; avenir ; temps ; droit ; aspect
