affection.n 8 :: disposition ; occasion ; considération ; maladie ; institution ; affectation ; dernier ; observation ; instruction ; opération
affection.n 20 :: être ; appareil ; usage ; article ; interne ; entourer ; exploitation ; international ; adjectif ; ensemble
affection.n 33 :: air ; aide ; interne ; ancien ; externe ; adjectif ; international ; incessant ; ante ; image
affection.n 44 :: évolution ; dépendance ; développement ; tendance ; être ; également ; formation ; nouveau ; long ; croissance
affection.n 145 :: pathologie ; activité ; maladie ; substance ; inflammation ; composante ; entité ; déficience ; nature ; anomalie
affection.n 210 :: aide ; air ; externe ; international ; interne ; ancien ; animal ; origine ; étranger ; art
affection.n 224 :: pathologie ; maladie ; histoire ; atteinte ; souffrance ; origine ; profond ; cause ; petit ; faiblesse
affection.n 233 :: amitié ; amour ; intérêt ; estime ; attachement ; appui ; argent ; histoire ; opinion ; temps
affection.n 252 :: or ; aide ; art ; eau ; air ; ici ; image ; ensemble ; énergie ; évolution
affection.n 254 :: aide ; clip ; international ; air ; esthétique ; image ; obliger ; espace ; éternel ; art
aisé.a 2 :: absent ; proche ; acquérir ; attentif ; exclure ; inséparable ; enfant ; vulnérable ; redevable ; épargner
aisé.a 38 :: facile ; riche ; modeste ; privilégier ; confortable ; élevé ; cosmopolite ; social ; nombreux ; bourgeoise
aisé.a 105 :: riche ; modeste ; simple ; facile ; pauvre ; jeune ; fortuné ; humble ; élégant ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; adéquat ; ultérieur ; avantageux ; satisfaisant ; serein ; rigoureux ; restreindre
aisé.a 139 :: pauvre ; riche ; supérieur ; modeste ; moyen ; privilégier ; français ; bourgeois ; défavorisé ; européen
aisé.a 173 :: facile ; évident ; fluide ; avancer ; précis ; intéressant ; compliqué ; accessible ; agréable ; amusant
aisé.a 178 :: ardu ; facile ; compliqué ; habituel ; faisable ; approprié ; étique ; dorénavant ; évident ; avantageux
aisé.a 198 :: supérieur ; riche ; modeste ; honorable ; âgé ; inférieur ; pauvre ; moyen ; important ; mineur
aisé.a 253 :: facile ; intuitif ; simple ; délicat ; soigner ; finalement ; progressif ; simplifier ; inégal ; personnel
aisé.a 275 :: facile ; évident ; simple ; difficile ; ardu ; compliqué ; avantageux ; commun ; auparavant ; habituel
arrêter.v 1 :: enlever ; prendre ; capturer ; tuer ; trouver ; stopper ; attacher ; condamner ; assassiner ; retrouver
arrêter.v 14 :: condamner ; abattu ; emprisonné ; suspendre ; interpellé ; incarcérer ; tuer ; licencié ; interpeller ; assassiner
