affection.n 8 :: affectation ; maladie ; disposition ; ambition ; dernier ; épreuve ; influence ; tendresse ; habitude ; institution
affection.n 20 :: excellent ; air ; aimable ; étroit ; or ; ancien ; aide ; interne ; illustre ; propre
affection.n 33 :: or ; international ; air ; externe ; aide ; étymologie ; origine ; adjectif ; art ; irremplaçable
affection.n 44 :: dépendance ; situation ; tendance ; évolution ; relation ; maladie ; attitude ; sensibilité ; espèce ; chose
affection.n 145 :: maladie ; pathologie ; atteinte ; infection ; inflammation ; condition ; cause ; complication ; léger ; activité
affection.n 210 :: aide ; air ; eau ; art ; étranger ; origine ; envoi ; animal ; étymologie ; ancien
affection.n 224 :: maladie ; pathologie ; atteinte ; complication ; grave ; opération ; situation ; condition ; inflammation ; tendance
affection.n 233 :: amitié ; appui ; image ; opinion ; adhésion ; amour ; influence ; intérêt ; entretien ; argent
affection.n 252 :: or ; aide ; air ; art ; ici ; obliger ; ensemble ; image ; eau ; amour
affection.n 254 :: air ; art ; or ; origine ; aide ; image ; ensemble ; arriver ; aimer ; emploi
aisé.a 2 :: absent ; redevable ; exclure ; pauvre ; appuyer ; incapable ; vulnérable ; attentif ; absenter ; abstenu
aisé.a 38 :: modeste ; pauvre ; facile ; cosmopolite ; bourgeoise ; riche ; confortable ; abordable ; important ; social
aisé.a 105 :: riche ; pauvre ; fortuné ; modeste ; simple ; nanti ; instruire ; sûr ; heureux ; jeune
aisé.a 109 :: facile ; faciliter ; évident ; ardu ; satisfaisant ; économique ; simple ; enfantine ; serein ; compliqué
aisé.a 139 :: supérieur ; riche ; moyen ; pauvre ; modeste ; populaire ; privilégier ; intermédiaire ; défavorisé ; bourgeois
aisé.a 173 :: compliqué ; précis ; fluide ; facile ; évident ; profond ; problématique ; chaleureux ; prévisible ; accessible
aisé.a 178 :: facile ; ardu ; indispensable ; impossible ; difficile ; compliqué ; susceptible ; évident ; habituel ; avantageux
aisé.a 198 :: riche ; noble ; âgé ; supérieur ; honorable ; marier ; modeste ; royal ; religieux ; important
aisé.a 253 :: intuitif ; facile ; faciliter ; simple ; simplifier ; égal ; également ; laborieux ; ardu ; compliqué
aisé.a 275 :: facile ; évident ; difficile ; simple ; avantageux ; habituel ; impossible ; ordinaire ; heureux ; faciliter
arrêter.v 1 :: enlever ; tuer ; prendre ; abandonner ; guérir ; juger ; capturer ; retrouver ; crucifié ; stopper
arrêter.v 14 :: blessé ; mort ; condamner ; hospitaliser ; tuer ; abattu ; assassiner ; emprisonné ; interpellé ; exclure
arrêter.v 23 :: être ; apercevoir ; aimer ; avantage ; excellent ; intégrer ; effectuer ; air ; appeler ; âge
arrêter.v 25 :: laisse ; oublier ; appuyer ; abandonner ; commencer ; lâche ; arrêt ; pousse ; piqu ; continuer
arrêter.v 50 :: abandonner ; faire ; enlever ; quitter ; partager ; prendre ; apprendre ; voir ; cesser ; continuer
