affection.n 8 :: maladie ; affectation ; disposition ; occasion ; dernier ; épreuve ; habitude ; ambition ; attaque ; influence
affection.n 20 :: étroit ; international ; externe ; étranger ; aimable ; ancien ; air ; éventuel ; indispensable ; interne
affection.n 33 :: aide ; air ; art ; image ; expérience ; animal ; clip ; ancien ; expédition ; éternel
affection.n 44 :: situation ; dépendance ; espèce ; relation ; tendance ; chose ; génération ; impression ; attitude ; augmentation
affection.n 145 :: surnommer ; appeler ; masculin ; doux ; grand-mère ; paternel ; prune ; petit ; mentor ; léger
affection.n 210 :: aide ; air ; or ; eau ; image ; évolution ; origine ; art ; user ; énergie
affection.n 224 :: maladie ; pathologie ; atteinte ; inflammation ; condition ; infection ; dépendance ; cause ; complication ; option
affection.n 233 :: amitié ; amour ; attachement ; estime ; intérêt ; appui ; assistance ; opinion ; tendresse ; adoration
affection.n 252 :: or ; air ; aide ; art ; eau ; étrange ; image ; automne ; habitude ; ici
affection.n 254 :: or ; aide ; origine ; ouverture ; air ; espace ; art ; énergie ; accueil ; image
aisé.a 2 :: absent ; auteur ; pauvre ; humain ; fort ; empêcher ; principal ; attentif ; vivant ; peuple
aisé.a 38 :: élevé ; facile ; riche ; pauvre ; important ; nombreux ; confortable ; intéressant ; accessible ; modeste
aisé.a 105 :: riche ; paisible ; pauvre ; chic ; populaire ; fortuné ; modeste ; jeune ; branché ; favoriser
aisé.a 109 :: facile ; faciliter ; harmonieux ; simplifier ; favoriser ; favorable ; simple ; social ; satisfaisant ; évident
aisé.a 139 :: moyen ; supérieur ; social ; bourgeois ; populaire ; riche ; inférieur ; intermédiaire ; privilégier ; haut
aisé.a 173 :: évident ; compliqué ; impossible ; amusant ; facile ; précis ; agréable ; accessible ; passionnant ; avancer
aisé.a 178 :: difficile ; facile ; impossible ; compliqué ; fréquent ; susceptible ; envisageable ; nécessaire ; important ; indispensable
aisé.a 198 :: riche ; marier ; démunir ; royal ; âgé ; honorable ; modeste ; important ; concerner ; noble
aisé.a 253 :: facile ; soigner ; simple ; intuitif ; satisfaisant ; simplifier ; délicat ; rapide ; complexe ; précis
aisé.a 275 :: facile ; difficile ; évident ; impossible ; compliqué ; simple ; avantageux ; ardu ; important ; récent
arrêter.v 1 :: enlever ; stopper ; tuer ; abandonner ; accomplir ; suspendre ; capturer ; briser ; couper ; interrompre
arrêter.v 14 :: condamner ; interpeller ; interpellé ; suspendre ; prendre ; blessé ; prise ; hospitaliser ; sanctionné ; emprisonné
arrêter.v 23 :: utiliser ; effectuer ; aller ; employer ; année ; investir ; utilisation ; atteindre ; aimer ; acquérir
arrêter.v 25 :: oublier ; laisse ; écrire ; aimer ; utiliser ; attendre ; travailler ; pousse ; paie ; garde
arrêter.v 50 :: inventer ; abandonner ; quitter ; apprendre ; faire ; éteindre ; interrompre ; prendre ; enlever ; voir
arrêter.v 181 :: établir ; dresse ; préparer ; définir ; déterminer ; élaborer ; fournir ; pose ; sélectionner ; donne
arrêter.v 219 :: bloquer ; faire ; identifier ; enregistrer ; atteindre ; abattre ; tuer ; acheter ; développer ; stopper
arrêter.v 273 :: capturer ; enlever ; interdire ; condamner ; adopter ; prendre ; assassiner ; attacher ; interpeller ; abandonner
arrêter.v 277 :: but ; or ; point ; in ; parer ; seul ; avoir ; centre ; commission ; également
arrêter.v 291 :: publier ; proposer ; signer ; adopter ; émettre ; accepter ; nommer ; délivrer ; libérer ; décider
capacité.n 26 :: faculté ; disponibilité ; puissance ; propriété ; compétence ; augmentation ; flexibilité ; coopératif ; extraordinaire ; pouvoir
capacité.n 32 :: réserve ; quantité ; tête ; puissance ; production ; moyen ; force ; charge ; durée ; propriété
capacité.n 35 :: spécialiste ; résidence ; maîtrise ; activité ; médecin ; formation ; profession ; docteur ; clinique ; disponibilité
capacité.n 70 :: puissance ; quantité ; disponibilité ; utilisation ; production ; taille ; force ; consommation ; volume ; densité
capacité.n 73 :: faculté ; aptitude ; compétence ; souplesse ; résilience ; détermination ; possibilité ; dimension ; vulnérabilité ; disponibilité
capacité.n 101 :: compétence ; qualité ; fonction ; puissance ; faculté ; pouvoir ; propre ; vertu ; liberté ; matière
capacité.n 103 :: unité ; coût ; activité ; disponibilité ; quantité ; installation ; opération ; chaîne ; possibilité ; ressource
capacité.n 110 :: batterie ; puissance ; réserve ; possibilité ; carte ; quantité ; surface ; location ; extension ; voiture
capacité.n 135 :: marge ; faculté ; liberté ; possibilité ; puissance ; force ; pouvoir ; droit ; volonté ; raison
capacité.n 148 :: faculté ; compétence ; profession ; aptitude ; maîtrise ; connaissance ; pratique ; professionnel ; qualité ; principal
commander.v 5 :: spécial ; publier ; réaliser ; fournir ; gratuit ; livrer ; public ; officiel ; produit ; collectif
commander.v 9 :: commander ; partager ; choisir ; oublier ; créer ; commencer ; apprendre ; acheter ; découvrir ; utiliser
commander.v 16 :: diriger ; commanda ; recevoir ; combat ; mener ; charge ; prendre ; soutenir ; préside ; consigne
commander.v 41 :: choisir ; faire ; décider ; effectuer ; commencer ; créer ; lancer ; définir ; gérer ; réaliser
commander.v 48 :: gouvernement ; particulier ; commande ; entreprise ; affaire ; être ; pari ; supérieur ; puissance ; général
commander.v 117 :: commande ; dicter ; réclamer ; comporter ; commanda ; permettre ; commandement ; dorénavant ; requérir ; normalement
commander.v 164 :: ordonner ; ment ; nuit ; obéir ; commanda ; enseigne ; imposer ; appartenir ; demande ; plaire
commander.v 171 :: commande ; déguster ; acheter ; réserver ; recevoir ; acquérir ; payer ; ouvrir ; imprimer ; valider
commander.v 206 :: servir ; commande ; conseil ; donner ; acheter ; devenir ; permettre ; collectif ; donne ; tiers
commander.v 240 :: commande ; également ; simplement ; payer ; bientôt ; prendre ; acheter ; uniquement ; gratuitement ; faire
compris.a 52 :: assimiler ; accepter ; retenir ; lire ; contenue ; percevoir ; intégrer ; compréhensible ; recevoir ; entendre
compris.a 90 :: également ; an ; élire ; grand ; cas ; ami ; côté ; point ; terminer ; face
compris.a 106 :: entendre ; deviner ; vivre ; comprendre ; penser ; clair ; déjà ; davantage ; décider ; savoir
compris.a 185 :: participation ; quelques-uns ; particulier ; considérable ; également ; présent ; ouvrage ; supérieur ; produit ; ci-dessous
compris.a 186 :: inclure ; situer ; inscrire ; entrer ; présent ; complet ; excellent ; gratuit ; rester ; déjà
