affection.n 8 :: maladie ; affectation ; dernier ; ambition ; disposition ; tendresse ; occasion ; attaque ; amitié ; épreuve
affection.n 20 :: audiovisuelle ; appareil ; aimable ; international ; usage ; interne ; article ; adjectif ; étroit ; audiovisuel
affection.n 33 :: aide ; air ; image ; clip ; art ; ancien ; irremplaçable ; approche ; irréversible ; or
affection.n 44 :: dépendance ; situation ; maladie ; tendance ; évolution ; espèce ; attitude ; impression ; forme ; long
affection.n 145 :: pathologie ; maladie ; inflammation ; complication ; activité ; lésion ; hypertension ; force ; cause ; origine
affection.n 210 :: aide ; air ; évolution ; eau ; étranger ; échange ; art ; international ; énergie ; origine
affection.n 224 :: pathologie ; maladie ; complication ; inflammation ; condition ; grave ; situation ; infection ; atteinte ; dépendance
affection.n 233 :: amitié ; amour ; image ; intimité ; alliance ; histoire ; appui ; temps ; intérêt ; attachement
affection.n 252 :: art ; air ; or ; aide ; ici ; image ; obliger ; adjectif ; usage ; étymologie
affection.n 254 :: or ; air ; origine ; aide ; envoi ; image ; obliger ; art ; ouverture ; ouvrir
aisé.a 2 :: absent ; proche ; mobiliser ; donner ; interpellé ; mort ; épargner ; vulnérable ; servir ; ravir
aisé.a 38 :: restreindre ; privilégier ; prestigieux ; important ; pauvre ; bourgeoise ; élevé ; varier ; nombreux ; modeste
aisé.a 105 :: riche ; pauvre ; populaire ; favoriser ; paisible ; modeste ; récent ; peupler ; important ; fortuné
aisé.a 109 :: faciliter ; facile ; avantageux ; privilégier ; évident ; serein ; satisfaisant ; favoriser ; harmonieux ; ascendant
aisé.a 139 :: moyen ; supérieur ; riche ; inférieur ; pauvre ; défavorisé ; intermédiaire ; modeste ; populaire ; privilégier
aisé.a 173 :: évident ; compliqué ; facile ; précis ; problématique ; chaleureux ; fluide ; accessible ; varier ; simple
aisé.a 178 :: facile ; difficile ; impossible ; fréquent ; compliqué ; simple ; important ; évident ; ardu ; indispensable
aisé.a 198 :: riche ; honorable ; pauvre ; religieux ; noble ; modeste ; raffiné ; privilégier ; âgé ; important
aisé.a 253 :: facile ; intuitif ; faciliter ; simplifier ; effectuer ; effectif ; progressif ; évident ; précis ; compliqué
aisé.a 275 :: facile ; difficile ; évident ; compliqué ; simple ; faciliter ; ardu ; avantageux ; impossible ; récent
arrêter.v 1 :: stopper ; prendre ; appréhender ; capturer ; trouver ; enlever ; attacher ; arrêt ; attraper ; recueillir
arrêter.v 14 :: condamner ; interpellé ; interpeller ; hospitaliser ; suspendre ; sanctionné ; inculper ; poursuivre ; incarcérer ; licencié
arrêter.v 23 :: avantage ; apercevoir ; ukrainien ; intervenant ; indien ; ensemble ; excellent ; approvisionnement ; exploiter ; aimer
arrêter.v 25 :: laisse ; oublier ; limite ; aimer ; abandonner ; écrire ; cesser ; garde ; élever ; trouver
arrêter.v 50 :: faire ; prendre ; retenir ; abandonner ; quitter ; partager ; voir ; enlever ; continuer ; apprendre
arrêter.v 181 :: établir ; dresse ; élaborer ; préparer ; modifier ; vérifier ; complet ; renforcer ; contenir ; enrichir
arrêter.v 219 :: stopper ; tuer ; attraper ; bloquer ; transporter ; faire ; détruire ; couper ; contrôler ; abattre
arrêter.v 273 :: capturer ; condamner ; enlever ; prendre ; écrire ; adopter ; abandonner ; juger ; rendre ; attacher
arrêter.v 277 :: or ; in ; parer ; an ; li ; but ; der ; pré ; os ; pouvoir
arrêter.v 291 :: publier ; communiqué ; signer ; paraître ; émettre ; décision ; présenter ; établir ; donner ; limité
capacité.n 26 :: faculté ; propriété ; flexibilité ; disponibilité ; puissance ; compétence ; exceptionnel ; augmentation ; pouvoir ; force
capacité.n 32 :: puissance ; propriété ; possibilité ; quantité ; chaîne ; réserve ; force ; tête ; garantie ; raison
capacité.n 35 :: clinique ; membre ; médecin ; employé ; université ; activité ; médecine ; profession ; travailleur ; page
capacité.n 70 :: puissance ; disponibilité ; charge ; production ; consommation ; surface ; contribution ; utilisation ; fonction ; rentabilité
capacité.n 73 :: faculté ; compétence ; détermination ; aptitude ; possibilité ; souplesse ; disponibilité ; force ; flexibilité ; propension
capacité.n 101 :: propre ; faculté ; capable ; possibilité ; quantité ; aptitude ; compétence ; fonction ; puissance ; force
capacité.n 103 :: ressource ; disponibilité ; stock ; chaîne ; coût ; activité ; possibilité ; unité ; installation ; norme
capacité.n 110 :: réserve ; possibilité ; quantité ; suite ; option ; batterie ; part ; extension ; place ; puissance
capacité.n 135 :: liberté ; marge ; faculté ; possibilité ; puissance ; force ; pouvoir ; vivacité ; porter ; droit
capacité.n 148 :: maîtrise ; compétence ; formation ; faculté ; maturité ; connaissance ; spécialisation ; qualification ; licence ; certification
commander.v 5 :: publier ; réaliser ; écrire ; accomplir ; dicter ; vouloir ; demander ; signer ; produit ; effectuer
commander.v 9 :: commander ; commencer ; apprendre ; découvrir ; partager ; réserver ; acheter ; lire ; choisir ; oublier
commander.v 16 :: commanda ; diriger ; soutenir ; mener ; ordonner ; commandant ; supervise ; recevoir ; consigne ; conseiller
commander.v 41 :: choisir ; commencer ; suivre ; demander ; effectuer ; définir ; faire ; lancer ; décider ; proposer
commander.v 48 :: diriger ; contrôlent ; dominer ; créer ; gouverner ; régir ; gérer ; mener ; déterminer ; tirer
