affection.n 8 :: occasion ; disposition ; époque ; dernier ; considération ; institution ; assemblée ; maladie ; extrémité ; observation
affection.n 20 :: excellent ; ancien ; air ; aimable ; aide ; heureux ; étroit ; immense ; illustre ; propre
affection.n 33 :: externe ; air ; aide ; illustre ; incessant ; étymologie ; clip ; interne ; efficace ; irréversible
affection.n 44 :: dépendance ; tendance ; situation ; conséquence ; évolution ; maladie ; impression ; chose ; espèce ; relation
affection.n 145 :: fort ; véritable ; grave ; appeler ; affectif ; spécifique ; principal ; trouble ; maladie ; propre
affection.n 210 :: aide ; international ; air ; externe ; étroit ; apercevoir ; obliger ; interne ; usage ; étymologie
affection.n 224 :: maladie ; pathologie ; inflammation ; complication ; infection ; condition ; atteinte ; indication ; grave ; histoire
affection.n 233 :: amitié ; amour ; opinion ; estime ; intérêt ; attachement ; appui ; argent ; honneur ; union
affection.n 252 :: air ; aide ; or ; ici ; eau ; image ; art ; obliger ; espace ; étrange
affection.n 254 :: or ; aide ; air ; art ; image ; origine ; ensemble ; international ; énergie ; heureux
aisé.a 2 :: absent ; proche ; vulnérable ; pauvre ; difficile ; attentif ; facile ; ravir ; surprendre ; donner
aisé.a 38 :: facile ; exigeant ; important ; nombreux ; aristocratique ; élitiste ; riche ; varier ; raffiné ; diversifier
aisé.a 105 :: riche ; pauvre ; chic ; bourgeois ; populaire ; fortuné ; jeune ; favoriser ; branché ; paisible
aisé.a 109 :: facile ; faciliter ; évident ; simple ; économique ; difficile ; social ; général ; sûr ; compliqué
aisé.a 139 :: supérieur ; moyen ; pauvre ; populaire ; riche ; social ; modeste ; inférieur ; défavorisé ; privilégier
aisé.a 173 :: évident ; direct ; compliqué ; facile ; amusant ; avoir ; important ; avancer ; précis ; problématique
aisé.a 178 :: facile ; difficile ; susceptible ; compliqué ; simple ; avantageux ; envisageable ; impossible ; ardu ; évident
aisé.a 198 :: riche ; âgé ; supérieur ; pauvre ; noble ; honorable ; modeste ; mineur ; religieux ; important
aisé.a 253 :: facile ; simple ; évident ; faciliter ; rapide ; précis ; intuitif ; progressif ; lent ; complexe
aisé.a 275 :: facile ; difficile ; évident ; simple ; avantageux ; élevé ; récent ; important ; avancer ; impossible
arrêter.v 1 :: arrêt ; stopper ; fixer ; prendre ; suspendre ; reprendre ; abandonner ; couper ; bloquer ; donner
arrêter.v 14 :: condamner ; interpellé ; interpeller ; abattu ; suspendre ; incarcérer ; tuer ; inculper ; hospitaliser ; emprisonné
arrêter.v 23 :: être ; ensemble ; objet ; apercevoir ; aimer ; in ; âge ; outrage ; excellent ; art
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; continuer ; abandonner ; ferme ; pousse ; lâche ; cesser
arrêter.v 50 :: abandonner ; éteindre ; enlever ; appeler ; faire ; apprendre ; inventer ; prendre ; voir ; utiliser
arrêter.v 181 :: contenir ; élaborer ; définir ; établir ; préparer ; adopter ; pose ; dépose ; approuver ; terminer
arrêter.v 219 :: tuer ; stopper ; attraper ; faire ; atteindre ; empêcher ; achever ; commettre ; aider ; condamner
arrêter.v 273 :: prendre ; mort ; condamner ; abandonner ; exécuter ; reprendre ; capturer ; enlever ; grâce ; adopter
arrêter.v 277 :: or ; os ; in ; an ; but ; parer ; avoir ; article ; également ; exercer
arrêter.v 291 :: publier ; émettre ; décider ; délivrer ; proposer ; signer ; adopter ; établir ; éditer ; fixer
capacité.n 26 :: faculté ; puissance ; force ; disponibilité ; rapidité ; solidité ; flexibilité ; résistance ; vitesse ; aptitude
