affection.n 8 :: affectation ; épreuve ; influence ; ambition ; attaque ; appréciation ; humiliation ; habitude ; accusation ; opinion
affection.n 20 :: air ; article ; international ; aide ; ancien ; étroit ; atlantique ; aimable ; excellent ; apercevoir
affection.n 33 :: art ; air ; clip ; aide ; irréversible ; intense ; or ; incessant ; irremplaçable ; image
affection.n 44 :: être ; famille ; dépendance ; appartement ; assistance ; articulation ; association ; nouveau ; avoir ; dernier
affection.n 145 :: léger ; petit ; maladie ; pathologie ; appeler ; fort ; génétique ; grave ; forme ; mauvais
affection.n 210 :: aide ; air ; externe ; international ; or ; obliger ; origine ; eau ; énergie ; évolution
affection.n 224 :: pathologie ; maladie ; atteinte ; entité ; condition ; inflammation ; situation ; incidence ; histoire ; état
affection.n 233 :: intérêt ; propre ; amitié ; appui ; éducation ; avis ; sang ; opinion ; attachement ; amour
affection.n 252 :: or ; aide ; air ; ici ; usage ; image ; art ; adjectif ; obliger ; étrange
affection.n 254 :: or ; air ; aide ; art ; image ; obliger ; origine ; énergie ; international ; efficace
aisé.a 2 :: entreprise ; ensemble ; auteur ; vulnérable ; appuyer ; lier ; efficace ; obligatoire ; officiel ; absent
aisé.a 38 :: restreindre ; bourgeoise ; prestigieux ; élevé ; privilégier ; important ; élitiste ; enrichir ; puissant ; raffiné
aisé.a 105 :: riche ; fortuné ; modeste ; pauvre ; chic ; paisible ; instruire ; favoriser ; enrichi ; nanti
aisé.a 109 :: facile ; faciliter ; harmonieux ; favoriser ; favorable ; privilégier ; réussir ; évident ; acquérir ; heureux
aisé.a 139 :: riche ; supérieur ; défavorisé ; moyen ; élevé ; pauvre ; privilégier ; modeste ; intermédiaire ; important
aisé.a 173 :: compliqué ; évident ; amusant ; problématique ; intéressant ; passionnant ; incertain ; avancer ; impossible ; avantageux
aisé.a 178 :: facile ; difficile ; impossible ; évident ; compliqué ; simple ; ardu ; commode ; économique ; aise
aisé.a 198 :: riche ; pauvre ; âgé ; honorable ; supérieur ; modeste ; inférieur ; démunir ; privilégier ; important
aisé.a 253 :: intuitif ; facile ; simple ; faciliter ; évident ; satisfaisant ; automatique ; ardu ; simplifier ; compliqué
aisé.a 275 :: facile ; évident ; difficile ; impossible ; ardu ; simple ; compliqué ; avantageux ; récent ; habituel
arrêter.v 1 :: enlever ; tuer ; attacher ; stopper ; prendre ; fixer ; suspendre ; capturer ; crucifié ; condamner
arrêter.v 14 :: condamner ; interpellé ; emprisonné ; poursuivre ; interpeller ; hospitaliser ; suspendre ; licencié ; sanctionné ; incarcérer
arrêter.v 23 :: utiliser ; accès ; effectuer ; intervenir ; excellent ; aimer ; avoir ; aller ; hésiter ; article
arrêter.v 25 :: arrêt ; abandonner ; lâche ; être ; déjà ; commencer ; laisse ; vraiment ; ajouter ; regarde
arrêter.v 50 :: faire ; quitter ; abandonner ; éteindre ; prendre ; enlever ; voir ; apprendre ; changer ; inventer
arrêter.v 181 :: terminer ; pose ; commencer ; définir ; achever ; finir ; élaborer ; contenir ; équilibre ; programme
