affection.n 8 :: dernier ; occasion ; disposition ; maladie ; institution ; assemblée ; opération ; exposition ; instruction ; considération
affection.n 20 :: international ; ancien ; environnement ; européen ; entreprise ; ion ; audiovisuelle ; article ; enseignement ; énergie
affection.n 33 :: air ; aide ; art ; ancien ; étymologie ; incessant ; animal ; externe ; adjectif ; clip
affection.n 44 :: tendance ; situation ; évolution ; dépendance ; attitude ; espèce ; être ; alliance ; maladie ; opposition
affection.n 145 :: substance ; pathologie ; activité ; maladie ; cause ; force ; inflammation ; hypertension ; anémie ; complication
affection.n 210 :: air ; aide ; interne ; animal ; externe ; étranger ; art ; étymologie ; international ; eau
affection.n 224 :: pathologie ; maladie ; atteinte ; complication ; condition ; situation ; dépendance ; souffrance ; cause ; conséquence
affection.n 233 :: amitié ; estime ; appui ; amour ; opinion ; sang ; intérêt ; alliance ; histoire ; avis
affection.n 252 :: or ; air ; aide ; adjectif ; obliger ; ici ; assistance ; image ; art ; aill
affection.n 254 :: or ; air ; aide ; énergie ; art ; origine ; ensemble ; international ; espace ; eau
aisé.a 2 :: absent ; pauvre ; vulnérable ; proche ; facile ; mort ; tuer ; redevable ; donner ; parfait
aisé.a 38 :: facile ; riche ; confortable ; compliqué ; aristocratique ; vaste ; élevé ; facilement ; laborieux ; sûr
aisé.a 105 :: riche ; chic ; pauvre ; paisible ; modeste ; élégant ; bourgeois ; polir ; branché ; calme
aisé.a 109 :: facile ; faciliter ; harmonieux ; évident ; heureux ; satisfaisant ; sûr ; compliqué ; avantageux ; doux
aisé.a 139 :: riche ; pauvre ; supérieur ; moyen ; défavorisé ; privilégier ; social ; élevé ; modeste ; inférieur
aisé.a 173 :: évident ; passionnant ; amusant ; compliqué ; direct ; facile ; agréable ; chaleureux ; avancer ; dérouler
aisé.a 178 :: facile ; difficile ; ardu ; susceptible ; judicieux ; avantageux ; évident ; impossible ; compliqué ; envisageable
aisé.a 198 :: riche ; âgé ; simple ; pauvre ; mineur ; choisir ; présent ; honorable ; seul ; modeste
aisé.a 253 :: également ; facile ; devenir ; progressif ; ultérieur ; simple ; rendre ; voire ; pourtant ; parfaitement
aisé.a 275 :: facile ; simple ; difficile ; évident ; récent ; compliqué ; avantageux ; ardu ; impossible ; commun
