affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; affectation ; époque ; extrémité ; opération
affection.n 20 :: air ; ancien ; article ; étroit ; nouveau ; aide ; excellent ; propre ; appareil ; accent
affection.n 33 :: boire ; céleste ; in ; angle ; automne ; oncle ; an ; ide ; long ; xi
affection.n 44 :: nouveau ; supérieur ; être ; petit ; article ; développement ; dépendance ; fort ; long ; environnement
affection.n 145 :: activité ; pathologie ; maladie ; substance ; cause ; nature ; origine ; complication ; manifestation ; lésion
affection.n 210 :: aide ; animal ; air ; étranger ; eau ; externe ; international ; origine ; âge ; indien
affection.n 224 :: type ; petit ; léger ; principal ; profond ; fort ; grave ; médical ; moyen ; pathologie
affection.n 233 :: amour ; amitié ; article ; avenir ; intérêt ; attachement ; estime ; tendresse ; avantage ; église
affection.n 252 :: or ; air ; aide ; art ; eau ; ici ; image ; usage ; origine ; énergie
affection.n 254 :: air ; aide ; art ; international ; alpha ; or ; indien ; accès ; origine ; animal
aisé.a 2 :: absent ; empêcher ; interpellé ; donner ; attaquer ; appeler ; puissant ; appuyer ; pauvre ; épargner
aisé.a 38 :: prestigieux ; élevé ; élitiste ; résidentiel ; restreindre ; nombreux ; bourgeoise ; attrayant ; important ; onéreux
aisé.a 105 :: riche ; pauvre ; paisible ; modeste ; populaire ; favoriser ; jeune ; fortuné ; chic ; sûr
aisé.a 109 :: facile ; faciliter ; économique ; parfait ; profond ; harmonieux ; réussir ; évident ; satisfaisant ; simple
aisé.a 139 :: moyen ; supérieur ; riche ; modeste ; pauvre ; populaire ; social ; inférieur ; défavorisé ; intermédiaire
aisé.a 173 :: compliqué ; problématique ; fluide ; facile ; chaleureux ; envisageable ; évident ; précis ; amusant ; délicat
aisé.a 178 :: facile ; impossible ; évident ; ardu ; difficile ; compliqué ; simple ; faisable ; économique ; avantageux
aisé.a 198 :: riche ; fidèle ; mineur ; modeste ; délicat ; céleste ; féminin ; religieux ; concerner ; simple
aisé.a 253 :: facile ; simple ; lent ; soigner ; évident ; intuitif ; progressif ; précis ; délicat ; assurer
aisé.a 275 :: facile ; évident ; difficile ; impossible ; compliqué ; ardu ; simple ; avantageux ; important ; surprenant
arrêter.v 1 :: stopper ; suspendre ; enlever ; couper ; prendre ; arrêt ; interrompre ; tuer ; reprendre ; abandonner
arrêter.v 14 :: condamner ; abattu ; interpellé ; incarcérer ; emprisonné ; assassiner ; poursuivre ; tuer ; suspendre ; inculper
arrêter.v 23 :: apercevoir ; effectuer ; être ; englober ; excellent ; intervenant ; outil ; élargir ; avantage ; arme
arrêter.v 25 :: laisse ; oublier ; piqu ; continuer ; limite ; ferme ; lâche ; abandonner ; cesser ; pousse
arrêter.v 50 :: enlever ; éteindre ; abandonner ; quitter ; prendre ; apprendre ; appeler ; faire ; inventer ; remplacer
arrêter.v 181 :: établir ; dresse ; préparer ; approuver ; adopter ; présente ; vote ; joindre ; fixe ; annexe
arrêter.v 219 :: tuer ; atteindre ; bloquer ; attraper ; acheter ; transporter ; aider ; identifier ; stopper ; frapper
arrêter.v 273 :: interdire ; condamner ; établir ; mort ; coupable ; écrire ; tuer ; suspendre ; juger ; politique
