affection.n 8 :: considération ; dernier ; institution ; reconnaissance ; disgrâce ; nouveau ; observation ; second ; compagnie ; continuation
affection.n 20 :: air ; ancien ; international ; atlantique ; étroit ; article ; excellent ; aimable ; aide ; insigne
affection.n 33 :: aide ; air ; ancien ; animal ; éternel ; international ; énergie ; heureux ; énorme ; art
affection.n 44 :: exploitation ; développement ; entreprise ; appartement ; article ; formation ; famille ; association ; société ; spécial
affection.n 145 :: composante ; pathologie ; activité ; substance ; nature ; association ; petit ; racine ; maladie ; léger
affection.n 210 :: air ; aide ; international ; origine ; argument ; art ; étymologie ; externe ; énergie ; obliger
affection.n 224 :: maladie ; pathologie ; complication ; option ; infection ; inflammation ; spécialité ; atteinte ; indication ; condition
affection.n 233 :: opinion ; traitement ; environnement ; association ; alimentation ; intérêt ; enfance ; article ; attention ; investissement
affection.n 252 :: or ; aide ; air ; eau ; art ; amour ; ensemble ; ici ; évolution ; image
affection.n 254 :: origine ; air ; or ; aide ; art ; installation ; image ; énergie ; article ; ensemble
aisé.a 2 :: absent ; riche ; facile ; obliger ; inséparable ; commune ; responsable ; mort ; simple ; vulnérable
aisé.a 38 :: important ; restreindre ; exigeant ; élitiste ; riche ; facile ; aristocratique ; intéressant ; cosmopolite ; accessible
aisé.a 105 :: riche ; pauvre ; fortuné ; paisible ; modeste ; instruire ; populaire ; favoriser ; résidentiel ; chic
aisé.a 109 :: facile ; faciliter ; simple ; économique ; commode ; social ; matériel ; évident ; difficile ; aise
aisé.a 139 :: moyen ; pauvre ; supérieur ; riche ; social ; modeste ; défavorisé ; bourgeois ; privilégier ; important
aisé.a 173 :: compliqué ; amusant ; évident ; facile ; fluide ; précis ; accessible ; passionnant ; intéressant ; problématique
aisé.a 178 :: ardu ; facile ; évident ; compliqué ; approprié ; habituel ; économique ; difficile ; praticable ; intuitif
aisé.a 198 :: riche ; modeste ; âgé ; pauvre ; mineur ; privilégier ; mince ; démunir ; religieux ; fortuné
aisé.a 253 :: facile ; simple ; délicat ; soigner ; intuitif ; astucieux ; efficace ; convaincant ; faciliter ; précis
aisé.a 275 :: facile ; évident ; difficile ; simple ; impossible ; faciliter ; avantageux ; compliqué ; ardu ; habituel
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; exécuter ; suspendre ; assassiner ; arrêt ; juger
arrêter.v 14 :: abattu ; condamner ; mort ; suspendre ; exécuter ; interpellé ; tuer ; frapper ; emprisonné ; blessé
arrêter.v 23 :: être ; aimer ; apercevoir ; art ; englober ; appeler ; excellent ; arme ; intégrer ; air
arrêter.v 25 :: laisse ; oublier ; cesser ; abandonner ; appuyer ; lâche ; paie ; piqu ; pousse ; continuer
arrêter.v 50 :: abandonner ; apprendre ; inventer ; faire ; enlever ; prendre ; voir ; appeler ; interrompre ; quitter
arrêter.v 181 :: dresse ; établir ; préparer ; choisir ; vérifier ; complet ; évaluer ; élaborer ; approuver ; déterminer
arrêter.v 219 :: faire ; pouvoir ; point ; presque ; temps ; aller ; falloir ; venir ; manière ; finalement
arrêter.v 273 :: exécuter ; abattre ; condamner ; emprisonner ; assassiner ; capturer ; interpeller ; mort ; écrire ; enlever
arrêter.v 277 :: or ; avoir ; us ; auparavant ; initialement ; in ; an ; os ; parer ; également
arrêter.v 291 :: publier ; proposer ; émettre ; délivrer ; signer ; décider ; adopter ; éditer ; accorder ; distribuer
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; force ; pouvoir ; souplesse ; possibilité ; rapidité ; compétence
capacité.n 32 :: puissance ; quantité ; tête ; force ; propriété ; charge ; production ; raison ; moyen ; activité
capacité.n 35 :: activité ; profession ; spécialisation ; expérience ; spécialité ; formation ; expertise ; disponibilité ; permanence ; clinique
