affection.n 8 :: maladie ; dernier ; institution ; famille ; amitié ; mort ; affectation ; adoption ; occasion ; opinion
affection.n 20 :: adjectif ; aimable ; appareil ; éponyme ; usage ; audiovisuelle ; international ; imaginaire ; étroit ; indispensable
affection.n 33 :: externe ; aide ; interne ; air ; international ; origine ; indien ; or ; ancien ; art
affection.n 44 :: dépendance ; situation ; évolution ; tendance ; maladie ; être ; formation ; naissance ; articulation ; petit
affection.n 145 :: pathologie ; lésion ; maladie ; complication ; région ; substance ; anomalie ; atteinte ; inflammation ; dégénérescence
affection.n 210 :: aide ; air ; interne ; externe ; animal ; origine ; eau ; installation ; énergie ; international
affection.n 224 :: mentor ; lift ; prescrire ; marina ; zona ; communiquer ; yang ; susmentionner ; tuteur ; préciter
affection.n 233 :: amitié ; amour ; avenir ; image ; histoire ; alliance ; argent ; intérêt ; éducation ; temps
affection.n 252 :: art ; aide ; ici ; or ; air ; amour ; eau ; arrivée ; ensemble ; os
affection.n 254 :: or ; air ; aide ; origine ; art ; heureux ; envoi ; image ; lorsqu ; eau
aisé.a 2 :: absent ; redevable ; proche ; difficile ; vulnérable ; riche ; pauvre ; empêcher ; exclure ; mort
aisé.a 38 :: bourgeoise ; prestigieux ; restreindre ; onéreux ; important ; diversifier ; conservateur ; aimable ; élitiste ; évident
aisé.a 105 :: riche ; pauvre ; chic ; paisible ; populaire ; résidentiel ; ancien ; peupler ; bourgeois ; réputer
aisé.a 109 :: facile ; faciliter ; harmonieux ; économique ; social ; favoriser ; satisfaisant ; réussir ; simplifier ; évident
aisé.a 139 :: moyen ; supérieur ; populaire ; pauvre ; social ; riche ; défavorisé ; modeste ; intermédiaire ; privilégier
aisé.a 173 :: facile ; évident ; fluide ; intéressant ; riche ; direct ; simple ; agréable ; précis ; difficile
aisé.a 178 :: facile ; difficile ; simple ; impossible ; faisable ; évident ; compliqué ; ardu ; avantageux ; envisageable
aisé.a 198 :: riche ; âgé ; modeste ; pauvre ; noble ; religieux ; honorable ; mineur ; concerner ; important
aisé.a 253 :: facile ; simple ; faciliter ; intuitif ; simplifier ; difficile ; précis ; progressif ; rapide ; compliqué
aisé.a 275 :: facile ; difficile ; évident ; impossible ; simple ; compliqué ; avantageux ; habituel ; ardu ; faciliter
arrêter.v 1 :: prendre ; fixer ; enlever ; trouver ; condamner ; juger ; suspendre ; abandonner ; stopper ; retrouver
arrêter.v 14 :: condamner ; emprisonné ; abattu ; interpellé ; employé ; incarcérer ; licencié ; prendre ; mort ; élu
arrêter.v 23 :: apercevoir ; aimer ; être ; âge ; ensemble ; intégrer ; avantage ; appeler ; in ; arme
arrêter.v 25 :: laisse ; oublier ; cesser ; appuyer ; garde ; ferme ; abandonner ; paie ; limite ; effacer
arrêter.v 50 :: abandonner ; faire ; prendre ; quitter ; réduire ; retenir ; cesser ; apprendre ; éteindre ; enlever
arrêter.v 181 :: dresse ; établir ; préparer ; donne ; présente ; adopter ; approuver ; définir ; élaborer ; contenir
arrêter.v 219 :: faire ; assembler ; bloquer ; fabriquer ; amortir ; ralentir ; frapper ; monter ; ensemble ; stopper
arrêter.v 273 :: capturer ; assassiner ; emprisonner ; exécuter ; condamner ; bannir ; exiler ; interdire ; libérer ; incarcérer
