affection.n 8 :: dernier ; tendresse ; propriété ; maladie ; reconnaissance ; nouveau ; attention ; église ; observation ; complaisance
affection.n 20 :: aimable ; aide ; ancien ; étroit ; article ; atlantique ; air ; excellent ; auto ; immense
affection.n 33 :: expérience ; aide ; éternel ; image ; origine ; or ; international ; énergie ; intense ; esthétique
affection.n 44 :: situation ; tendance ; évolution ; dépendance ; attitude ; espèce ; expérience ; génération ; chose ; unité
affection.n 145 :: pathologie ; lésion ; activité ; maladie ; dysfonction ; atteinte ; composante ; substance ; inflammation ; anémie
affection.n 210 :: air ; aide ; interne ; international ; origine ; étymologie ; ancien ; externe ; art ; étranger
affection.n 224 :: pathologie ; maladie ; atteinte ; condition ; situation ; cause ; complication ; inflammation ; conséquence ; histoire
affection.n 233 :: intérêt ; alimentation ; article ; sang ; intervention ; assistance ; propre ; aide ; appui ; soutien
affection.n 252 :: aide ; air ; or ; eau ; art ; étrange ; ici ; image ; évolution ; assistance
affection.n 254 :: usage ; envoi ; immigré ; air ; appareil ; excellent ; lover ; art ; aide ; indispensable
aisé.a 2 :: absent ; attentif ; vulnérable ; interpellé ; tuer ; impliquer ; puissant ; acquérir ; incorporer ; proche
aisé.a 38 :: facile ; important ; élevé ; accessible ; nombreux ; modeste ; riche ; élégant ; sophistiquer ; jeune
aisé.a 105 :: riche ; paisible ; nanti ; pauvre ; jeune ; favoriser ; fortuné ; modeste ; instruire ; populaire
aisé.a 109 :: facile ; social ; simple ; heureux ; commune ; laborieux ; financier ; enfantine ; compliqué ; honorable
aisé.a 139 :: bourgeois ; supérieur ; privilégier ; riche ; royal ; raffiné ; honorable ; moyen ; social ; noble
aisé.a 173 :: voire ; facile ; extrêmement ; également ; généralement ; simple ; fluide ; simplement ; rendre ; devenir
aisé.a 178 :: facile ; difficile ; impossible ; important ; urgent ; simple ; susceptible ; nécessaire ; ardu ; évident
aisé.a 198 :: riche ; âgé ; pauvre ; bourgeois ; privilégier ; noble ; musulman ; concerner ; religieux ; moyen
aisé.a 253 :: facile ; simple ; intuitif ; simplifier ; progressif ; faciliter ; rapide ; difficile ; soigner ; ultérieur
aisé.a 275 :: facile ; évident ; difficile ; simple ; commun ; avantageux ; fréquent ; impossible ; élevé ; ordinaire
arrêter.v 1 :: enlever ; prendre ; stopper ; condamner ; trouver ; fixer ; attacher ; capturer ; recueillir ; suspendre
arrêter.v 14 :: condamner ; licencié ; emprisonné ; tuer ; abattu ; incarcérer ; suspendre ; assassiner ; interpellé ; hospitaliser
arrêter.v 23 :: apercevoir ; effectuer ; article ; accès ; être ; aimer ; utiliser ; excellent ; avantage ; air
arrêter.v 25 :: laisse ; oublier ; piqu ; garde ; abandonner ; continuer ; développer ; commencer ; cesser ; utiliser
arrêter.v 50 :: abandonner ; retenir ; faire ; comprendre ; voir ; quitter ; supprimer ; prendre ; apprendre ; annuler
arrêter.v 181 :: contenir ; dresse ; retrouver ; vérifier ; affiche ; déterminer ; établir ; comprendre ; calculer ; élaborer
arrêter.v 219 :: faire ; fabriquer ; stopper ; bloquer ; assembler ; acheter ; réduire ; développer ; transporter ; aider
arrêter.v 273 :: prendre ; enlever ; attacher ; capturer ; juger ; assassiner ; interpeller ; embarquer ; appréhender ; condamner
arrêter.v 277 :: article ; intermédiaire ; apercevoir ; in ; audiovisuelle ; étroit ; inclure ; or ; incorporation ; aide
arrêter.v 291 :: publier ; émettre ; décider ; paraître ; établir ; proposer ; acquérir ; communiqué ; produit ; signer
capacité.n 26 :: faculté ; puissance ; caractère ; souplesse ; possibilité ; force ; extraordinaire ; caractéristique ; exceptionnel ; disponibilité
capacité.n 32 :: puissance ; activité ; force ; chaîne ; tête ; quantité ; charge ; taille ; gamme ; différence
capacité.n 35 :: activité ; profession ; spécialisation ; clinique ; professionnel ; pratique ; clientèle ; spécialiste ; spécialité ; déclaration
capacité.n 70 :: puissance ; fréquentation ; surface ; quantité ; consommation ; performance ; production ; rentabilité ; disponibilité ; contribution
capacité.n 73 :: faculté ; compétence ; force ; souplesse ; propriété ; détermination ; flexibilité ; possibilité ; responsabilité ; confiance
capacité.n 101 :: propre ; puissance ; compétence ; qualité ; force ; pouvoir ; liberté ; faculté ; fonction ; connaissance
capacité.n 103 :: ressource ; disponibilité ; batterie ; possibilité ; installation ; réserve ; région ; fonctionnalité ; force ; compétence
capacité.n 110 :: puissance ; batterie ; suite ; fonction ; possibilité ; réserve ; raison ; quantité ; solution ; catégorie
capacité.n 135 :: faculté ; marge ; possibilité ; force ; droit ; pouvoir ; puissance ; liberté ; porter ; volonté
capacité.n 148 :: certification ; formation ; compétence ; aptitude ; qualification ; maturité ; maîtrise ; spécialisation ; faculté ; licence
commander.v 5 :: dicter ; écrire ; publier ; réaliser ; rédiger ; signer ; produit ; public ; accomplir ; paraître
commander.v 9 :: commander ; commencer ; demander ; acheter ; réserver ; créer ; sélectionner ; choisir ; découvrir ; trouver
commander.v 16 :: diriger ; commandant ; soutenir ; ordonner ; mener ; commanda ; recevoir ; direction ; préside ; conseiller
commander.v 41 :: immédiatement ; gratuitement ; vite ; rapidement ; acheter ; venir ; instantanément ; faire ; ensuite ; exclusivité
commander.v 48 :: contrôlent ; diriger ; gérer ; créer ; régir ; déterminer ; dominer ; gouverner ; tirer ; financer
commander.v 117 :: commande ; dicter ; demander ; vouloir ; prescrire ; suggérer ; réclamer ; compter ; réclame ; demande
commander.v 164 :: ordonner ; obéir ; enseigne ; commanda ; imposer ; appartenir ; dicter ; prescrire ; demande ; conseiller
commander.v 171 :: acheter ; commande ; déguster ; acquérir ; manger ; valider ; prendre ; recevoir ; faire ; profiter
commander.v 206 :: protéger ; venir ; permettre ; servir ; défense ; supprimer ; solaire ; passer ; ajouter ; représenter
commander.v 240 :: commande ; acheter ; apprendre ; faire ; prendre ; vendre ; modifier ; voir ; donner ; savoir
compris.a 52 :: accepter ; assimiler ; contenue ; retenir ; recevoir ; enseigner ; percevoir ; prise ; interpréter ; vue
compris.a 90 :: ajouter ; estimer ; réaliser ; penser ; assurer ; déclarer ; indiquer ; prouver ; reconnaître ; confirmer
