affection.n 8 :: influence ; maladie ; attaque ; épreuve ; habitude ; fatalité ; disposition ; conclusion ; catastrophe ; dernier
affection.n 20 :: ancien ; international ; article ; agence ; étranger ; éventuel ; ambassade ; ensemble ; initiative ; hémisphère
affection.n 33 :: air ; aide ; art ; image ; énergie ; animal ; heureux ; ancien ; efficace ; externe
affection.n 44 :: évolution ; nouveau ; développement ; dépendance ; tendance ; articulation ; être ; également ; formation ; croissance
affection.n 145 :: voyou ; zona ; moulant ; encourager ; candeur ; aubergine ; marina ; gâter ; rafraîchissant ; offrir
affection.n 210 :: air ; obliger ; aide ; énergie ; ancien ; habituel ; international ; externe ; étymologie ; argument
affection.n 224 :: maladie ; pathologie ; atteinte ; opération ; obésité ; institution ; enfant ; inflammation ; infection ; histoire
affection.n 233 :: amitié ; intérêt ; propre ; appui ; enfance ; adresse ; article ; parenter ; enseignement ; éducation
affection.n 252 :: être ; art ; or ; air ; image ; obliger ; usage ; aide ; envoi ; étymologie
affection.n 254 :: or ; art ; envoi ; international ; obliger ; origine ; aide ; histoire ; euro ; anglais
aisé.a 2 :: absent ; parfait ; empêcher ; difficile ; renforcer ; mort ; attaquer ; meilleur ; pauvre ; attentif
aisé.a 38 :: restreindre ; modeste ; pauvre ; riche ; privilégier ; bourgeoise ; puissant ; important ; raffiné ; laborieux
aisé.a 105 :: riche ; pauvre ; populaire ; nanti ; fortuné ; favoriser ; instruire ; important ; modeste ; chic
aisé.a 109 :: facile ; faciliter ; évident ; satisfaisant ; harmonieux ; avantageux ; simple ; homogène ; favoriser ; rigoureux
aisé.a 139 :: moyen ; supérieur ; riche ; populaire ; défavorisé ; social ; privilégier ; modeste ; pauvre ; inférieur
aisé.a 173 :: facile ; fluide ; intéressant ; direct ; riche ; complexe ; dynamique ; évident ; pousser ; agréable
aisé.a 178 :: facile ; difficile ; important ; urgent ; généralement ; impossible ; agréable ; nécessaire ; venir ; évident
aisé.a 198 :: riche ; honorable ; pauvre ; âgé ; noble ; supérieur ; modeste ; inférieur ; religieux ; haut
aisé.a 253 :: facile ; intuitif ; simple ; faciliter ; précis ; évident ; automatique ; satisfaisant ; progressif ; simplifier
aisé.a 275 :: facile ; difficile ; compliqué ; simple ; évident ; impossible ; ardu ; avantageux ; important ; faciliter
arrêter.v 1 :: stopper ; enlever ; prendre ; tuer ; abandonner ; retenir ; capturer ; suspendre ; figé ; fixer
arrêter.v 14 :: condamner ; interpellé ; suspendre ; interpeller ; assassiner ; tuer ; incarcérer ; emprisonné ; hospitaliser ; abattu
arrêter.v 23 :: apercevoir ; être ; âge ; avantage ; objet ; excellent ; aimer ; outil ; aimable ; ensemble
arrêter.v 25 :: laisse ; limite ; arrêt ; oublier ; appuyer ; commencer ; sec ; calme ; oubli ; abandonner
arrêter.v 50 :: apprendre ; interrompre ; faire ; voir ; abandonner ; enlever ; inventer ; appeler ; utiliser ; subir
arrêter.v 181 :: préparer ; dresse ; vérifier ; établir ; complet ; élaborer ; modifier ; publier ; définir ; affine
arrêter.v 219 :: faire ; abattre ; tuer ; conduire ; transporter ; acheter ; stopper ; aider ; atteindre ; pouvoir
arrêter.v 273 :: condamner ; capturer ; emprisonner ; exécuter ; adopter ; abandonner ; interdire ; bannir ; abattre ; suspendre
arrêter.v 277 :: or ; but ; point ; parer ; pouvoir ; os ; an ; également ; faire ; in
arrêter.v 291 :: décider ; adopter ; émettre ; publier ; proposer ; acquérir ; signer ; délivrer ; accorder ; établir
capacité.n 26 :: faculté ; puissance ; force ; flexibilité ; disponibilité ; souplesse ; faciliter ; disposition ; possibilité ; pouvoir
capacité.n 32 :: puissance ; force ; réserve ; quantité ; base ; production ; tête ; propriété ; charge ; valeur
capacité.n 35 :: université ; formation ; résidence ; équipe ; pointe ; place ; membre ; contribution ; chambre ; propriété
capacité.n 70 :: puissance ; quantité ; disposition ; production ; catégorie ; propriété ; disponibilité ; productivité ; densité ; contribution
capacité.n 73 :: faculté ; possibilité ; compétence ; dimension ; aptitude ; liberté ; force ; disponibilité ; maîtrise ; qualité
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; pouvoir ; fonction ; liberté ; propre ; responsabilité ; vertu
capacité.n 103 :: quantité ; possibilité ; ressource ; disponibilité ; activité ; stock ; unité ; coût ; volume ; surface
capacité.n 110 :: quantité ; possibilité ; puissance ; limite ; solution ; participation ; réserve ; batterie ; réduction ; fonction
capacité.n 135 :: faculté ; force ; marge ; possibilité ; puissance ; liberté ; volonté ; rapidité ; vitesse ; base
