affection.n 8 :: institution ; long ; international ; organisation ; association ; réputation ; politique ; pratique ; national ; lettre
affection.n 20 :: aide ; apercevoir ; étroit ; article ; excellent ; air ; aimable ; international ; appareil ; propre
affection.n 33 :: adjectif ; incessant ; interne ; air ; art ; international ; étroit ; étymologie ; aide ; aimable
affection.n 44 :: ensemble ; développement ; enseignement ; formation ; être ; nouveau ; articulation ; propriété ; professionnel ; dernier
affection.n 145 :: pathologie ; maladie ; inflammation ; manifestation ; origine ; lésion ; cause ; condition ; sensibilité ; entité
affection.n 210 :: aide ; air ; or ; exploitation ; origine ; énergie ; emploi ; art ; arrivée ; ouverture
affection.n 224 :: maladie ; pathologie ; atteinte ; inflammation ; infection ; complication ; condition ; relation ; histoire ; situation
affection.n 233 :: amitié ; attachement ; adhésion ; attention ; appui ; humanité ; opinion ; intérêt ; amour ; admiration
affection.n 252 :: or ; aide ; ici ; eau ; air ; art ; obliger ; évolution ; être ; énergie
affection.n 254 :: air ; aide ; origine ; énergie ; art ; international ; étymologie ; accès ; indien ; atomique
aisé.a 2 :: absent ; attentif ; proche ; inséparable ; présent ; interpellé ; enfant ; principal ; impliquer ; puissant
aisé.a 38 :: facile ; important ; bourgeoise ; élevé ; exigeant ; attrayant ; nombreux ; aimable ; privilégier ; sûr
aisé.a 105 :: nanti ; pauvre ; paisible ; modeste ; favoriser ; bourgeois ; calme ; riche ; proche ; ordinaire
aisé.a 109 :: faciliter ; facile ; harmonieux ; évident ; avantageux ; indiscutable ; compliqué ; immédiat ; rigoureux ; profond
aisé.a 139 :: supérieur ; riche ; moyen ; défavorisé ; privilégier ; inférieur ; modeste ; élevé ; élite ; avancer
aisé.a 173 :: facile ; fluide ; évident ; précis ; pénible ; doux ; compliqué ; nerveux ; direct ; chaleureux
aisé.a 178 :: facile ; difficile ; habituel ; ardu ; impossible ; compliqué ; évident ; faisable ; fréquemment ; approprié
aisé.a 198 :: riche ; âgé ; supérieur ; honorable ; modeste ; fortuné ; noble ; privilégier ; pauvre ; brillant
aisé.a 253 :: intuitif ; facile ; simple ; simplifier ; ultérieur ; faciliter ; effectuer ; ardu ; évident ; approprié
aisé.a 275 :: facile ; évident ; difficile ; simple ; impossible ; compliqué ; récent ; ardu ; habituel ; ordinaire
arrêter.v 1 :: enlever ; tuer ; prendre ; exécuter ; assassiner ; capturer ; crucifié ; stopper ; abandonner ; suspendre
arrêter.v 14 :: condamner ; employé ; interpellé ; mort ; emprisonné ; fonctionnaire ; suspendre ; récompenser ; interpeller ; assassiner
arrêter.v 23 :: être ; avoir ; aimable ; aimer ; apercevoir ; art ; envoi ; in ; excellent ; outrage
arrêter.v 25 :: laisse ; garde ; cesser ; oublier ; paie ; continuer ; ferme ; acheter ; effacer ; appuyer
arrêter.v 50 :: apprendre ; inventer ; abandonner ; enlever ; quitter ; faire ; prendre ; éteindre ; appeler ; découvrir
arrêter.v 181 :: introduction ; remarqu ; contenir ; sommaire ; comprendre ; pose ; continuer ; commencer ; écrire ; conclusion
arrêter.v 219 :: faire ; tuer ; abattre ; pouvoir ; atteindre ; fixer ; transporter ; identifier ; aider ; bloquer
arrêter.v 273 :: emprisonner ; condamner ; adopter ; interdire ; capturer ; écrire ; enlever ; exécuter ; abandonner ; interpeller
arrêter.v 277 :: or ; os ; avoir ; parer ; us ; auparavant ; but ; in ; article ; point
arrêter.v 291 :: signer ; publier ; proposer ; céder ; émettre ; décider ; acquérir ; obtenir ; vendre ; déposer
capacité.n 26 :: faculté ; puissance ; flexibilité ; force ; disponibilité ; pouvoir ; possibilité ; capable ; liberté ; rapidité
capacité.n 32 :: puissance ; propriété ; quantité ; activité ; force ; chaîne ; réserve ; tête ; possibilité ; consommation
capacité.n 35 :: voire ; membre ; an ; in ; ami ; personne ; également ; associer ; tiers ; davantage
capacité.n 70 :: puissance ; surface ; production ; consommation ; température ; quantité ; fréquentation ; performance ; rentabilité ; couverture
capacité.n 73 :: faculté ; compétence ; aptitude ; possibilité ; force ; souplesse ; propriété ; dimension ; détermination ; nécessité
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; propre ; liberté ; vocation ; pouvoir ; responsabilité
capacité.n 103 :: ressource ; disponibilité ; réserve ; production ; stock ; possibilité ; quantité ; structure ; batterie ; marge
capacité.n 110 :: puissance ; quantité ; batterie ; augmentation ; série ; réserve ; possibilité ; fonction ; contribution ; limite
capacité.n 135 :: liberté ; marge ; faculté ; possibilité ; puissance ; pouvoir ; force ; droit ; base ; volonté
capacité.n 148 :: maîtrise ; formation ; faculté ; spécialisation ; certification ; maturité ; compétence ; licence ; qualification ; connaissance
commander.v 5 :: publier ; signer ; écrire ; réaliser ; rédiger ; accomplir ; éditer ; produit ; dicter ; effectuer
commander.v 9 :: commander ; choisir ; créer ; découvrir ; commencer ; partager ; acheter ; installer ; apprendre ; sélectionner
commander.v 16 :: commanda ; soutenir ; diriger ; ordonner ; mener ; consigne ; recevoir ; préside ; lancer ; signe
commander.v 41 :: rapidement ; ensuite ; programme ; faire ; déjà ; commande ; commencer ; immédiatement ; page ; image
commander.v 48 :: diriger ; gouverner ; dominer ; régir ; commande ; guider ; contrôlent ; mener ; régler ; organiser
commander.v 117 :: commande ; demander ; dicter ; prescrire ; commandement ; faire ; conseillent ; supposer ; devoir ; permettre
commander.v 164 :: donne ; faire ; passer ; également ; bon ; long ; haut ; donner ; tenir ; laisse
commander.v 171 :: commande ; faire ; passer ; acheter ; également ; commandant ; cours ; venir ; voir ; aller
commander.v 206 :: vouloir ; tandis ; prévoir ; exiger ; permettre ; venir ; signifier ; suggérer ; demander ; souhaiter
commander.v 240 :: régler ; commande ; piloter ; payer ; faire ; activer ; uniquement ; personnaliser ; modifier ; contrôler
compris.a 52 :: assimiler ; accepter ; intégrer ; retenir ; obscur ; compréhensible ; facile ; vite ; prise ; interpréter
compris.a 90 :: trouver ; penser ; ajouter ; assurer ; réaliser ; considérer ; apprendre ; croire ; prévoir ; juger
compris.a 106 :: penser ; entendre ; deviner ; vous ; vivre ; vouloir ; confirmer ; comprendre ; déjà ; davantage
compris.a 185 :: inclure ; présent ; inscrire ; incorporer ; contenir ; entendre ; participation ; recevoir ; inclus ; donner
compris.a 186 :: entrer ; déjà ; situer ; inclure ; rester ; presque ; tomber ; rentrer ; plonger ; sortir
compris.a 187 :: inclure ; compter ; contenu ; prendre ; situer ; répartir ; limité ; varier ; évaluer ; calculer
compris.a 211 :: répartir ; mesurer ; varier ; situer ; moyen ; mutuel ; présent ; fluide ; intermédiaire ; partager
compris.a 232 :: inclure ; également ; prendre ; compter ; intégré ; contenu ; inclus ; compte ; comprendre ; partout
compris.a 272 :: saisir ; comprendre ; réaliser ; savoir ; capter ; croire ; apprendre ; entendre ; penser ; percevoir
compris.a 287 :: intégré ; saisir ; assimiler ; apprendre ; comprendre ; découvrir ; apprécier ; deviner ; percevoir ; trouver
couverture.n 65 :: page ; dossier ; rédaction ; sommaire ; éditorial ; dernier ; carte ; série ; semaine ; brochure
couverture.n 67 :: vie ; peau ; carrière ; chance ; réputation ; survie ; route ; liberté ; fortune ; crédibilité
couverture.n 72 :: housse ; couvrir ; sol ; matière ; garniture ; doublure ; fond ; table ; reliure ; décoration
couverture.n 143 :: photo ; blanc ; rouge ; principal ; carte ; long ; noir ; complet ; tête ; vie
couverture.n 149 :: protection ; couvert ; sécurité ; régime ; police ; vie ; défense ; gestion ; clientèle ; responsabilité
couverture.n 150 :: toiture ; couvrir ; pierre ; toit ; charpente ; dalle ; revêtement ; tuile ; tablette ; asseoir
couverture.n 201 :: surveillance ; sécurité ; protection ; desserte ; gestion ; conquête ; pénétration ; défense ; couvrir ; sécurisation
couverture.n 257 :: construction ; remplacement ; toiture ; protection ; bois ; transformation ; terre ; commerce ; financement ; développement
couverture.n 265 :: couvrir ; housse ; serviette ; véranda ; litière ; cuvette ; corde ; douche ; cascade ; couche
