affection.n 8 :: actualité ; pari ; article ; chine ; participation ; municipal ; international ; compte ; étranger ; nouveau
affection.n 20 :: aide ; air ; apercevoir ; propre ; article ; appareil ; ancien ; étroit ; être ; antique
affection.n 33 :: air ; expérience ; clip ; image ; ensemble ; or ; art ; éternel ; international ; externe
affection.n 44 :: tendance ; dépendance ; évolution ; nouveau ; espèce ; situation ; augmentation ; droite ; commune ; croissance
affection.n 145 :: pathologie ; léger ; trouble ; maladie ; arthrite ; affecter ; clinique ; neurologique ; activité ; forme
affection.n 210 :: aide ; or ; air ; origine ; animal ; expédition ; eau ; autant ; énergie ; être
affection.n 224 :: maladie ; pathologie ; atteinte ; complication ; infection ; trouble ; inflammation ; opération ; état ; situation
affection.n 233 :: attention ; amitié ; attachement ; intérêt ; opinion ; appui ; éducation ; humanité ; appartenance ; tendresse
affection.n 252 :: or ; aide ; art ; être ; eau ; air ; ici ; obliger ; usage ; habitude
affection.n 254 :: origine ; or ; aide ; énergie ; air ; eau ; image ; ensemble ; envoi ; histoire
aisé.a 2 :: absent ; proche ; vulnérable ; mort ; attentif ; pauvre ; tuer ; interpellé ; parfait ; donner
aisé.a 38 :: facile ; riche ; important ; élevé ; varier ; confortable ; réussir ; aimable ; large ; intéressant
aisé.a 105 :: riche ; branché ; modeste ; colorer ; élégant ; doux ; chic ; fortuné ; chaleureux ; aimable
aisé.a 109 :: facile ; faciliter ; harmonieux ; évident ; ultérieur ; avantageux ; simplifier ; restreindre ; économique ; résidentiel
aisé.a 139 :: moyen ; pauvre ; populaire ; supérieur ; modeste ; riche ; défavorisé ; social ; privilégier ; inférieur
aisé.a 173 :: évident ; compliqué ; amusant ; facile ; impossible ; avoir ; incertain ; accessible ; chaleureux ; problématique
aisé.a 178 :: pourtant ; devenir ; ardu ; guère ; compliqué ; impossible ; également ; faire ; facile ; évident
aisé.a 198 :: riche ; âgé ; modeste ; pauvre ; démunir ; fortuné ; concerner ; mineur ; noble ; important
aisé.a 253 :: facile ; simple ; intuitif ; rapide ; simplifier ; ardu ; faciliter ; évident ; laborieux ; délicat
