affection.n 8 :: canada ; nouveau ; in ; marier ; acquisition ; nature ; point ; famille ; futur ; collection
affection.n 20 :: ancien ; article ; international ; propre ; excellent ; actuel ; aide ; air ; nouveau ; ion
affection.n 33 :: air ; international ; aide ; étymologie ; alpha ; interne ; animal ; indien ; évaluation ; art
affection.n 44 :: tendance ; situation ; espèce ; dépendance ; évolution ; attitude ; chose ; caractéristique ; maladie ; conséquence
affection.n 145 :: maladie ; pathologie ; atteinte ; inflammation ; infection ; intervention ; activité ; complication ; léger ; origine
affection.n 210 :: aide ; air ; origine ; eau ; international ; animal ; art ; image ; étranger ; emploi
affection.n 224 :: maladie ; pathologie ; atteinte ; complication ; infection ; condition ; indication ; inflammation ; situation ; option
affection.n 233 :: amitié ; amour ; opinion ; appui ; avenir ; intérêt ; alliance ; attachement ; assistance ; estime
affection.n 252 :: or ; air ; aide ; art ; obliger ; eau ; ensemble ; étrange ; image ; évolution
affection.n 254 :: aide ; or ; air ; image ; origine ; énergie ; assistance ; euro ; installation ; os
aisé.a 2 :: absent ; empêcher ; pauvre ; abstenu ; appeler ; confondre ; riche ; élevé ; incapable ; appuyer
aisé.a 38 :: privilégier ; facile ; élevé ; important ; doré ; favoriser ; pauvre ; enrichir ; exigeant ; nombreux
aisé.a 105 :: riche ; pauvre ; paisible ; fortuné ; modeste ; chic ; simple ; favoriser ; instruire ; populaire
aisé.a 109 :: facile ; faciliter ; satisfaisant ; rigoureux ; favoriser ; évident ; homogène ; simplifier ; serein ; progressif
aisé.a 139 :: moyen ; supérieur ; riche ; populaire ; pauvre ; privilégier ; inférieur ; bourgeois ; social ; intermédiaire
aisé.a 173 :: évident ; amusant ; accessible ; facile ; passionnant ; compliqué ; intéressant ; simple ; apparent ; lisible
aisé.a 178 :: facile ; difficile ; impossible ; guère ; également ; évident ; simple ; pourtant ; faire ; agréable
aisé.a 198 :: riche ; grec ; modeste ; chrétien ; pauvre ; religieux ; bourgeois ; raffiné ; orthodoxe ; privilégier
aisé.a 253 :: facile ; évident ; faciliter ; simple ; intuitif ; immédiat ; rapide ; simplifier ; précis ; effectif
aisé.a 275 :: facile ; évident ; impossible ; ardu ; difficile ; simple ; avantageux ; faciliter ; habituel ; compliqué
arrêter.v 1 :: fixer ; enlever ; stopper ; prendre ; tuer ; exécuter ; suspendre ; attacher ; capturer ; trouver
arrêter.v 14 :: employé ; interpellé ; condamner ; suspendre ; licencié ; hospitaliser ; assassiner ; mort ; emprisonné ; prendre
arrêter.v 23 :: aller ; faire ; envoyer ; or ; autant ; utiliser ; effectuer ; in ; obtenir ; ici
arrêter.v 25 :: commencer ; laisse ; continuer ; abandonner ; ajouter ; passer ; paie ; lâche ; oublier ; arrêt
arrêter.v 50 :: appeler ; faire ; inventer ; abandonner ; voir ; apprendre ; prendre ; utiliser ; enlever ; essayer
arrêter.v 181 :: dresse ; affiche ; contenir ; donne ; établir ; présente ; modifier ; comprendre ; augmenter ; complet
arrêter.v 219 :: atteindre ; attraper ; tuer ; stopper ; éliminer ; acheter ; bloquer ; transporter ; détruire ; éviter
arrêter.v 273 :: interpeller ; condamner ; enlever ; emprisonner ; capturer ; prendre ; étranger ; suspendre ; rendre ; connaître
arrêter.v 277 :: or ; but ; os ; an ; point ; in ; également ; article ; parer ; avoir
arrêter.v 291 :: signer ; publier ; communiqué ; proposer ; paraître ; nommer ; émettre ; accepter ; établir ; adopter
capacité.n 26 :: faculté ; puissance ; force ; flexibilité ; possibilité ; disponibilité ; pouvoir ; souplesse ; compétence ; faciliter
capacité.n 32 :: puissance ; tête ; quantité ; force ; chaîne ; possibilité ; activité ; garantie ; réserve ; moyen
capacité.n 35 :: membre ; voire ; an ; associer ; in ; personne ; ami ; université ; également ; salarié
capacité.n 70 :: puissance ; fréquentation ; surface ; rentabilité ; sécurité ; quantité ; consommation ; production ; performance ; couverture
capacité.n 73 :: faculté ; compétence ; souplesse ; aptitude ; volonté ; détermination ; résilience ; disponibilité ; force ; possibilité
capacité.n 101 :: propre ; priver ; capable ; catégorie ; puissance ; compétence ; permettre ; plein ; charge ; biologique
capacité.n 103 :: disponibilité ; unité ; ressource ; quantité ; réserve ; batterie ; activité ; possibilité ; installation ; stock
capacité.n 110 :: possibilité ; suite ; garantie ; puissance ; participation ; quantité ; solution ; présence ; moyen ; part
capacité.n 135 :: faculté ; liberté ; puissance ; possibilité ; force ; pouvoir ; marge ; droit ; porter ; volonté
capacité.n 148 :: maîtrise ; licence ; spécialisation ; formation ; certification ; recherche ; maturité ; compétence ; pratique ; réussite
commander.v 5 :: publier ; signer ; écrire ; dicter ; effectuer ; envoyer ; réaliser ; adresser ; demander ; rédiger
commander.v 9 :: commander ; choisir ; commencer ; acheter ; réserver ; découvrir ; sélectionner ; créer ; définir ; installer
commander.v 16 :: diriger ; mener ; préside ; direction ; commandant ; recevoir ; commanda ; supervise ; combat ; barre
commander.v 41 :: choisir ; vivre ; gérer ; décider ; définir ; commencer ; guider ; orienter ; diriger ; assurer
commander.v 48 :: diriger ; contrôlent ; gouverner ; dominer ; déterminer ; régir ; créer ; gérer ; mener ; organiser
commander.v 117 :: commande ; ordonner ; dicter ; prescrire ; précisément ; normalement ; dieu ; raisonnablement ; permettre ; ment
commander.v 164 :: dicter ; ordonner ; donne ; ment ; enseigne ; écrire ; dieu ; demande ; conseiller ; également
commander.v 171 :: admirer ; acheter ; ouvrir ; commande ; imprimer ; découvrir ; déguster ; observer ; acquérir ; voir
commander.v 206 :: protéger ; permettre ; prévoir ; servir ; tandis ; donner ; venir ; limite ; acheter ; assurer
commander.v 240 :: commande ; également ; prendre ; uniquement ; droit ; ajouter ; faire ; contrôler ; voir ; personnaliser
compris.a 52 :: assimiler ; accepter ; contenue ; recevoir ; lire ; entendre ; compréhensible ; expliquer ; prise ; retenir
compris.a 90 :: croire ; penser ; trouver ; savoir ; saisir ; réaliser ; considérer ; entendre ; sentir ; convaincre
compris.a 106 :: comprendre ; fois ; avoir ; er ; chose ; sens ; exemple ; boire ; être ; erreur
compris.a 185 :: inclure ; contenir ; incorporer ; inscrire ; présent ; découvrir ; entendre ; mentionner ; inclus ; également
compris.a 186 :: rester ; déjà ; également ; presque ; inclure ; peut-être ; ici ; entrer ; demeurer ; conserver
compris.a 187 :: inclure ; estimer ; idéal ; situer ; croire ; moyen ; généralement ; minimum ; fixer ; compter
compris.a 211 :: situer ; répartir ; contenir ; maintenir ; moyen ; partager ; intermédiaire ; choisir ; présent ; modérer
compris.a 232 :: inclure ; intégré ; compter ; inclus ; prendre ; reprendre ; contenu ; comprendre ; investir ; incorporer
compris.a 272 :: saisir ; comprendre ; percevoir ; penser ; savoir ; croire ; capter ; réaliser ; entendre ; intégré
compris.a 287 :: apprendre ; assimiler ; intégré ; saisir ; comprendre ; savoir ; deviner ; capter ; trouver ; découvrir
couverture.n 65 :: page ; dernier ; carte ; rédaction ; fiche ; manchette ; photo ; édition ; sommaire ; toile
couverture.n 67 :: vie ; peau ; carrière ; réputation ; survie ; chance ; place ; veste ; route ; robe
couverture.n 72 :: produit ; housse ; toiture ; terrasse ; logo ; financement ; fonds ; fond ; revêtement ; support
couverture.n 143 :: manchette ; éditorial ; tête ; illustration ; couvrir ; page ; bref ; fort ; vignette ; marge
couverture.n 149 :: protection ; sécurité ; gestion ; vie ; garantie ; maîtrise ; police ; responsabilité ; défense ; prestation
