affection.n 8 :: bibliothèque ; conseiller ; université ; dernier ; participation ; nouveau ; universitaire ; professionnel ; collection ; merveilleux
affection.n 20 :: ancien ; excellent ; aimable ; aide ; air ; or ; illustre ; extrême ; apparent ; étroit
affection.n 33 :: adjectif ; étymologie ; interne ; art ; air ; aide ; étroit ; international ; incessant ; usage
affection.n 44 :: situation ; tendance ; évolution ; dépendance ; maladie ; impression ; attitude ; chose ; espèce ; opinion
affection.n 145 :: maladie ; pathologie ; activité ; région ; inflammation ; anomalie ; complication ; composante ; atteinte ; tumeur
affection.n 210 :: aide ; air ; international ; interne ; animal ; externe ; étranger ; indien ; art ; eau
affection.n 224 :: maladie ; pathologie ; atteinte ; situation ; dépendance ; histoire ; condition ; relation ; complication ; douleur
affection.n 233 :: opinion ; appui ; intérêt ; amitié ; estime ; suffrage ; article ; attachement ; amour ; adhésion
affection.n 252 :: aide ; assistance ; art ; or ; être ; ici ; eau ; çà ; os ; image
affection.n 254 :: or ; air ; origine ; aide ; international ; ensemble ; art ; obliger ; image ; euro
aisé.a 2 :: absent ; ensemble ; présent ; vulnérable ; pauvre ; fort ; auteur ; appeler ; responsable ; attentif
aisé.a 38 :: aristocratique ; élevé ; riche ; nombreux ; bourgeoise ; modeste ; privilégier ; raffiné ; important ; varier
aisé.a 105 :: riche ; pauvre ; populaire ; chic ; modeste ; résidentiel ; paisible ; bourgeois ; urbain ; ancien
aisé.a 109 :: facile ; faciliter ; évident ; assurer ; ultérieur ; favoriser ; accroître ; éventuel ; avantageux ; étendu
aisé.a 139 :: supérieur ; moyen ; riche ; privilégier ; inférieur ; social ; pauvre ; dominant ; bourgeois ; défavorisé
aisé.a 173 :: évident ; facile ; compliqué ; accessible ; précis ; agréable ; simple ; intéressant ; prévisible ; difficile
aisé.a 178 :: facile ; ardu ; compliqué ; difficile ; impossible ; évident ; faisable ; indispensable ; avantageux ; faciliter
aisé.a 198 :: riche ; pauvre ; privilégier ; mineur ; âgé ; noble ; démunir ; choisir ; honorable ; heureux
aisé.a 253 :: facile ; intuitif ; simple ; progressif ; évident ; automatique ; rapide ; satisfaisant ; parfaitement ; faciliter
aisé.a 275 :: facile ; évident ; difficile ; ardu ; compliqué ; simple ; commun ; avantageux ; récent ; auparavant
arrêter.v 1 :: suspendre ; fixer ; prendre ; enlever ; stopper ; donner ; condamner ; exécuter ; juger ; frapper
arrêter.v 14 :: assassiner ; condamner ; mort ; abattu ; prendre ; tuer ; attaquer ; suspendre ; interpellé ; emprisonné
arrêter.v 23 :: être ; aimer ; apercevoir ; aimable ; englober ; ensemble ; art ; excellent ; avoir ; adorer
arrêter.v 25 :: laisse ; piqu ; oublier ; appuyer ; pousse ; ajouter ; écrire ; continuer ; limite ; lâche
arrêter.v 50 :: abandonner ; inventer ; quitter ; apprendre ; appeler ; éteindre ; faire ; remplacer ; enlever ; lâcher
arrêter.v 181 :: dresse ; présente ; complet ; préparer ; établir ; vérifier ; donne ; choisir ; contenir ; continuer
arrêter.v 219 :: abattre ; tuer ; faire ; conduire ; transporter ; aider ; visiter ; acheter ; produire ; développer
