affection.n 8 :: maladie ; disposition ; occasion ; dernier ; affectation ; institution ; considération ; opération ; époque ; extrémité
affection.n 20 :: aide ; apercevoir ; excellent ; appareil ; propre ; article ; ancien ; aimable ; externe ; international
affection.n 33 :: air ; aide ; ancien ; incessant ; immense ; apparent ; heureux ; art ; international ; énorme
affection.n 44 :: situation ; tendance ; dépendance ; espèce ; évolution ; chose ; maladie ; attitude ; relation ; particularité
affection.n 145 :: pathologie ; atteinte ; activité ; maladie ; complication ; région ; lésion ; inflammation ; infection ; entité
affection.n 210 :: aide ; air ; international ; indien ; externe ; évolution ; eau ; argument ; énergie ; origine
affection.n 224 :: maladie ; pathologie ; atteinte ; histoire ; dépendance ; forme ; question ; inflammation ; cause ; complication
affection.n 233 :: amitié ; amour ; intérêt ; attachement ; assistance ; article ; association ; histoire ; opinion ; adhésion
affection.n 252 :: aide ; air ; or ; art ; eau ; amour ; ouverture ; image ; accueil ; étrange
affection.n 254 :: aide ; air ; origine ; or ; ensemble ; image ; art ; efficace ; heureux ; ici
aisé.a 2 :: absent ; vulnérable ; abstenu ; absenter ; empêcher ; exclure ; prise ; appeler ; proche ; interpellé
aisé.a 38 :: facile ; important ; privilégier ; nombreux ; aristocratique ; culturel ; cosmopolite ; restreindre ; riche ; confortable
aisé.a 105 :: riche ; fortuné ; pauvre ; nanti ; modeste ; favoriser ; instruire ; paisible ; chic ; populaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; indiscutable ; satisfaisant ; ultérieur ; serein ; graduel ; harmonieux
aisé.a 139 :: supérieur ; moyen ; riche ; social ; défavorisé ; pauvre ; élevé ; intermédiaire ; modeste ; inférieur
aisé.a 173 :: facile ; évident ; compliqué ; précis ; fluide ; direct ; avancer ; problématique ; soutenir ; amusant
aisé.a 178 :: facile ; difficile ; ardu ; compliqué ; impossible ; indispensable ; approprié ; avantageux ; faisable ; simple
aisé.a 198 :: riche ; supérieur ; honorable ; modeste ; raffiné ; âgé ; noble ; pauvre ; démunir ; inférieur
aisé.a 253 :: simplifier ; facile ; simple ; délicat ; complexe ; rapide ; soigner ; intuitif ; approfondi ; médical
aisé.a 275 :: facile ; difficile ; simple ; évident ; impossible ; compliqué ; avantageux ; important ; heureux ; ardu
arrêter.v 1 :: stopper ; tuer ; abandonner ; mort ; trouver ; décider ; fixer ; prendre ; abattre ; couper
arrêter.v 14 :: condamner ; interpellé ; incarcérer ; licencié ; inculper ; poursuivre ; hospitaliser ; interpeller ; emprisonné ; sanctionné
arrêter.v 23 :: être ; apercevoir ; excellent ; aimer ; avantage ; englober ; aimable ; effectuer ; art ; avoir
arrêter.v 25 :: laisse ; pousse ; oublier ; limite ; balance ; appuyer ; piqu ; utiliser ; aimer ; écrire
arrêter.v 50 :: prendre ; abandonner ; inventer ; quitter ; faire ; regretter ; enlever ; éteindre ; apprendre ; terminer
arrêter.v 181 :: établir ; préparer ; dresse ; élaborer ; définir ; déterminer ; vérifier ; choisir ; sélectionner ; contenir
arrêter.v 219 :: attraper ; tuer ; stopper ; atteindre ; éliminer ; faire ; aider ; comprendre ; frapper ; bloquer
arrêter.v 273 :: condamner ; capturer ; emprisonner ; fixer ; assassiner ; prendre ; bloquer ; abandonner ; reprendre ; exiler
arrêter.v 277 :: or ; in ; os ; li ; an ; article ; avoir ; but ; parer ; if
arrêter.v 291 :: publier ; émettre ; proposer ; adopter ; produit ; approuver ; élaborer ; délivrer ; signer ; communiqué
capacité.n 26 :: faculté ; puissance ; possibilité ; disponibilité ; flexibilité ; caractéristique ; vulnérabilité ; pouvoir ; souplesse ; extraordinaire
capacité.n 32 :: puissance ; force ; quantité ; chaîne ; base ; possibilité ; activité ; différence ; réserve ; tête
capacité.n 35 :: clinique ; activité ; faculté ; spécialiste ; représentant ; résidence ; université ; spécialisation ; profession ; équipe
capacité.n 70 :: puissance ; rentabilité ; performance ; surface ; production ; fréquentation ; consommation ; contribution ; hauteur ; superficie
capacité.n 73 :: faculté ; compétence ; aptitude ; souplesse ; détermination ; force ; résilience ; dimension ; possibilité ; volonté
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; fonction ; propre ; pouvoir ; liberté ; mission ; vertu
capacité.n 103 :: installation ; activité ; disponibilité ; stock ; réserve ; besoin ; ressource ; infrastructure ; production ; puissance
capacité.n 110 :: réserve ; production ; différence ; trésorerie ; hauteur ; moyen ; croissance ; quantité ; suite ; arrivée
capacité.n 135 :: marge ; faculté ; liberté ; possibilité ; puissance ; droit ; sphère ; porter ; force ; pouvoir
