affection.n 8 :: dernier ; maladie ; occasion ; association ; affectation ; adresse ; opération ; disposition ; nouveau ; espèce
affection.n 20 :: aimable ; excellent ; appareil ; audit ; ledit ; adjectif ; assistance ; alpha ; audiovisuelle ; indispensable
affection.n 33 :: aide ; international ; art ; air ; ancien ; clip ; heureux ; incessant ; aimable ; adjectif
affection.n 44 :: nouveau ; être ; développement ; petit ; augmentation ; dernier ; supérieur ; dépendance ; évolution ; famille
affection.n 145 :: pathologie ; lésion ; maladie ; anomalie ; mutation ; complication ; entité ; dégénérescence ; altération ; activité
affection.n 210 :: aide ; eau ; or ; air ; étranger ; art ; image ; ensemble ; énergie ; enseigner
affection.n 224 :: pathologie ; atteinte ; maladie ; condition ; complication ; dépendance ; histoire ; situation ; conséquence ; inflammation
affection.n 233 :: amitié ; attachement ; intérêt ; article ; suffrage ; admiration ; avenir ; opinion ; humanité ; ambition
affection.n 252 :: or ; aide ; air ; eau ; art ; amour ; échange ; os ; ici ; argent
affection.n 254 :: art ; image ; or ; aide ; origine ; air ; obliger ; espace ; énergie ; article
aisé.a 2 :: absent ; vulnérable ; tuer ; mort ; pauvre ; exclure ; propriétaire ; responsable ; empêcher ; présent
aisé.a 38 :: facile ; laborieux ; agréable ; abordable ; difficile ; rapide ; riche ; accessible ; confortable ; modeste
aisé.a 105 :: riche ; calme ; pauvre ; populaire ; paisible ; favoriser ; résidentiel ; chic ; ancien ; récent
aisé.a 109 :: facile ; faciliter ; évident ; satisfaisant ; avantageux ; économique ; harmonieux ; favoriser ; adéquat ; homogène
aisé.a 139 :: moyen ; pauvre ; supérieur ; social ; défavorisé ; modeste ; riche ; intermédiaire ; populaire ; inférieur
aisé.a 173 :: évident ; amusant ; chaleureux ; passionnant ; accessible ; direct ; problématique ; fluide ; compliqué ; facile
aisé.a 178 :: facile ; difficile ; simple ; ardu ; compliqué ; impossible ; évident ; faisable ; avantageux ; intuitif
aisé.a 198 :: riche ; âgé ; mineur ; religieux ; honorable ; pauvre ; modeste ; proche ; choisir ; simple
aisé.a 253 :: simple ; rapide ; facile ; intuitif ; précis ; complexe ; simplifier ; efficace ; délicat ; détailler
aisé.a 275 :: facile ; difficile ; avantageux ; évident ; simple ; compliqué ; impossible ; ardu ; fréquent ; récent
arrêter.v 1 :: stopper ; tuer ; enlever ; arrêt ; suspendre ; prendre ; abandonner ; couper ; recueillir ; attacher
arrêter.v 14 :: interpellé ; condamner ; interpeller ; suspendre ; hospitaliser ; poursuivre ; sanctionné ; incarcérer ; emprisonné ; attaquer
arrêter.v 23 :: être ; apercevoir ; aimer ; aimable ; ensemble ; excellent ; indien ; air ; intervenant ; objet
arrêter.v 25 :: laisse ; oublier ; abandonner ; ajouter ; lâche ; écrire ; aimer ; regarde ; sortir ; commencer
arrêter.v 50 :: abandonner ; quitter ; prendre ; apprendre ; faire ; voir ; éteindre ; inventer ; enlever ; regarder
arrêter.v 181 :: dresse ; établir ; fixe ; préparer ; limite ; joindre ; complet ; donne ; modifier ; sélectionner
arrêter.v 219 :: pouvoir ; faire ; personne ; presque ; aller ; abattre ; but ; atteindre ; mettre ; accord
arrêter.v 273 :: prendre ; capturer ; condamner ; enlever ; juger ; emprisonner ; interpeller ; attraper ; assassiner ; suspendre
arrêter.v 277 :: an ; or ; but ; parer ; der ; point ; in ; os ; avoir ; faire
arrêter.v 291 :: publier ; signer ; nommer ; prendre ; communiqué ; décider ; rendre ; accord ; présenter ; décision
capacité.n 26 :: faculté ; disponibilité ; flexibilité ; puissance ; possibilité ; souplesse ; rapidité ; dimension ; force ; pouvoir
capacité.n 32 :: puissance ; quantité ; chaîne ; réserve ; tête ; activité ; production ; force ; dimension ; mise
capacité.n 35 :: maîtrise ; formation ; spécialisation ; faculté ; équipe ; clinique ; mention ; section ; chambre ; école
capacité.n 70 :: puissance ; fréquentation ; surface ; construction ; quantité ; performance ; demande ; salle ; sécurité ; dotation
capacité.n 73 :: faculté ; aptitude ; compétence ; résilience ; souplesse ; force ; possibilité ; dimension ; détermination ; disponibilité
capacité.n 101 :: faculté ; compétence ; puissance ; qualité ; fonction ; pouvoir ; liberté ; propre ; vie ; force
capacité.n 103 :: disponibilité ; ressource ; batterie ; installation ; puissance ; performance ; réserve ; technologie ; force ; possibilité
capacité.n 110 :: batterie ; possibilité ; quantité ; garantie ; suite ; réduction ; série ; solution ; carte ; participation
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; force ; pouvoir ; droit ; volonté ; sphère
capacité.n 148 :: endurance ; force ; fois ; aptitude ; offrir ; soutenir ; assistance ; présente ; os ; santé
commander.v 5 :: donner ; dicter ; écrire ; publier ; rédiger ; livrer ; signer ; réaliser ; accomplir ; dresser
