affection.n 8 :: maladie ; dernier ; occasion ; disposition ; opération ; extrémité ; institution ; époque ; épreuve ; association
affection.n 20 :: excellent ; air ; étroit ; aimable ; immense ; ancien ; heureux ; atlantique ; aide ; illustre
affection.n 33 :: aide ; art ; international ; ensemble ; expérience ; image ; or ; immigré ; ancien ; an
affection.n 44 :: dépendance ; développement ; article ; formation ; utilisation ; spécial ; assistance ; social ; être ; suite
affection.n 145 :: appeler ; médical ; cardiaque ; grave ; principal ; type ; sérieux ; pathologie ; génétique ; grand
affection.n 210 :: aide ; évolution ; animal ; eau ; origine ; air ; or ; international ; étrange ; énergie
affection.n 224 :: pathologie ; maladie ; atteinte ; indication ; inflammation ; opération ; situation ; entité ; option ; intervention
affection.n 233 :: intérêt ; amitié ; appui ; amour ; attachement ; adhésion ; sang ; avis ; opinion ; soutien
affection.n 252 :: or ; aide ; art ; air ; image ; eau ; ici ; ensemble ; être ; origine
affection.n 254 :: or ; aide ; air ; art ; origine ; énergie ; heureux ; espace ; image ; esthétique
aisé.a 2 :: absent ; riche ; vulnérable ; tuer ; redevable ; mort ; obliger ; pauvre ; attentif ; heureux
aisé.a 38 :: élevé ; bourgeoise ; riche ; privilégier ; modeste ; haut ; confortable ; nombreux ; aristocratique ; établir
aisé.a 105 :: riche ; pauvre ; chic ; modeste ; fortuné ; favoriser ; populaire ; paisible ; nanti ; instruire
aisé.a 109 :: facile ; faciliter ; favoriser ; évident ; détendu ; simple ; harmonieux ; avantageux ; privilégier ; satisfaisant
aisé.a 139 :: moyen ; supérieur ; modeste ; populaire ; social ; défavorisé ; pauvre ; privilégier ; inférieur ; intermédiaire
aisé.a 173 :: accessible ; amusant ; évident ; compliqué ; chaleureux ; agréable ; impossible ; incertain ; facile ; fluide
aisé.a 178 :: difficile ; facile ; ardu ; compliqué ; susceptible ; envisageable ; habituel ; faisable ; approprié ; notable
aisé.a 198 :: riche ; modeste ; honorable ; pauvre ; supérieur ; privilégier ; important ; démunir ; proche ; pur
aisé.a 253 :: facile ; simplifier ; ardu ; simple ; compliqué ; faciliter ; soigner ; intuitif ; précis ; approfondi
aisé.a 275 :: facile ; difficile ; évident ; simple ; important ; avantageux ; compliqué ; élevé ; fréquent ; commun
arrêter.v 1 :: stopper ; prendre ; capturer ; fixer ; attacher ; enlever ; trouver ; tuer ; retrouver ; abandonner
arrêter.v 14 :: condamner ; licencié ; incarcérer ; interpellé ; poursuivre ; abattu ; tuer ; hospitaliser ; assassiner ; attaquer
arrêter.v 23 :: utiliser ; effectuer ; aimer ; aller ; employer ; année ; épuiser ; accès ; administrer ; emprunter
arrêter.v 25 :: abandonner ; commencer ; oublier ; laisse ; quitte ; ajouter ; continuer ; écrire ; lâche ; arrêt
arrêter.v 50 :: faire ; inventer ; prendre ; abandonner ; quitter ; commencer ; apprendre ; voir ; découvrir ; travailler
arrêter.v 181 :: dresse ; établir ; affiche ; préparer ; contenir ; donne ; élaborer ; déterminer ; modifier ; approuver
arrêter.v 219 :: acheter ; fabriquer ; atteindre ; construire ; former ; identifier ; faire ; développer ; aider ; produire
arrêter.v 273 :: condamner ; enlever ; adopter ; prendre ; capturer ; interdire ; rendre ; exécuter ; emprisonner ; écrire
arrêter.v 277 :: article ; or ; in ; an ; ion ; vue ; art ; état ; air ; but
arrêter.v 291 :: publier ; établir ; émettre ; signer ; décider ; fixer ; éditer ; adopter ; réaliser ; approuver
capacité.n 26 :: faculté ; puissance ; possibilité ; disponibilité ; rapidité ; flexibilité ; pouvoir ; extraordinaire ; souplesse ; dimension
capacité.n 32 :: puissance ; quantité ; force ; propriété ; moyen ; durée ; tête ; chaîne ; charge ; raison
capacité.n 35 :: membre ; voire ; an ; conseiller ; ami ; élu ; également ; tiers ; associer ; personne
capacité.n 70 :: puissance ; fréquentation ; consommation ; surface ; performance ; rentabilité ; sécurité ; quantité ; hauteur ; productivité
capacité.n 73 :: faculté ; aptitude ; compétence ; disponibilité ; résilience ; détermination ; dimension ; possibilité ; volonté ; souplesse
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; propre ; faculté ; plénitude ; pouvoir ; responsabilité ; mission
capacité.n 103 :: installation ; disponibilité ; ressource ; activité ; réserve ; puissance ; possibilité ; besoin ; source ; infrastructure
capacité.n 110 :: possibilité ; puissance ; garantie ; batterie ; base ; quantité ; suite ; connexion ; carte ; fonction
capacité.n 135 :: faculté ; marge ; possibilité ; force ; liberté ; puissance ; pouvoir ; droit ; volonté ; raison
capacité.n 148 :: formation ; maîtrise ; licence ; certification ; spécialisation ; recherche ; maturité ; compétence ; performance ; qualification
commander.v 5 :: déjà ; publier ; livrer ; réaliser ; dicter ; écrire ; tenir ; achever ; gracieusement ; servir
commander.v 9 :: commander ; ligne ; faire ; dé ; pré ; savoir ; rapidement ; premier ; glaçon ; être
commander.v 16 :: commandant ; lancer ; passer ; peloton ; chef ; commanda ; finalement ; combat ; ensuite ; ordonner
commander.v 41 :: décider ; faire ; commencer ; demander ; acheter ; choisir ; prendre ; effectuer ; gérer ; lancer
commander.v 48 :: contrôlent ; diriger ; régir ; gouverner ; déterminer ; dominer ; mener ; gérer ; financer ; régler
commander.v 117 :: commande ; dicter ; comporte ; requérir ; commandement ; réclame ; suppose ; prescrire ; compter ; commandant
commander.v 164 :: ordonner ; obéir ; dicter ; enseigne ; prescrire ; imposer ; enjoindre ; commanda ; conseiller ; demande
commander.v 171 :: commande ; acheter ; faire ; acquérir ; réserver ; commencer ; voir ; valider ; aller ; imprimer
commander.v 206 :: permettre ; défense ; protéger ; indispensable ; solaire ; protection ; ajouter ; également ; article ; prétendre
commander.v 240 :: commande ; faire ; grâce ; également ; uniquement ; carrément ; prendre ; contrôler ; personnaliser ; voire
compris.a 52 :: clair ; parfaitement ; facilement ; clairement ; compréhensible ; mieux ; mal ; rapidement ; bon ; vite
compris.a 90 :: penser ; réaliser ; ajouter ; convaincre ; apprendre ; croire ; sentir ; trouver ; reconnaître ; assurer
compris.a 106 :: également ; avoir ; inclure ; fois ; comprendre ; sens ; aimer ; accord ; oui ; être
compris.a 185 :: inclure ; situer ; contenir ; incorporer ; inscrire ; indiquer ; mentionner ; mort ; exclure ; entrer
compris.a 186 :: inclure ; situer ; inscrire ; présent ; entrer ; rester ; déjà ; mort ; sortir ; absent
compris.a 187 :: ordre ; contenu ; enseignement ; prix ; élevé ; moyen ; généralement ; niveau ; fonction ; inclure
compris.a 211 :: répartir ; mesurer ; situer ; proposer ; moyen ; inclus ; grouper ; contenir ; maintenir ; convenable
compris.a 232 :: inclure ; prendre ; compter ; également ; compte ; su ; prix ; marché ; généralement ; ensemble
compris.a 272 :: saisir ; comprendre ; réaliser ; capter ; percevoir ; entendre ; retenir ; croire ; apprécier ; intégré
compris.a 287 :: assimiler ; intégré ; saisir ; apprendre ; deviner ; capter ; reconnaître ; comprendre ; trouver ; prendre
couverture.n 65 :: dernier ; rédaction ; manchette ; sommaire ; dossier ; couvrir ; principal ; éditorial ; brochure ; bref
couverture.n 67 :: protection ; vie ; peau ; toiture ; couvrir ; couche ; nouveau ; saison ; stratégie ; technique
couverture.n 72 :: housse ; couvrir ; sac ; pochette ; sol ; manteau ; fond ; bâche ; toiture ; bibliothèque
couverture.n 143 :: couvrir ; fort ; page ; photo ; principal ; recto ; politique ; manchette ; gauche ; presque
couverture.n 149 :: sécurité ; protection ; droit ; défense ; contrôle ; plein ; couvert ; traitement ; jour ; surveillance
couverture.n 150 :: île ; livre ; toiture ; origine ; fin ; résumé ; cas ; introduction ; légende ; matière
couverture.n 201 :: protection ; surveillance ; gestion ; sécurité ; défense ; convergence ; carte ; définition ; disponibilité ; déploiement
couverture.n 257 :: toiture ; construction ; base ; protection ; remplacement ; service ; transformation ; surface ; soutien ; bois
couverture.n 265 :: couvrir ; housse ; couette ; veste ; serviette ; banquette ; parure ; bibliothèque ; voil ; écorce
couverture.n 280 :: peau ; protection ; complet ; dernier ; voil ; principal ; vrai ; police ; nouveau ; couvrir
débit.n 64 :: dépôt ; banque ; crédit ; visa ; faciliter ; bancaire ; moyen ; long ; flux ; solde
débit.n 87 :: crédit ; chargement ; financement ; dépôt ; prélèvement ; taux ; paiement ; droit ; délai ; règlement
débit.n 115 :: cours ; flux ; delta ; principal ; réel ; flot ; fort ; niveau ; écoulement ; bras
débit.n 131 :: flux ; niveau ; quantité ; couche ; volume ; eau ; nappe ; nuage ; rejet ; chambre
débit.n 136 :: volume ; cours ; flux ; amont ; rivière ; apport ; réel ; aval ; produit ; moyen
débit.n 168 :: rapide ; automatique ; vitesse ; fort ; maximum ; haut ; total ; max ; supérieur ; continu
débit.n 169 :: cours ; niveau ; principal ; courant ; trafic ; volume ; droit ; total ; flux ; passage
débit.n 184 :: capacité ; rythme ; développement ; potentiel ; succès ; projet ; expérience ; exemple ; croissance ; lecture
débit.n 188 :: apport ; flux ; niveau ; effectif ; précipitation ; rejet ; prélèvement ; hauteur ; valeur ; crue
débit.n 205 :: rythme ; flux ; caractère ; style ; temps ; flot ; tempo ; mouvement ; accès ; langage
direction.n 78 :: conduite ; responsabilité ; coordination ; langue ; directrice ; houlette ; dépendance ; discipline ; présidence ; diriger
direction.n 111 :: orientation ; directrice ; présidence ; directeur ; ligne ; conduite ; organisation ; tendance ; coordination ; président
direction.n 151 :: directrice ; équipe ; directeur ; responsabilité ; gestion ; présidence ; management ; responsable ; rédaction ; nouveau
direction.n 152 :: ligne ; droite ; vertical ; descente ; colonne ; déviation ; voie ; position ; forme ; symétrie
direction.n 172 :: rejoindre ; file ; bonjour ; vivement ; quitte ; finalement ; ensuite ; forme ; gagner ; destination
direction.n 176 :: droite ; bon ; constant ; moyen ; ligne ; vertical ; léger ; orientation ; descente ; conduite
direction.n 199 :: management ; organisation ; sélection ; général ; gestion ; rédaction ; dg ; formation ; président ; équipe
direction.n 223 :: conduite ; directrice ; diriger ; responsabilité ; surveillance ; compagnie ; discipline ; comédie ; directeur ; représentation
direction.n 262 :: responsabilité ; directrice ; tête ; défense ; présidence ; directeur ; conduite ; gestion ; maîtrise ; stratégie
direction.n 279 :: destination ; pied ; droite ; sens ; partir ; province ; région ; vallée ; raison ; faveur
