affection.n 8 :: occasion ; institution ; disposition ; maladie ; observation ; opération ; association ; dernier ; affectation ; exposition
affection.n 20 :: excellent ; aimable ; ancien ; air ; étroit ; aide ; heureux ; immense ; atlantique ; illustre
affection.n 33 :: air ; aide ; art ; incessant ; ancien ; international ; étymologie ; image ; animal ; interne
affection.n 44 :: propriété ; professionnel ; domaine ; coopération ; petit ; chambre ; intermédiaire ; utilisation ; propre ; protection
affection.n 145 :: pathologie ; inflammation ; maladie ; substance ; anémie ; anomalie ; activité ; composante ; lésion ; origine
affection.n 210 :: air ; aide ; interne ; externe ; animal ; eau ; étranger ; énergie ; origine ; image
affection.n 224 :: tendresse ; considération ; attention ; article ; qualité ; amitié ; objet ; amour ; mutuel ; attachement
affection.n 233 :: amitié ; opinion ; estime ; attachement ; amour ; intérêt ; appui ; attention ; ambition ; article
affection.n 252 :: or ; ensemble ; aide ; anglais ; évolution ; automne ; eau ; ici ; ouverture ; oiseau
affection.n 254 :: air ; aide ; art ; lorsqu ; origine ; international ; or ; min ; étymologie ; image
aisé.a 2 :: absent ; proche ; vulnérable ; pauvre ; serrer ; absenter ; exclure ; donner ; empêcher ; difficile
aisé.a 38 :: facile ; pauvre ; élevé ; important ; riche ; modeste ; accessible ; diversifier ; nombreux ; intéressant
aisé.a 105 :: riche ; simple ; facile ; modeste ; paisible ; élégant ; aimable ; doux ; élevé ; agréable
aisé.a 109 :: facile ; distinguer ; simple ; laborieux ; modeste ; pauvre ; brillant ; élevé ; riche ; honorable
aisé.a 139 :: moyen ; riche ; supérieur ; privilégier ; populaire ; défavorisé ; social ; pauvre ; intermédiaire ; modeste
aisé.a 173 :: facile ; évident ; intéressant ; accessible ; agréable ; amusant ; fluide ; simple ; direct ; prévisible
aisé.a 178 :: facile ; ardu ; difficile ; compliqué ; susceptible ; impossible ; indispensable ; envisageable ; habituel ; simple
aisé.a 198 :: noble ; riche ; religieux ; âgé ; concerner ; important ; honorable ; présent ; proche ; pauvre
