affection.n 8 :: affectation ; disposition ; ambition ; considération ; maladie ; occasion ; dernier ; admiration ; extrémité ; tendresse
affection.n 20 :: air ; excellent ; aide ; propre ; international ; efficace ; ancien ; externe ; étroit ; illustre
affection.n 33 :: aide ; air ; externe ; image ; interne ; ancien ; approche ; ange ; international ; illustre
affection.n 44 :: situation ; tendance ; dépendance ; évolution ; maladie ; force ; chose ; espèce ; attitude ; relation
affection.n 145 :: activité ; pathologie ; lésion ; entité ; maladie ; substance ; anomalie ; irritation ; dysfonction ; composante
affection.n 210 :: aide ; air ; eau ; animal ; ensemble ; être ; image ; évolution ; or ; énergie
affection.n 224 :: maladie ; pathologie ; atteinte ; condition ; situation ; complication ; cause ; opération ; dépendance ; souffrance
affection.n 233 :: attachement ; amitié ; tendresse ; amour ; article ; habitude ; acharnement ; propre ; histoire ; ensemble
affection.n 252 :: air ; art ; illustre ; or ; ici ; aide ; image ; eau ; usage ; obliger
affection.n 254 :: or ; aide ; image ; air ; ensemble ; origine ; art ; aller ; aimer ; extrême
aisé.a 2 :: demeurer ; absent ; abstenu ; auteur ; ensemble ; bien ; approprier ; impliquer ; social ; contrôle
aisé.a 38 :: élevé ; bourgeoise ; nombreux ; modeste ; riche ; étendu ; confortable ; pauvre ; privilégier ; favoriser
aisé.a 105 :: riche ; modeste ; pauvre ; fortuné ; populaire ; simple ; urbain ; récent ; chic ; paisible
aisé.a 109 :: facile ; faciliter ; satisfaisant ; évident ; simple ; harmonieux ; ardu ; rigoureux ; serein ; économique
aisé.a 139 :: supérieur ; moyen ; riche ; social ; privilégier ; populaire ; intermédiaire ; élevé ; inférieur ; pauvre
aisé.a 173 :: facile ; évident ; compliqué ; difficile ; intéressant ; précis ; accessible ; simple ; direct ; complexe
aisé.a 178 :: facile ; difficile ; simple ; habituel ; ardu ; compliqué ; impossible ; faisable ; évident ; onéreux
aisé.a 198 :: moyen ; société ; social ; riche ; famille ; élite ; bourgeoise ; familial ; nombreux ; classe
aisé.a 253 :: facile ; simplifier ; faciliter ; simple ; intuitif ; précis ; évident ; délicat ; subtil ; fluide
aisé.a 275 :: facile ; difficile ; impossible ; avantageux ; compliqué ; évident ; simple ; ardu ; important ; faciliter
arrêter.v 1 :: enlever ; capturer ; exécuter ; emprisonner ; tuer ; prendre ; condamner ; enterrer ; abandonner ; retrouver
arrêter.v 14 :: condamner ; interpeller ; interpellé ; hospitaliser ; suspendre ; sanctionné ; poursuivre ; emprisonné ; exclure ; attaquer
arrêter.v 23 :: effectuer ; être ; intervenir ; excellent ; avantage ; acheter ; apercevoir ; utiliser ; aimer ; année
arrêter.v 25 :: laisse ; pousse ; écrire ; oublier ; ajouter ; garde ; lire ; lâche ; creux ; regarde
arrêter.v 50 :: abandonner ; inventer ; faire ; commencer ; apprendre ; éteindre ; appeler ; enlever ; quitter ; prendre
arrêter.v 181 :: dresse ; établir ; donne ; préparer ; limite ; contenir ; complet ; fixe ; commencer ; annexe
arrêter.v 219 :: développer ; fabriquer ; assembler ; produire ; aider ; acheter ; atteindre ; identifier ; faire ; former
arrêter.v 273 :: condamner ; interdire ; capturer ; adopter ; abolir ; abandonner ; tuer ; reprendre ; emprisonner ; punir
arrêter.v 277 :: or ; but ; in ; instrument ; bis ; état ; également ; an ; international ; pouvoir
arrêter.v 291 :: publier ; proposer ; signer ; décider ; adopter ; émettre ; établir ; communiqué ; paraître ; acquérir
capacité.n 26 :: faculté ; puissance ; force ; pouvoir ; flexibilité ; vitesse ; disponibilité ; possibilité ; capable ; rapidité
capacité.n 32 :: force ; puissance ; tête ; quantité ; moyen ; réserve ; production ; chaîne ; propriété ; durée
capacité.n 35 :: faculté ; disponibilité ; activité ; clientèle ; place ; formation ; chambre ; population ; université ; résidence
capacité.n 70 :: puissance ; fréquentation ; hauteur ; surface ; production ; charge ; consommation ; propriété ; salle ; rentabilité
capacité.n 73 :: faculté ; compétence ; aptitude ; possibilité ; résilience ; dimension ; force ; détermination ; disponibilité ; souplesse
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; pouvoir ; fonction ; liberté ; propre ; force ; vertu
capacité.n 103 :: ressource ; disponibilité ; possibilité ; quantité ; réserve ; coût ; installation ; besoin ; dépense ; chaîne
capacité.n 110 :: réserve ; suite ; quantité ; série ; puissance ; trésorerie ; base ; production ; dette ; disponibilité
capacité.n 135 :: faculté ; force ; puissance ; possibilité ; rapidité ; volonté ; vitesse ; faciliter ; marge ; valeur
capacité.n 148 :: aptitude ; professionnel ; supérieur ; compétence ; faculté ; présente ; personnalité ; physique ; double ; bon
commander.v 5 :: publier ; final ; écrire ; paraître ; spécial ; signer ; éditer ; réaliser ; produit ; rédiger
commander.v 9 :: commander ; vivre ; rapidement ; ligne ; choisir ; découvrir ; vite ; créer ; trouver ; lire
commander.v 16 :: soutenir ; commanda ; diriger ; ordonner ; recevoir ; consigne ; lancer ; prendre ; charge ; reprendre
commander.v 41 :: faire ; choisir ; commencer ; effectuer ; décider ; définir ; gérer ; changer ; suivre ; arrêter
commander.v 48 :: contrôlent ; diriger ; financer ; régir ; mener ; déterminer ; gouverner ; gérer ; créer ; dominer
commander.v 117 :: commande ; dicter ; demande ; demander ; devoir ; faire ; ordonner ; appeler ; vraiment ; regarde
commander.v 164 :: donne ; dicter ; ordonner ; second ; demande ; ment ; prendre ; laisse ; long ; musique
commander.v 171 :: commande ; acheter ; livraison ; envoyer ; panier ; achat ; lire ; imprimer ; voir ; venir
commander.v 206 :: donne ; donner ; servir ; permettre ; prévoir ; protéger ; passer ; venir ; empêcher ; commande
commander.v 240 :: commande ; acheter ; payer ; régler ; faire ; piloter ; uniquement ; ajouter ; prendre ; modifier
compris.a 52 :: clairement ; lentement ; progressivement ; vite ; parfaitement ; suffisamment ; entièrement ; vraiment ; mieux ; profondément
compris.a 90 :: réaliser ; entendre ; saisir ; comprendre ; croire ; assurer ; sentir ; aimer ; apprécier ; ajouter
compris.a 106 :: entendre ; penser ; croire ; vouloir ; sentir ; remarquer ; déjà ; savoir ; deviner ; vivre
compris.a 185 :: inclure ; incorporer ; présent ; particulier ; enregistrer ; inscrire ; important ; conserver ; publier ; découvrir
compris.a 186 :: inclure ; ici ; rester ; déjà ; également ; présent ; trouver ; partout ; confondre ; situer
compris.a 187 :: inclure ; contenu ; prendre ; compter ; moyen ; estimer ; évaluer ; fixer ; calculer ; situer
compris.a 211 :: répartir ; situer ; partager ; grouper ; accepter ; plongée ; inclus ; choisir ; mesurer ; varier
compris.a 232 :: inclure ; intégré ; prendre ; reprendre ; contenu ; inclus ; compter ; comprendre ; également ; contenir
compris.a 272 :: avoir ; parfaitement ; également ; fois ; er ; avion ; être ; autant ; peine ; ment
compris.a 287 :: saisir ; apprendre ; intégré ; deviner ; assimiler ; capter ; reconnaître ; savoir ; adopter ; comprendre
couverture.n 65 :: rédaction ; dossier ; manchette ; éditorial ; page ; dernier ; sommaire ; couvrir ; carte ; présentation
couverture.n 67 :: protection ; vie ; photo ; fois ; cape ; robe ; réputation ; couvrir ; profession ; chance
couverture.n 72 :: housse ; toiture ; couvrir ; couvert ; dossier ; sol ; véranda ; terrasse ; reliure ; coqu
couverture.n 143 :: photo ; double ; vignette ; page ; tête ; plein ; gauche ; écriture ; poitrine ; dos
couverture.n 149 :: protection ; sécurité ; garantie ; responsabilité ; défense ; caisse ; répartition ; vie ; gestion ; matière
couverture.n 150 :: toiture ; toit ; couvrir ; tuile ; pierre ; dalle ; charpente ; construction ; ardoise ; protection
couverture.n 201 :: surveillance ; sécurité ; protection ; desserte ; sécurisation ; gestion ; défense ; conquête ; connaissance ; transformation
couverture.n 257 :: finition ; base ; revêtement ; construction ; remplacement ; protection ; toiture ; fond ; sol ; décoration
couverture.n 265 :: couvrir ; serviette ; housse ; couette ; couche ; banquette ; peau ; trappe ; enveloppe ; véranda
couverture.n 280 :: étiquette ; pochette ; critique ; jaquette ; principal ; supérieur ; vert ; dernier ; rose ; moitié
débit.n 64 :: retrait ; versement ; prélèvement ; solde ; crédit ; achat ; montant ; dépôt ; transfert ; paiement
débit.n 87 :: flux ; niveau ; volume ; cours ; flot ; jet ; écoulement ; bassin ; accès ; ruisseau
débit.n 115 :: niveau ; jet ; eau ; réel ; chute ; rythme ; tomber ; indice ; taux ; maximum
débit.n 131 :: niveau ; eau ; courant ; nappe ; couche ; lac ; bassin ; réservoir ; flux ; cours
débit.n 136 :: crue ; cours ; flux ; rejet ; volume ; coefficient ; niveau ; eau ; bilan ; apport
débit.n 168 :: rapide ; automatique ; vitesse ; montant ; augmentation ; express ; facile ; rythme ; hausse ; abonnement
débit.n 169 :: montant ; résultat ; solde ; total ; coût ; financement ; traitement ; flux ; produit ; prix
débit.n 184 :: taux ; rythme ; rendement ; poids ; potentiel ; intérêt ; ratio ; score ; développement ; vitesse
débit.n 188 :: niveau ; apport ; flux ; cours ; effectif ; débordement ; rejet ; montant ; coefficient ; berge
débit.n 205 :: haut ; gros ; cardiaque ; long ; rapide ; faible ; important ; grand ; continu ; fort
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; houlette ; main ; diriger ; comédie ; langue ; maîtrise
direction.n 111 :: orientation ; ligne ; conduite ; directrice ; tendance ; unité ; tête ; majorité ; représentation ; équipe
direction.n 151 :: gestion ; management ; diriger ; musical ; bon ; supérieur ; équipe ; directeur ; maîtrise ; responsabilité
direction.n 152 :: orientation ; ligne ; tendance ; droite ; forme ; descente ; pente ; sens ; déviation ; conduite
direction.n 172 :: rejoindre ; bonjour ; peut-être ; bientôt ; finalement ; destination ; forme ; file ; remonter ; retrouver
direction.n 176 :: orientation ; conduite ; rapport ; virage ; tendance ; destination ; contrôle ; cap ; performance ; viser
direction.n 199 :: rédaction ; présidence ; commission ; fédération ; coordination ; coopératif ; directrice ; partir ; confédération ; délégation
direction.n 223 :: conduite ; responsabilité ; maîtrise ; surveillance ; directrice ; rédaction ; présidence ; discipline ; diriger ; main
direction.n 262 :: responsabilité ; directrice ; directeur ; conduite ; gestion ; maîtrise ; stratégie ; défense ; tête ; performance
direction.n 279 :: venir ; face ; province ; provenance ; revenir ; destination ; vallée ; région ; sens ; sortir
don.n 19 :: sens ; talent ; souci ; style ; temps ; point ; droit ; niveau ; pouvoir ; coup
don.n 30 :: talent ; pouvoir ; atout ; oeil ; trait ; sens ; pied ; tour ; fonds ; trésor
don.n 36 :: talent ; cadeau ; lien ; sens ; pouvoir ; droit ; double ; livre ; produit ; legs
don.n 60 :: cadeau ; titre ; produit ; sacrifice ; placement ; rapport ; but ; droit ; transfert ; mariage
don.n 84 :: apport ; intérêt ; investissement ; contribution ; revenu ; loyer ; cadeau ; bien ; produit ; enfant
don.n 107 :: cadeau ; faire ; présent ; achat ; objet ; livre ; art ; prix ; état ; or
don.n 130 :: enfant ; cadeau ; ami ; legs ; fonds ; bénéficiaire ; bon ; parent ; remerciement ; jeune
don.n 196 :: talent ; génie ; truc ; secret ; pouvoir ; charm ; traitement ; travail ; sens ; crime
don.n 244 :: cadeau ; bénévolat ; mécénat ; collecte ; cotisation ; contribution ; versement ; travail ; prêt ; transfert
don.n 245 :: travail ; témoignage ; trésor ; legs ; découverte ; objet ; reste ; talent ; ouvrage ; bijou
entraîner.v 39 :: art ; or ; aide ; air ; image ; origine ; ouverture ; cl ; international ; arriver
entraîner.v 47 :: aider ; aide ; obliger ; encourager ; engager ; pousse ; apprendre ; amener ; invite ; inciter
entraîner.v 55 :: air ; aide ; arriver ; actuel ; international ; origine ; interne ; intégrer ; or ; apparemment
entraîner.v 57 :: exemple ; international ; indien ; arthrose ; être ; image ; allemand ; aide ; original ; air
entraîner.v 133 :: air ; aide ; animal ; ancien ; image ; interne ; ensemble ; art ; ion ; indien
entraîner.v 140 :: mener ; emporter ; envoyer ; amener ; engager ; emmener ; aller ; attirer ; conduire ; élever
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; inviter ; amener ; encourager ; inciter ; force ; pousse
entraîner.v 161 :: provoquer ; induire ; apparaître ; engendrer ; éviter ; conduire ; produire ; amener ; impliquer ; créer
entraîner.v 162 :: amener ; provoquer ; assurer ; engendrer ; influence ; conduire ; encourager ; favoriser ; actif ; accentuer
entraîner.v 191 :: emporter ; amener ; conduire ; jeter ; attirer ; abandonner ; engager ; précipiter ; emmener ; mener
éplucher.v 10 :: peler ; nettoyer ; cueillir ; laver ; récolter ; presser ; ouvrir ; faire ; sélectionner ; blanchir
éplucher.v 51 :: lire ; recevoir ; revoir ; adopter ; récolter ; épauler ; porter ; échanger ; noix ; poursuivre
éplucher.v 69 :: finement ; faire ; autant ; euro ; systématiquement ; littéralement ; illico ; attentivement ; mieux ; lire
éplucher.v 100 :: éplucher ; peler ; finement ; oignon ; consommer ; servir ; presser ; récolter ; cuisiner ; grossièrement
éplucher.v 119 :: déjà ; éplucher ; regarder ; fouillé ; vite ; entendre ; mal ; largement ; évidemment ; rapidement
éplucher.v 167 :: découvrir ; laver ; laisser ; oublier ; voir ; couper ; utiliser ; poireau ; ajouter ; aller
éplucher.v 174 :: faire ; bon ; gros ; feuille ; carotte ; petit ; aller ; déjà ; pomme ; voir
éplucher.v 235 :: peler ; faire ; acheter ; aller ; couper ; préparer ; passer ; nettoyer ; presser ; récolter
éplucher.v 236 :: éplucher ; soigneusement ; minutieusement ; devoir ; scrupuleusement ; moult ; gué ; abondamment ; minutieux ; ré
éplucher.v 258 :: peler ; blanchir ; légume ; laver ; égoutter ; rincer ; cuire ; retirer ; manger ; faire
espace.n 13 :: établissement ; or ; ancien ; nouveau ; os ; grand ; ensemble ; exploitation ; entreprise ; offrir
espace.n 27 :: air ; or ; art ; immigré ; histoire ; énergie ; eau ; éternel ; ancien ; image
espace.n 79 :: support ; temps ; zone ; coin ; environnement ; lieu ; ensemble ; hébergement ; place ; outil
espace.n 120 :: air ; étroit ; article ; énergie ; aide ; ensemble ; excellent ; heureux ; art ; être
espace.n 137 :: environnement ; information ; marché ; enseignement ; personnel ; investissement ; politique ; assurance ; domaine ; développement
espace.n 142 :: ancien ; antique ; actuel ; international ; céleste ; air ; automne ; eau ; or ; étranger
espace.n 180 :: lien ; droit ; partage ; arbre ; bien ; donnée ; territoire ; temps ; dernier ; intervalle
espace.n 208 :: international ; entreprise ; article ; nouveau ; institution ; dernier ; ensemble ; ligne ; parlement ; université
espace.n 229 :: propre ; petit ; événement ; service ; environnement ; atout ; projet ; aménagement ; avantage ; produit
espace.n 243 :: coin ; ensemble ; article ; temps ; journal ; lieu ; droit ; soutien ; groupe ; ligne
essuyer.v 11 :: laver ; essuyer ; rincer ; désinfection ; nettoyage ; essuie ; nettoyer ; rinçage ; rafraîchir ; faire
essuyer.v 58 :: rencontrer ; subir ; avoir ; constater ; connaître ; rencontre ; régler ; causer ; souffrir ; recevoir
essuyer.v 77 :: essuie ; soigneusement ; ensuite ; larme ; nettoie ; effacer ; enlever ; eau ; presque ; lav
essuyer.v 81 :: essuie ; seau ; ra ; esse ; ment ; papier ; bile ; er ; répondit ; savoir
essuyer.v 86 :: presque ; tenir ; obtenir ; assurer ; entendre ; droit ; donner ; lieu ; donne ; faire
essuyer.v 89 :: essuie ; subir ; opposer ; systématiquement ; recevoir ; face ; également ; quotidiennement ; pourtant ; hier
essuyer.v 98 :: recevoir ; faire ; encaisser ; rencontrer ; subir ; gagner ; voir ; prendre ; perdre ; trouver
essuyer.v 166 :: pépin ; noyau ; sécher ; baie ; feuille ; graine ; noix ; légume ; peau ; main
essuyer.v 215 :: subir ; recevoir ; essuie ; accumuler ; revers ; recueillir ; encaisser ; souffrir ; sortir ; annoncer
essuyer.v 266 :: réserver ; soigneusement ; gueule ; écrire ; déposer ; appliquer ; éviter ; enlever ; nettoyer ; ajouter
faucher.v 12 :: presque ; volontairement ; intentionnellement ; magnifiquement ; bientôt ; tuer ; apparemment ; tracée ; malheureusement ; admirablement
faucher.v 42 :: entreprise ; également ; donnée ; déjà ; disponible ; mieux ; présent ; personne ; utiliser ; devenir
faucher.v 116 :: semer ; abattre ; pousser ; tuer ; travailler ; détruire ; dévaster ; déjà ; achever ; laisser
faucher.v 160 :: atteindre ; séparer ; orphelin ; avoir ; mettre ; tuer ; trouver ; amoureux ; moussa ; malheureux
faucher.v 214 :: canada ; marque ; compagnie ; produit ; société ; entreprise ; producteur ; nature ; pays ; conseil
