affection.n 8 :: dernier ; maladie ; occasion ; épreuve ; époque ; attaque ; disposition ; influence ; ambition ; extrémité
affection.n 20 :: ancien ; excellent ; extrême ; aimable ; propre ; étroit ; immense ; article ; ion ; incroyable
affection.n 33 :: air ; externe ; adjectif ; international ; interne ; art ; aide ; incessant ; ancien ; image
affection.n 44 :: propriété ; développement ; professionnel ; coopération ; supérieur ; être ; location ; appartement ; ensemble ; construction
affection.n 145 :: activité ; maladie ; substance ; pathologie ; complication ; région ; infection ; origine ; anomalie ; manifestation
affection.n 210 :: air ; aide ; eau ; animal ; art ; étranger ; interne ; étymologie ; international ; envoi
affection.n 224 :: parenter ; famille ; grand-mère ; entourage ; mère ; localisation ; descendance ; santé ; adresse ; enfance
affection.n 233 :: intérêt ; amitié ; éducation ; attention ; amour ; opinion ; argent ; avenir ; sang ; emploi
affection.n 252 :: aide ; air ; or ; eau ; art ; énergie ; image ; origine ; échange ; étrange
affection.n 254 :: or ; air ; aide ; image ; origine ; art ; irremplaçable ; italien ; euro ; ensemble
aisé.a 2 :: absent ; parfait ; inactif ; proche ; mort ; bien ; tuer ; pauvre ; donner ; endormir
aisé.a 38 :: facile ; élevé ; confortable ; social ; important ; accessible ; favoriser ; large ; riche ; modeste
aisé.a 105 :: riche ; pauvre ; chic ; favoriser ; résidentiel ; fortuné ; nanti ; populaire ; modeste ; paisible
aisé.a 109 :: faciliter ; facile ; social ; satisfaisant ; économique ; harmonieux ; évident ; rigoureux ; uniforme ; résidentiel
aisé.a 139 :: supérieur ; riche ; privilégier ; moyen ; élevé ; défavorisé ; pauvre ; social ; élite ; populaire
aisé.a 173 :: amusant ; évident ; facile ; accessible ; intéressant ; lisible ; passionnant ; compliqué ; direct ; fluide
aisé.a 178 :: facile ; difficile ; impossible ; ardu ; compliqué ; susceptible ; envisageable ; habituel ; indispensable ; évident
aisé.a 198 :: âgé ; riche ; noble ; honorable ; pauvre ; concerner ; mineur ; modeste ; supérieur ; démunir
aisé.a 253 :: facile ; faciliter ; également ; simple ; intuitif ; rapide ; économique ; ultérieur ; effectuer ; parfaitement
aisé.a 275 :: facile ; difficile ; simple ; évident ; impossible ; avantageux ; important ; compliqué ; ardu ; élevé
arrêter.v 1 :: enlever ; stopper ; tuer ; prendre ; capturer ; condamner ; abandonner ; retrouver ; assassiner ; trouver
arrêter.v 14 :: condamner ; interpellé ; interpeller ; inculper ; hospitaliser ; suspendre ; poursuivre ; emprisonné ; incarcérer ; tuer
arrêter.v 23 :: être ; apercevoir ; aimer ; ensemble ; englober ; intégrer ; appeler ; aimable ; avoir ; objet
arrêter.v 25 :: laisse ; cesser ; abandonner ; garde ; ferme ; supprimer ; appuyer ; oublier ; balance ; paie
arrêter.v 50 :: abandonner ; quitter ; enlever ; appeler ; apprendre ; faire ; éteindre ; inventer ; voir ; prendre
arrêter.v 181 :: élaborer ; établir ; préparer ; définir ; adopter ; contenir ; pose ; coordonner ; approuver ; déterminer
arrêter.v 219 :: tuer ; abattre ; faire ; bloquer ; acheter ; attraper ; stopper ; conduire ; transporter ; descendre
arrêter.v 273 :: être ; ordre ; loi ; long ; jour ; type ; programme ; tracé ; fois ; système
arrêter.v 277 :: an ; but ; port ; or ; client ; os ; faire ; falloir ; ré ; li
arrêter.v 291 :: publier ; émettre ; proposer ; éditer ; délivrer ; obtenir ; communiqué ; sortir ; accepter ; paraître
capacité.n 26 :: faculté ; puissance ; force ; vitesse ; rapidité ; disponibilité ; flexibilité ; pouvoir ; capable ; possibilité
capacité.n 32 :: puissance ; force ; tête ; quantité ; chaîne ; activité ; propriété ; possibilité ; charge ; fonction
capacité.n 35 :: maîtrise ; clinique ; faculté ; équipe ; réponse ; formation ; représentant ; disponibilité ; quantité ; commettre
capacité.n 70 :: fréquentation ; puissance ; surface ; charge ; production ; quantité ; réserve ; consommation ; rentabilité ; remplissage
capacité.n 73 :: faculté ; compétence ; aptitude ; détermination ; possibilité ; souplesse ; force ; volonté ; disponibilité ; confiance
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; liberté ; pouvoir ; propre ; fonction ; force ; connaissance
capacité.n 103 :: possibilité ; disponibilité ; unité ; ressource ; stock ; installation ; quantité ; activité ; coût ; puissance
capacité.n 110 :: quantité ; puissance ; possibilité ; utilisation ; batterie ; fonction ; réserve ; participation ; solution ; profondeur
