affection.n 8 :: affectation ; maladie ; institution ; disposition ; occasion ; opération ; obligation ; tendresse ; dernier ; habitude
affection.n 20 :: international ; article ; air ; aide ; entreprise ; exemple ; étranger ; institution ; association ; environnement
affection.n 33 :: aide ; expérience ; énergie ; image ; application ; évolution ; air ; échange ; origine ; art
affection.n 44 :: évolution ; dépendance ; tendance ; être ; situation ; petit ; nouveau ; long ; croissance ; articulation
affection.n 145 :: pathologie ; activité ; inflammation ; maladie ; lésion ; substance ; anomalie ; atteinte ; tumeur ; irritation
affection.n 210 :: air ; aide ; animal ; étranger ; interne ; externe ; origine ; indien ; énergie ; exemple
affection.n 224 :: maladie ; pathologie ; condition ; complication ; situation ; atteinte ; tare ; tendance ; option ; plaie
affection.n 233 :: amitié ; amour ; appui ; avenir ; attachement ; intérêt ; opinion ; intimité ; estime ; histoire
affection.n 252 :: aide ; air ; art ; énergie ; or ; acharnement ; eau ; être ; ici ; usage
affection.n 254 :: or ; air ; aide ; espace ; art ; image ; clip ; temps ; énergie ; origine
aisé.a 2 :: absent ; proche ; vulnérable ; interpellé ; puissant ; redevable ; tuer ; indissociable ; concerner ; donner
aisé.a 38 :: facile ; français ; favoriser ; étranger ; majoritairement ; culturel ; étudiant ; cosmopolite ; ethnique ; économique
aisé.a 105 :: riche ; pauvre ; instruire ; modeste ; favoriser ; paisible ; populaire ; fortuné ; bourgeois ; jeune
aisé.a 109 :: facile ; favoriser ; difficile ; évident ; fréquent ; progressif ; général ; facilement ; rapide ; familial
aisé.a 139 :: moyen ; pauvre ; supérieur ; riche ; modeste ; défavorisé ; social ; populaire ; privilégier ; inférieur
aisé.a 173 :: évident ; compliqué ; amusant ; problématique ; facile ; envisageable ; accessible ; passionnant ; chaleureux ; proche
aisé.a 178 :: guère ; également ; dorénavant ; parfaitement ; fort ; pourtant ; quelquefois ; facile ; réellement ; devenir
aisé.a 198 :: riche ; noble ; âgé ; honorable ; fortuné ; modeste ; pauvre ; privilégier ; concerner ; démunir
aisé.a 253 :: simplifier ; effectif ; évident ; intuitif ; ardu ; effectuer ; facile ; adéquat ; limpide ; satisfaisant
aisé.a 275 :: facile ; difficile ; avantageux ; évident ; simple ; impossible ; compliqué ; important ; ardu ; commun
arrêter.v 1 :: stopper ; tuer ; prendre ; abandonner ; couper ; fixer ; arrêt ; reprendre ; décider ; trouver
arrêter.v 14 :: condamner ; mort ; interpellé ; interpeller ; blessé ; abattu ; tuer ; assassiner ; emprisonné ; hospitaliser
arrêter.v 23 :: apercevoir ; être ; aimer ; avantage ; âge ; arme ; ensemble ; appeler ; intégrer ; effectuer
arrêter.v 25 :: laisse ; oublier ; regarde ; abandonner ; écrire ; aimer ; piqu ; donne ; limite ; paie
arrêter.v 50 :: abandonner ; inventer ; quitter ; voir ; apprendre ; éteindre ; prendre ; enlever ; faire ; interrompre
arrêter.v 181 :: contenir ; sommaire ; lire ; comprendre ; introduction ; présente ; voir ; programme ; définir ; préparer
arrêter.v 219 :: tuer ; stopper ; attraper ; faire ; atteindre ; acheter ; éliminer ; achever ; comprendre ; enregistrer
arrêter.v 273 :: interdire ; condamner ; capturer ; établir ; fixer ; suspendre ; adopter ; punir ; exécuter ; mort
arrêter.v 277 :: in ; or ; if ; article ; os ; aimer ; aide ; hésiter ; us ; art
arrêter.v 291 :: émettre ; exclure ; acquérir ; décider ; publier ; accepter ; adopter ; proposer ; nommer ; délivrer
capacité.n 26 :: faculté ; puissance ; disposition ; possibilité ; flexibilité ; disponibilité ; pouvoir ; faciliter ; incroyable ; capable
capacité.n 32 :: chaîne ; puissance ; technologie ; raison ; activité ; taille ; dimension ; gamme ; société ; possibilité
capacité.n 35 :: profession ; spécialisation ; formation ; clinique ; maîtrise ; spécialiste ; compétence ; activité ; licence ; professionnel
capacité.n 70 :: puissance ; quantité ; densité ; volume ; consommation ; production ; performance ; surface ; charge ; superficie
capacité.n 73 :: compétence ; faculté ; aptitude ; possibilité ; dimension ; disponibilité ; responsabilité ; détermination ; flexibilité ; liberté
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; fonction ; propre ; pouvoir ; force ; liberté ; mission
capacité.n 103 :: ressource ; réserve ; stock ; puissance ; disponibilité ; possibilité ; activité ; quantité ; zone ; livraison
capacité.n 110 :: puissance ; possibilité ; réserve ; différence ; batterie ; surface ; garantie ; réduction ; suite ; série
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; droit ; force ; sphère ; porter ; pouvoir
capacité.n 148 :: maîtrise ; formation ; spécialisation ; licence ; maturité ; certification ; faculté ; qualification ; compétence ; connaissance
commander.v 5 :: écrire ; réaliser ; publier ; vouloir ; signer ; offrir ; demander ; envoyer ; lancer ; dicter
commander.v 9 :: commander ; rapidement ; vite ; vous ; ensuite ; simplement ; immédiatement ; réserver ; créer ; également
commander.v 16 :: diriger ; commanda ; recevoir ; ordonner ; soutenir ; commandant ; forme ; mener ; combat ; ferme
commander.v 41 :: avoir ; commande ; commencer ; être ; suivre ; répéter ; choisir ; jouer ; pouvoir ; gagner
commander.v 48 :: contrôlent ; diriger ; gouverner ; régir ; dominer ; déterminer ; mener ; créer ; gérer ; régler
commander.v 117 :: commande ; dicter ; devoir ; commandement ; normalement ; dorénavant ; réellement ; commanda ; précisément ; commandant
commander.v 164 :: haut ; également ; dame ; bas ; français ; bon ; long ; lourd ; spirituel ; masculin
commander.v 171 :: acheter ; acquérir ; commande ; faire ; réserver ; admirer ; commencer ; choisir ; voir ; recevoir
commander.v 206 :: droit ; permettre ; protéger ; code ; servir ; refuser ; porter ; commande ; ban ; donner
commander.v 240 :: commande ; régler ; contrôler ; payer ; personnaliser ; faire ; uniquement ; piloter ; également ; prendre
compris.a 52 :: assimiler ; percevoir ; retenir ; accepter ; enseigner ; lire ; interpréter ; vue ; contenue ; recevoir
compris.a 90 :: réaliser ; sentir ; croire ; trouver ; ajouter ; saisir ; admettre ; assurer ; reconnaître ; entendre
compris.a 106 :: penser ; sentir ; deviner ; prouver ; vous ; entendre ; apprendre ; écrire ; arriver ; montrer
compris.a 185 :: inclure ; entendre ; présent ; contenir ; chose ; prendre ; apprendre ; également ; incorporer ; inclus
compris.a 186 :: inclure ; également ; ici ; partout ; divin ; présent ; excellent ; inclus ; offrir ; apprécier
compris.a 187 :: inclure ; situer ; prendre ; contenu ; compter ; choisir ; estimer ; répartir ; moyen ; ranger
compris.a 211 :: répartir ; situer ; contenir ; partager ; inclus ; grouper ; choisir ; élevé ; mesurer ; plongée
compris.a 232 :: inclure ; compter ; intégré ; prendre ; contenu ; reprendre ; comptabiliser ; inclus ; cal ; comprendre
compris.a 272 :: saisir ; comprendre ; capter ; réaliser ; penser ; deviner ; prendre ; croire ; savoir ; cacher
compris.a 287 :: intégré ; assimiler ; saisir ; apprendre ; deviner ; adopter ; reconnaître ; comprendre ; découvrir ; trouver
couverture.n 65 :: page ; rédaction ; dernier ; carte ; moitié ; partie ; sommaire ; conclusion ; fiche ; éditorial
couverture.n 67 :: peau ; vie ; réputation ; voil ; protection ; robe ; veste ; garde ; armure ; couvrir
couverture.n 72 :: housse ; coiffure ; vêtement ; pochette ; dossier ; véranda ; couvert ; terrasse ; sécurité ; peau
couverture.n 143 :: manchette ; page ; illustration ; marge ; jaquette ; peau ; pochette ; fort ; étiquette ; case
couverture.n 149 :: protection ; vie ; politique ; régime ; droit ; situation ; répartition ; clientèle ; traitement ; sécurité
couverture.n 150 :: toiture ; couvrir ; tuile ; toit ; charpente ; pierre ; dalle ; protection ; voil ; construction
