affection.n 8 :: affectation ; tendresse ; amitié ; institution ; dernier ; disposition ; opinion ; histoire ; ambition ; expression
affection.n 20 :: air ; aide ; ancien ; illustre ; aimable ; insigne ; excellent ; article ; étroit ; externe
affection.n 33 :: aide ; animal ; ancien ; immigré ; étymologie ; heureux ; incessant ; étroit ; art ; image
affection.n 44 :: dépendance ; situation ; augmentation ; tendance ; nouveau ; petit ; croissance ; évolution ; relation ; formation
affection.n 145 :: pathologie ; dégénérescence ; activité ; composante ; lésion ; maladie ; région ; racine ; artère ; partie
affection.n 210 :: air ; aide ; animal ; eau ; interne ; art ; origine ; or ; étranger ; image
affection.n 224 :: pathologie ; maladie ; condition ; dépendance ; atteinte ; souffrance ; situation ; cause ; indication ; lourdeur
affection.n 233 :: opinion ; amitié ; intérêt ; estime ; appui ; suffrage ; avenir ; intimité ; entourage ; assistance
affection.n 252 :: or ; obliger ; ici ; ensemble ; aide ; art ; arrivée ; aéroport ; argent ; homme
affection.n 254 :: or ; aide ; air ; art ; énergie ; origine ; eau ; obliger ; image ; esthétique
aisé.a 2 :: absent ; vulnérable ; commune ; tuer ; mort ; lier ; facile ; proche ; pauvre ; donner
aisé.a 38 :: important ; facile ; élevé ; riche ; pauvre ; étendu ; âger ; sophistiquer ; nombreux ; difficile
aisé.a 105 :: riche ; chic ; paisible ; résidentiel ; bourgeois ; fortuné ; nanti ; branché ; pauvre ; modeste
aisé.a 109 :: facile ; faciliter ; aise ; satisfaisant ; assurer ; harmonieux ; compliqué ; évident ; acquérir ; économique
aisé.a 139 :: moyen ; populaire ; supérieur ; social ; pauvre ; inférieur ; riche ; privilégier ; facile ; intermédiaire
aisé.a 173 :: facile ; accessible ; évident ; intéressant ; fluide ; agréable ; amusant ; prévisible ; apparent ; précis
aisé.a 178 :: facile ; difficile ; impossible ; simple ; susceptible ; nécessaire ; important ; fréquent ; envisageable ; compliqué
aisé.a 198 :: riche ; modeste ; supérieur ; grec ; social ; pauvre ; privilégier ; européen ; bourgeois ; moyen
aisé.a 253 :: facile ; intuitif ; faciliter ; simplifier ; simple ; effectif ; compliqué ; ardu ; satisfaisant ; effectuer
aisé.a 275 :: facile ; évident ; ardu ; impossible ; difficile ; compliqué ; avantageux ; simple ; habituel ; récent
