affection.n 8 :: occasion ; époque ; disposition ; affectation ; maladie ; considération ; dernier ; observation ; opinion ; épreuve
affection.n 20 :: air ; aide ; apercevoir ; ancien ; externe ; excellent ; international ; étroit ; aimable ; atlantique
affection.n 33 :: aide ; ancien ; énergie ; air ; heureux ; énorme ; origine ; irremplaçable ; évolution ; action
affection.n 44 :: tendance ; évolution ; dépendance ; espèce ; situation ; long ; augmentation ; abstention ; attitude ; être
affection.n 145 :: atteinte ; maladie ; pathologie ; activité ; léger ; grave ; cause ; origine ; fort ; complication
affection.n 210 :: aide ; air ; art ; animal ; eau ; étymologie ; étranger ; origine ; international ; ennemi
affection.n 224 :: maladie ; pathologie ; complication ; infection ; atteinte ; fléau ; grave ; inflammation ; tendance ; problème
affection.n 233 :: intérêt ; amour ; appui ; article ; avenir ; amitié ; église ; avantage ; espace ; opinion
affection.n 252 :: or ; art ; air ; aide ; eau ; ici ; habitude ; usage ; image ; obliger
affection.n 254 :: air ; or ; aide ; art ; origine ; eau ; image ; envoi ; ensemble ; être
aisé.a 2 :: auteur ; premier ; peuple ; dernier ; humain ; état ; absent ; apparence ; homme ; jour
aisé.a 38 :: élitiste ; privilégier ; exigeant ; important ; élevé ; facile ; varier ; accessible ; riche ; prestigieux
aisé.a 105 :: riche ; pauvre ; paisible ; chic ; modeste ; fortuné ; populaire ; favoriser ; branché ; jeune
aisé.a 109 :: facile ; faciliter ; évident ; ultérieur ; ardu ; satisfaisant ; favoriser ; adéquat ; avantageux ; simplifier
aisé.a 139 :: moyen ; supérieur ; riche ; privilégier ; populaire ; social ; modeste ; défavorisé ; pauvre ; mince
aisé.a 173 :: évident ; facile ; fluide ; précis ; compliqué ; clair ; profond ; chaleureux ; simple ; direct
aisé.a 178 :: facile ; difficile ; impossible ; ardu ; compliqué ; évident ; susceptible ; envisageable ; simple ; habituel
aisé.a 198 :: riche ; âgé ; pauvre ; religieux ; choisir ; modeste ; noble ; démunir ; supérieur ; honorable
aisé.a 253 :: facile ; faciliter ; approfondi ; opérer ; délicat ; précis ; aise ; rapide ; satisfaisant ; complexe
aisé.a 275 :: facile ; difficile ; simple ; évident ; impossible ; heureux ; récent ; avantageux ; compliqué ; important
arrêter.v 1 :: stopper ; abandonner ; enlever ; tuer ; prendre ; retrouver ; arrêt ; reprendre ; suspendre ; accomplir
arrêter.v 14 :: condamner ; suspendre ; abattu ; interpellé ; emprisonné ; hospitaliser ; interpeller ; incarcérer ; juger ; assassiner
arrêter.v 23 :: apercevoir ; aimer ; ensemble ; excellent ; air ; être ; avantage ; approvisionnement ; objet ; intégrer
arrêter.v 25 :: regarde ; abandonner ; déjà ; être ; réfléchir ; vraiment ; lâche ; oublier ; arrêt ; ici
arrêter.v 50 :: abandonner ; enlever ; retenir ; quitter ; faire ; voir ; éteindre ; prendre ; apprendre ; cesser
arrêter.v 181 :: choisir ; ci-dessous ; voir ; donne ; afficher ; sommaire ; sélectionner ; limite ; limiter ; affiche
arrêter.v 219 :: tuer ; stopper ; faire ; attraper ; acheter ; bloquer ; abattre ; enregistrer ; aider ; dessiner
arrêter.v 273 :: condamner ; capturer ; emprisonner ; prendre ; exécuter ; juger ; adopter ; enlever ; punir ; reprendre
arrêter.v 277 :: or ; in ; article ; os ; parer ; aimer ; hésiter ; avoir ; auparavant ; arriver
arrêter.v 291 :: publier ; proposer ; émettre ; déposer ; vendre ; éditer ; délivrer ; céder ; obtenir ; acquérir
capacité.n 26 :: faculté ; flexibilité ; puissance ; pouvoir ; rapidité ; possibilité ; force ; faciliter ; liberté ; disponibilité
capacité.n 32 :: puissance ; chaîne ; différence ; force ; tête ; réserve ; quantité ; propriété ; possibilité ; activité
capacité.n 35 :: membre ; employé ; clinique ; médecin ; profession ; personne ; milligramme ; travailleur ; associer ; santé
capacité.n 70 :: puissance ; fréquentation ; surface ; rentabilité ; consommation ; production ; sécurité ; performance ; superficie ; location
