affection.n 8 :: presque ; complaisance ; malheureusement ; satisfaction ; quelquefois ; tendresse ; universel ; second ; profond ; bientôt
affection.n 20 :: air ; interne ; aide ; étroit ; propre ; externe ; aimable ; international ; amitié ; apercevoir
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; animal ; international ; image ; art
affection.n 44 :: tendance ; maladie ; dépendance ; situation ; évolution ; attitude ; espèce ; chose ; relation ; émotion
affection.n 145 :: pathologie ; maladie ; activité ; atteinte ; inflammation ; intervention ; entité ; substance ; cause ; opération
affection.n 210 :: air ; aide ; interne ; externe ; animal ; étranger ; international ; eau ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; indication ; entité ; option ; infection ; opération ; important
affection.n 233 :: amitié ; amour ; appui ; intérêt ; attachement ; opinion ; attention ; estime ; adhésion ; ambition
affection.n 252 :: or ; air ; aide ; art ; énergie ; eau ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; art ; air ; aide ; origine ; image ; aimer ; heureux ; énergie ; user
aisé.a 2 :: absent ; proche ; vulnérable ; redevable ; donner ; interpellé ; pauvre ; épargner ; mort ; acquérir
aisé.a 38 :: privilégier ; élitiste ; bourgeoise ; important ; élevé ; restreindre ; aimable ; pauvre ; attrayant ; prestigieux
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; pauvre ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; harmonieux ; ultérieur ; satisfaisant ; indiscutable ; favoriser ; rigoureux
aisé.a 139 :: riche ; supérieur ; moyen ; privilégier ; nanti ; modeste ; défavorisé ; élevé ; important ; social
aisé.a 173 :: évident ; compliqué ; facile ; accessible ; amusant ; impossible ; passionnant ; envisageable ; incertain ; avancer
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; avantageux ; approprié ; indispensable ; envisageable ; faisable
aisé.a 198 :: riche ; honorable ; modeste ; supérieur ; pauvre ; important ; noble ; bourgeois ; démunir ; fortuné
aisé.a 253 :: facile ; ardu ; faciliter ; intuitif ; évident ; compliqué ; simple ; effectif ; aise ; simplifier
aisé.a 275 :: facile ; évident ; ardu ; habituel ; difficile ; impossible ; avantageux ; auparavant ; compliqué ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; recueillir ; fixer ; couper
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; incarcérer ; emprisonné ; assassiner ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: aimable ; apercevoir ; avantage ; intégrer ; apparent ; utiliser ; aimer ; air ; ensemble ; être
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; lâche ; abandonner ; appuyer ; cesser ; pousse ; commencer
arrêter.v 50 :: abandonner ; éteindre ; enlever ; quitter ; faire ; apprendre ; voir ; inventer ; interrompre ; remplacer
