affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; époque ; affectation ; extrémité ; opération
affection.n 20 :: air ; interne ; aide ; étroit ; propre ; externe ; aimable ; international ; apercevoir ; amitié
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; animal ; international ; image ; art
affection.n 44 :: tendance ; maladie ; dépendance ; situation ; évolution ; attitude ; espèce ; chose ; relation ; émotion
affection.n 145 :: pathologie ; maladie ; activité ; inflammation ; atteinte ; intervention ; entité ; substance ; cause ; opération
affection.n 210 :: air ; aide ; interne ; externe ; animal ; étranger ; international ; eau ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; indication ; entité ; option ; infection ; opération ; important
affection.n 233 :: amitié ; amour ; appui ; intérêt ; attachement ; opinion ; attention ; estime ; adhésion ; ambition
affection.n 252 :: or ; air ; aide ; art ; énergie ; eau ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; art ; air ; aide ; origine ; image ; aimer ; heureux ; énergie ; user
aisé.a 2 :: absent ; proche ; vulnérable ; donner ; redevable ; interpellé ; pauvre ; épargner ; mort ; acquérir
aisé.a 38 :: privilégier ; élitiste ; important ; bourgeoise ; élevé ; restreindre ; aimable ; pauvre ; attrayant ; prestigieux
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; pauvre ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; harmonieux ; satisfaisant ; ultérieur ; indiscutable ; favoriser ; rigoureux
aisé.a 139 :: supérieur ; riche ; moyen ; privilégier ; nanti ; modeste ; défavorisé ; élevé ; important ; social
aisé.a 173 :: évident ; compliqué ; facile ; accessible ; amusant ; impossible ; passionnant ; envisageable ; incertain ; avancer
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; avantageux ; approprié ; envisageable ; indispensable ; faisable
aisé.a 198 :: riche ; honorable ; modeste ; supérieur ; pauvre ; important ; noble ; bourgeois ; démunir ; fortuné
aisé.a 253 :: facile ; ardu ; faciliter ; intuitif ; évident ; compliqué ; effectif ; simple ; aise ; simplifier
aisé.a 275 :: facile ; évident ; ardu ; habituel ; difficile ; impossible ; auparavant ; avantageux ; compliqué ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; recueillir ; capturer ; couper
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; incarcérer ; emprisonné ; assassiner ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: aimable ; apercevoir ; avantage ; apparent ; intégrer ; aimer ; utiliser ; air ; être ; ensemble
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; lâche ; abandonner ; cesser ; appuyer ; pousse ; commencer
arrêter.v 50 :: abandonner ; éteindre ; enlever ; quitter ; faire ; apprendre ; voir ; inventer ; interrompre ; remplacer
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; pose ; approuver ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; acheter ; aider ; bloquer ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; exécuter ; emprisonner
arrêter.v 277 :: or ; parer ; but ; point ; an ; pi ; canada ; voir ; vue ; auparavant
arrêter.v 291 :: décider ; fixer ; adopter ; publier ; signer ; établir ; émettre ; proposer ; approuver ; accorder
capacité.n 26 :: faculté ; flexibilité ; puissance ; disponibilité ; rapidité ; dimension ; pouvoir ; souplesse ; vitesse ; force
capacité.n 32 :: puissance ; chaîne ; tête ; force ; possibilité ; quantité ; réserve ; charge ; raison ; différence
capacité.n 35 :: clinique ; activité ; formation ; équipe ; maîtrise ; résidence ; population ; spécialiste ; contribution ; université
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; consommation ; rentabilité ; quantité ; construction ; sécurité ; dotation
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; souplesse ; possibilité ; volonté ; flexibilité ; qualité
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; faculté ; fonction ; pouvoir ; liberté ; force ; vertu
capacité.n 103 :: ressource ; possibilité ; activité ; chaîne ; stock ; unité ; disponibilité ; installation ; quantité ; coût
capacité.n 110 :: possibilité ; quantité ; puissance ; batterie ; solution ; suite ; réserve ; garantie ; durée ; surface
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; pouvoir ; puissance ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; maturité ; spécialisation ; connaissance ; certification ; qualité ; qualification ; aptitude
commander.v 5 :: dicter ; demander ; vouloir ; signer ; écrire ; commande ; ordonner ; donner ; lancer ; achever
commander.v 9 :: commander ; commencer ; acheter ; choisir ; réserver ; sélectionner ; découvrir ; oublier ; apprendre ; créer
commander.v 16 :: diriger ; commanda ; recevoir ; combat ; soutenir ; ordonner ; consigne ; lancer ; mener ; prendre
commander.v 41 :: choisir ; décider ; commencer ; faire ; définir ; effectuer ; lancer ; gérer ; créer ; réaliser
commander.v 48 :: diriger ; contrôlent ; déterminer ; régir ; gouverner ; mener ; gérer ; créer ; dominer ; financer
commander.v 117 :: commande ; commanda ; dicter ; commandant ; commandement ; réclamer ; comporter ; prescrire ; justifier ; permettre
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; conseiller ; prescrire ; enjoindre ; imposer ; enseigne ; demande
commander.v 171 :: acheter ; acquérir ; commande ; valider ; réserver ; admirer ; imprimer ; ouvrir ; essayer ; déguster
commander.v 206 :: protéger ; commande ; servir ; permettre ; donne ; donner ; défense ; passer ; supprimer ; venir
commander.v 240 :: commande ; régler ; payer ; faire ; contrôler ; uniquement ; acheter ; personnaliser ; également ; prendre
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; interpréter ; intégrer ; enseigner ; vivre ; lire ; contenue
compris.a 90 :: penser ; sentir ; croire ; réaliser ; convaincre ; trouver ; apprendre ; assurer ; saisir ; considérer
compris.a 106 :: entendre ; deviner ; savoir ; vivre ; nécessaire ; penser ; comprendre ; vouloir ; croire ; cacher
compris.a 185 :: inclure ; contenir ; incorporer ; mentionner ; entendre ; inscrire ; présent ; inclus ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; rester ; placer ; intégré ; incorporer ; présent
compris.a 187 :: contenu ; estimer ; situer ; compter ; moyen ; supérieur ; recommander ; choisir ; limité ; définir
compris.a 211 :: répartir ; situer ; mesurer ; varier ; maintenir ; grouper ; moyen ; partager ; inclus ; graduellement
compris.a 232 :: inclure ; compter ; contenu ; intégré ; prendre ; reprendre ; cal ; comptabiliser ; limité ; cohérent
compris.a 272 :: saisir ; réaliser ; penser ; capter ; comprendre ; croire ; savoir ; percevoir ; apprendre ; intégré
compris.a 287 :: saisir ; deviner ; apprendre ; intégré ; assimiler ; reconnaître ; capter ; savoir ; détecter ; comprendre
couverture.n 65 :: manchette ; rédaction ; dernier ; dossier ; page ; sommaire ; couvrir ; série ; semaine ; conclusion
couverture.n 67 :: peau ; vie ; voil ; survie ; veste ; réputation ; mort ; route ; chemise ; toile
couverture.n 72 :: housse ; toiture ; couvrir ; revêtement ; couvert ; peau ; produit ; reliure ; terrasse ; sol
couverture.n 143 :: manchette ; couvrir ; illustration ; fort ; bref ; page ; pochette ; tête ; marge ; front
couverture.n 149 :: protection ; sécurité ; gestion ; couvert ; vie ; garantie ; surveillance ; responsabilité ; régime ; caisse
couverture.n 150 :: toiture ; couvrir ; charpente ; pierre ; toit ; protection ; tuile ; voil ; construction ; revêtement
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; sécurité ; gestion ; conquête ; transformation ; boucle
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; transformation ; revêtement ; sol ; couvert ; surface ; toit
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; corde ; litière ; commode ; couette ; bâche ; voil
couverture.n 280 :: peau ; voil ; protection ; lune ; reliure ; plume ; couvrir ; neige ; carapace ; tension
débit.n 64 :: dépôt ; compte ; versement ; banque ; règlement ; paiement ; crédit ; faciliter ; solde ; nombre
débit.n 87 :: montant ; paiement ; solde ; crédit ; dépôt ; versement ; compte ; coût ; règlement ; remboursement
débit.n 115 :: niveau ; rythme ; flux ; cours ; flot ; volume ; poids ; écoulement ; régime ; delta
