affection.n 8 :: tentation ; épreuve ; question ; idée ; résolution ; torture ; attaque ; dernier ; fin ; invitation
affection.n 20 :: excellent ; aimable ; ancien ; immense ; énorme ; élément ; extrême ; éventuel ; amour ; ultime
affection.n 33 :: ancien ; air ; excellent ; illustre ; ion ; interne ; aide ; article ; entreprise ; externe
affection.n 44 :: extrêmement ; principalement ; tête ; entièrement ; énergie ; unité ; rage ; fumée ; fonction ; illumination
affection.n 145 :: cause ; substance ; maladie ; mutation ; lésion ; pathologie ; bactérie ; protéine ; réaction ; tumeur
affection.n 210 :: infection ; éventuel ; auto ; ancien ; apparent ; assurance ; interférence ; acné ; origine ; aide
affection.n 224 :: maladie ; pathologie ; menace ; plaie ; question ; infection ; exposition ; blessure ; obésité ; épidémie
affection.n 233 :: jour ; poster ; excéder ; point ; faire ; conseiller ; article ; dépasser ; espace ; partager
affection.n 252 :: amour ; esprit ; bon ; énergie ; ancien ; auto ; heureux ; aimable ; aide ; excellent
affection.n 254 :: amour ; auto ; extrême ; intense ; aide ; aimant ; assurance ; immense ; attention ; infini
aisé.a 2 :: rester ; disparu ; mort ; aller ; venir ; décéder ; partir ; arrivée ; tour ; devenir
aisé.a 38 :: varier ; jeune ; diversifier ; âger ; important ; large ; exigeant ; nombreux ; vaste ; riche
aisé.a 105 :: riche ; pauvre ; ancien ; peupler ; chic ; perdre ; récent ; beal ; vieux ; moderne
aisé.a 109 :: rapide ; facile ; fort ; important ; difficile ; lent ; grand ; large ; précoce ; long
aisé.a 139 :: supérieur ; populaire ; inférieur ; défavorisé ; moyen ; pauvre ; intermédiaire ; vulnérable ; bas ; social
aisé.a 173 :: long ; important ; riche ; rapide ; fort ; fréquent ; complexe ; intéressant ; intense ; grand
aisé.a 178 :: difficile ; impossible ; facile ; susceptible ; nécessaire ; important ; incapable ; sûr ; capable ; assurer
aisé.a 198 :: religieux ; public ; femme ; concerner ; civil ; privé ; musulman ; intéresser ; âgé ; déplacer
aisé.a 253 :: complexe ; classique ; spécifique ; rapide ; lent ; difficile ; compliqué ; simple ; délicat ; efficace
aisé.a 275 :: difficile ; important ; intéressant ; temps ; utile ; courant ; bon ; nécessaire ; travail ; permettre
arrêter.v 1 :: crucifié ; tuer ; sauver ; enlever ; enterrer ; perdre ; juger ; décapiter ; vaincre ; détruire
arrêter.v 14 :: année ; tuer ; principalement ; combattre ; an ; guerre ; dé ; détruire ; jamais ; vue
arrêter.v 23 :: hiver ; arrêt ; exploitation ; activité ; ordre ; effectuer ; électricité ; utilisation ; installation ; entreprise
arrêter.v 25 :: temps ; commencer ; souffle ; heure ; mettre ; tourne ; mouvement ; vraiment ; tire ; minute
arrêter.v 50 :: travailler ; tard ; choisir ; trouver ; travail ; temps ; utiliser ; chercher ; dormir ; faire
arrêter.v 181 :: voir ; donne ; exister ; donner ; double ; décrire ; fermer ; choisir ; comprendre ; contenir
arrêter.v 219 :: heure ; point ; mouvement ; début ; démarrer ; stationnement ; précédent ; service ; caractéristique ; fois
arrêter.v 273 :: mort ; vrai ; riche ; coupable ; faux ; innocent ; dangereux ; libre ; condamner ; français
arrêter.v 277 :: exact ; simplement ; arrière ; prise ; éteindre ; tourne ; total ; complètement ; an ; mot
arrêter.v 291 :: faire ; effectuer ; reprise ; ordonner ; retrouver ; abandonner ; rendre ; dire ; tenir ; enter
capacité.n 26 :: force ; vitesse ; rapidité ; efficacité ; unité ; souplesse ; durée ; liberté ; qualité ; aisance
capacité.n 32 :: mission ; force ; tête ; tour ; gestion ; vérité ; réserve ; exactitude ; zone ; régler
capacité.n 35 :: licence ; formation ; maîtrise ; spécialisation ; spécialité ; certification ; qualification ; compétence ; thèse ; expérience
capacité.n 70 :: construction ; gestion ; sécurité ; fermeture ; ville ; production ; direction ; sûreté ; place ; position
capacité.n 73 :: formation ; préparation ; difficulté ; lutte ; vie ; présente ; stratégie ; semaine ; réponse ; face
capacité.n 101 :: qualité ; puissance ; fonction ; compétence ; liberté ; présence ; dignité ; position ; place ; forme
capacité.n 103 :: coût ; stock ; volume ; possibilité ; facteur ; quota ; prix ; charge ; moyen ; niveau
capacité.n 110 :: partie ; baisse ; part ; quantité ; erreur ; hausse ; augmentation ; diminution ; durée ; majorité
capacité.n 135 :: liberté ; possibilité ; marge ; sphère ; puissance ; faculté ; part ; latitude ; force ; place
capacité.n 148 :: licence ; maîtrise ; formation ; spécialisation ; maturité ; baccalauréat ; mineure ; spécialité ; majeur ; certification
commander.v 5 :: tuer ; grâce ; club ; mourir ; tard ; ensemble ; décéder ; temps ; durée ; participer
commander.v 9 :: an ; soir ; jour ; matin ; homme ; maire ; président ; jean ; Monsieur ; vendredi
commander.v 16 :: recevoir ; subir ; diriger ; prendre ; attendre ; exécuter ; conduire ; être ; mener ; remporter
