affection.n 8 :: affectation ; considération ; influence ; disgrâce ; institution ; persécution ; ambition ; humiliation ; dernier ; instruction
affection.n 20 :: air ; aide ; étroit ; externe ; international ; propre ; étranger ; aimable ; ante ; interne
affection.n 33 :: aide ; air ; heureux ; ancien ; animal ; irremplaçable ; art ; efficace ; étranger ; externe
affection.n 44 :: tendance ; dépendance ; évolution ; être ; formation ; croissance ; situation ; commune ; augmentation ; développement
affection.n 145 :: pathologie ; maladie ; lésion ; activité ; cause ; substance ; atteinte ; inflammation ; intervention ; déficience
affection.n 210 :: air ; aide ; interne ; international ; étranger ; externe ; eau ; animal ; art ; origine
affection.n 224 :: maladie ; pathologie ; atteinte ; inflammation ; infection ; trouble ; grave ; complication ; option ; important
affection.n 233 :: appui ; amitié ; avis ; intérêt ; adhésion ; attachement ; soutien ; opinion ; propre ; appartenance
affection.n 252 :: aide ; or ; art ; air ; image ; ici ; obliger ; ancien ; autant ; énergie
affection.n 254 :: art ; or ; aide ; air ; aimer ; énergie ; image ; origine ; espace ; heureux
aisé.a 2 :: vulnérable ; proche ; absent ; obliger ; donner ; faire ; acquérir ; lier ; mort ; pauvre
aisé.a 38 :: restreindre ; prestigieux ; bourgeoise ; élevé ; élitiste ; privilégier ; important ; onéreux ; aimable ; attrayant
aisé.a 105 :: riche ; nanti ; fortuné ; instruire ; pauvre ; modeste ; paisible ; favoriser ; chic ; jeune
aisé.a 109 :: facile ; faciliter ; harmonieux ; évident ; favoriser ; acquérir ; avantageux ; rigoureux ; économique ; assurer
aisé.a 139 :: moyen ; supérieur ; modeste ; pauvre ; social ; populaire ; riche ; privilégier ; défavorisé ; nanti
aisé.a 173 :: évident ; facile ; compliqué ; fluide ; accessible ; amusant ; précis ; direct ; simple ; avancer
aisé.a 178 :: facile ; impossible ; ardu ; compliqué ; évident ; difficile ; réalisable ; faisable ; avantageux ; simple
aisé.a 198 :: riche ; honorable ; modeste ; raffiné ; supérieur ; pauvre ; noble ; important ; privilégier ; religieux
aisé.a 253 :: facile ; évident ; simple ; intuitif ; précis ; faciliter ; difficile ; ardu ; compliqué ; rapide
