affection.n 8 :: occasion ; disposition ; maladie ; dernier ; extrémité ; considération ; époque ; institution ; affectation ; opération
affection.n 20 :: air ; interne ; aide ; étroit ; aimable ; excellent ; externe ; heureux ; international ; apercevoir
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; animal ; international ; image ; art
affection.n 44 :: tendance ; maladie ; situation ; dépendance ; évolution ; attitude ; espèce ; chose ; relation ; union
affection.n 145 :: pathologie ; maladie ; activité ; atteinte ; inflammation ; intervention ; entité ; substance ; anomalie ; opération
affection.n 210 :: air ; aide ; interne ; externe ; animal ; international ; étranger ; eau ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; entité ; indication ; option ; infection ; opération ; important
affection.n 233 :: amitié ; intérêt ; appui ; amour ; attachement ; opinion ; attention ; estime ; avis ; adhésion
affection.n 252 :: air ; or ; aide ; art ; énergie ; eau ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; air ; art ; aide ; origine ; image ; aimer ; heureux ; énergie ; ensemble
aisé.a 2 :: absent ; proche ; vulnérable ; donner ; redevable ; interpellé ; pauvre ; épargner ; mort ; empêcher
aisé.a 38 :: privilégier ; élitiste ; important ; bourgeoise ; élevé ; aimable ; restreindre ; pauvre ; exigeant ; attrayant
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; bien ; pauvre
aisé.a 109 :: faciliter ; facile ; évident ; harmonieux ; avantageux ; ultérieur ; satisfaisant ; favoriser ; indiscutable ; aise
aisé.a 139 :: supérieur ; riche ; moyen ; privilégier ; nanti ; défavorisé ; modeste ; élevé ; important ; social
aisé.a 173 :: évident ; compliqué ; amusant ; facile ; accessible ; impossible ; passionnant ; incertain ; envisageable ; chaleureux
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; avantageux ; approprié ; indispensable ; envisageable ; faisable
aisé.a 198 :: riche ; honorable ; modeste ; supérieur ; pauvre ; important ; bourgeois ; noble ; fortuné ; démunir
aisé.a 253 :: facile ; ardu ; intuitif ; évident ; faciliter ; simple ; compliqué ; simplifier ; effectif ; aise
aisé.a 275 :: facile ; évident ; ardu ; habituel ; difficile ; impossible ; avantageux ; compliqué ; auparavant ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; attacher ; recueillir ; capturer
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; incarcérer ; assassiner ; emprisonné ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: aimable ; avantage ; apercevoir ; apparent ; intégrer ; air ; utiliser ; ensemble ; aimer ; être
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; abandonner ; lâche ; cesser ; commencer ; appuyer ; pousse
arrêter.v 50 :: abandonner ; éteindre ; enlever ; quitter ; faire ; apprendre ; inventer ; voir ; interrompre ; arrêt
arrêter.v 181 :: établir ; élaborer ; dresse ; définir ; adopter ; annoncer ; préparer ; décider ; approuver ; pose
arrêter.v 219 :: stopper ; tuer ; acheter ; attraper ; bloquer ; aider ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; interpeller ; condamner ; attacher ; adopter ; exécuter ; emprisonner
arrêter.v 277 :: or ; parer ; but ; an ; point ; canada ; pi ; os ; vue ; pouvoir
arrêter.v 291 :: décider ; fixer ; publier ; adopter ; signer ; établir ; proposer ; émettre ; accorder ; annoncer
capacité.n 26 :: faculté ; flexibilité ; puissance ; disponibilité ; dimension ; rapidité ; pouvoir ; vitesse ; force ; souplesse
capacité.n 32 :: puissance ; chaîne ; force ; tête ; possibilité ; réserve ; quantité ; charge ; raison ; différence
capacité.n 35 :: clinique ; activité ; formation ; maîtrise ; équipe ; spécialiste ; résidence ; contribution ; faculté ; profession
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; consommation ; rentabilité ; quantité ; construction ; sécurité ; dotation
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; possibilité ; souplesse ; volonté ; flexibilité ; qualité
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; fonction ; faculté ; pouvoir ; liberté ; force ; vertu
