affection.n 8 :: tentation ; dernier ; épreuve ; idée ; passion ; résolution ; émotion ; mode ; torture ; nouveau
affection.n 20 :: excellent ; aimable ; élément ; énorme ; énoncé ; ancien ; ultime ; éventuel ; immense ; propre
affection.n 33 :: ancien ; excellent ; illustre ; propre ; ion ; entier ; air ; ante ; éventuel ; apparent
affection.n 44 :: tantôt ; fréquence ; administration ; second ; forme ; année ; tendance ; principal ; mode ; génération
affection.n 145 :: substance ; cause ; mutation ; maladie ; réaction ; bactérie ; protéine ; molécule ; activité ; pathologie
affection.n 210 :: infection ; éventuel ; auto ; ancien ; interférence ; assurance ; apparent ; aide ; origine ; acné
affection.n 224 :: maladie ; pathologie ; plaie ; menace ; question ; exposition ; blessure ; infection ; souffrance ; problématique
affection.n 233 :: faire ; jour ; partager ; point ; temps ; excéder ; homme ; heure ; lever ; aire
affection.n 252 :: amour ; esprit ; extrême ; égal ; auto ; apparent ; ancien ; aimable ; profond ; intense
affection.n 254 :: amour ; extrême ; auto ; intense ; aide ; assurance ; immense ; accueil ; énergie ; amoureux
aisé.a 2 :: disparu ; rester ; mort ; disparaître ; décéder ; aller ; tomber ; également ; joindre ; vain
aisé.a 38 :: jeune ; varier ; âger ; diversifier ; important ; large ; exigeant ; nombreux ; riche ; mature
aisé.a 105 :: riche ; pauvre ; ancien ; peupler ; perdre ; chic ; récent ; beal ; vieux ; moderne
aisé.a 109 :: rapide ; facile ; fort ; important ; grand ; précoce ; difficile ; lent ; long ; large
aisé.a 139 :: pauvre ; défavorisé ; riche ; moyen ; supérieur ; vulnérable ; inférieur ; populaire ; démunir ; privilégier
aisé.a 173 :: fréquent ; long ; rapide ; important ; prévisible ; intense ; fluide ; intéressant ; complexe ; efficace
aisé.a 178 :: difficile ; impossible ; facile ; susceptible ; nécessaire ; important ; sûr ; simple ; compliqué ; essentiel
aisé.a 198 :: musulman ; présent ; chrétien ; humain ; concerner ; religieux ; fidèle ; intéresser ; civil ; juif
aisé.a 253 :: complexe ; classique ; spécifique ; simple ; difficile ; compliqué ; lent ; rapide ; efficace ; délicat
aisé.a 275 :: important ; bon ; permettre ; agréable ; utile ; nécessaire ; louable ; difficile ; intéressant ; vrai
arrêter.v 1 :: crucifié ; tuer ; sauver ; livrer ; enlever ; baptiser ; ressuscité ; guérir ; décapiter ; exécuter
arrêter.v 14 :: principalement ; utiliser ; respectivement ; condamner ; commettre ; fait ; tuer ; élu ; reconnaître ; essentiellement
arrêter.v 23 :: hiver ; insérer ; effectuer ; installation ; exploitation ; ouvrir ; office ; administration ; arrêt ; automne
arrêter.v 25 :: vraiment ; minute ; heure ; paisiblement ; bruit ; doux ; long ; petit ; extrêmement ; réellement
arrêter.v 50 :: tard ; travailler ; choisir ; temps ; travail ; trouver ; dormir ; utiliser ; faire ; chercher
arrêter.v 181 :: emporter ; exercer ; indique ; modifier ; pratique ; déterminer ; autoriser ; établir ; retirer ; refuser
arrêter.v 219 :: point ; heure ; mouvement ; service ; stationnement ; début ; caractéristique ; contrôleur ; juin ; changement
arrêter.v 273 :: mort ; vrai ; dangereux ; faux ; coupable ; innocent ; riche ; raciste ; condamner ; libre
arrêter.v 277 :: ensemble ; air ; auto ; point ; exact ; article ; an ; os ; ordinateur ; alcool
arrêter.v 291 :: faire ; employer ; libérer ; donner ; effectuer ; conserver ; utiliser ; produit ; admettre ; prise
capacité.n 26 :: force ; vitesse ; efficacité ; rapidité ; unité ; durée ; souplesse ; qualité ; constance ; liberté
capacité.n 32 :: mission ; tour ; force ; tête ; gestion ; régler ; reddition ; vérité ; situation ; efficacité
capacité.n 35 :: licence ; formation ; spécialisation ; maîtrise ; spécialité ; qualification ; certification ; thèse ; compétence ; mineure
capacité.n 70 :: construction ; gestion ; sécurité ; place ; sûreté ; ville ; production ; restructuration ; société ; responsabilité
capacité.n 73 :: difficulté ; préparation ; formation ; motivation ; vie ; lutte ; réponse ; présente ; situation ; faciliter
capacité.n 101 :: qualité ; compétence ; présence ; fonction ; puissance ; dignité ; plénitude ; liberté ; place ; forme
capacité.n 103 :: coût ; stock ; charge ; possibilité ; quantité ; temps ; volume ; facteur ; quota ; besoin
capacité.n 110 :: partie ; part ; quantité ; batterie ; durée ; majorité ; valeur ; longueur ; baisse ; fraction
capacité.n 135 :: liberté ; sphère ; possibilité ; marge ; puissance ; faculté ; part ; latitude ; force ; volonté
capacité.n 148 :: licence ; maîtrise ; formation ; spécialisation ; spécialité ; recherche ; mineure ; maturité ; baccalauréat ; mention
commander.v 5 :: tuer ; long ; ensemble ; donner ; travail ; obtenir ; gagner ; permettre ; appartement ; magnifique
commander.v 9 :: prendre ; déposer ; faire ; accepter ; commander ; mettre ; dire ; lire ; donner ; demain
commander.v 16 :: recevoir ; subir ; diriger ; prendre ; être ; avoir ; attendre ; obtenir ; remporter ; assurer
commander.v 41 :: définir ; choisir ; effectuer ; décider ; gérer ; lancer ; faire ; sélectionner ; réaliser ; changer
commander.v 48 :: favoriser ; permettre ; créer ; déterminer ; assurer ; faciliter ; tirer ; représenter ; entraver ; faire
commander.v 117 :: permettre ; commande ; demander ; comporter ; vouloir ; requérir ; dicter ; dire ; suggérer ; prévoir
commander.v 164 :: imposer ; servir ; plaire ; appartenir ; convier ; nuit ; attribuer ; donner ; interdire ; appliquer
commander.v 171 :: admirer ; voir ; découvrir ; acheter ; acquérir ; observer ; apercevoir ; trouver ; déguster ; contempler
commander.v 206 :: système ; prise ; point ; faire ; être ; donnée ; prendre ; cours ; titre ; confirmer
commander.v 240 :: faire ; également ; jamais ; apporter ; respectivement ; suite ; donner ; ajouter ; venir ; mal
compris.a 52 :: accepter ; approuver ; fournir ; utiliser ; soutenir ; choisir ; compréhensible ; supporter ; expliquer ; donner
compris.a 90 :: déclarer ; noter ; écrire ; ajouter ; apprendre ; répondre ; décider ; montrer ; rapporter ; conclure
